 	o	b	i	a	á	s	i	i	w	á	i	o	t	s	ω	ώ	s	é	l	έ	n	g	έ	</S>
son	0.0144482	0.0137695	0.0182276	0.0298402	0.0560299	0.0455045	0.0621955	0.068941	0.073936	0.0746681	0.065033	0.0578806	0.0601055	0.0404268	0.0377502	0.0226803	0.0266038	0.0319291	0.0310854	0.0376162	0.0316182	0.0368228	0.025924	0.0369637
ami	0.0323989	0.0678143	0.0768049	0.17659	0.0961252	0.0745989	0.043351	0.167996	0.138537	0.0647254	0.0233478	0.0108374	0.00498134	0.00746308	0.00289687	0.00267402	0.00171337	0.000662371	0.000725252	0.00273291	0.00126262	0.000939771	0.000215243	0.000607118
lui	0.0318582	0.0374198	0.0276794	0.0701524	0.103035	0.189384	0.148575	0.0317682	0.0547859	0.0239129	0.0321404	0.0752739	0.0224723	0.0219777	0.0163613	0.011315	0.0116221	0.0137994	0.00868653	0.0160164	0.00888695	0.0153551	0.0108155	0.0167068
a	0.0352295	0.0607608	0.0604051	0.0501674	0.0733696	0.0917964	0.117318	0.0488219	0.0531567	0.0247658	0.0205757	0.0172539	0.0121446	0.0155031	0.0154767	0.0121319	0.0208248	0.0366422	0.034124	0.0861414	0.0438547	0.0301918	0.0163923	0.0229515
donné	0.0315315	0.0409387	0.0450239	0.0491489	0.0550657	0.0601446	0.0547207	0.033812	0.0456926	0.0250831	0.0193876	0.0250627	0.0223833	0.0222748	0.0255948	0.0351483	0.0333407	0.0318488	0.0403186	0.0603906	0.0407696	0.0564767	0.0468219	0.0990201
un	0.0290094	0.04263	0.0480125	0.0403614	0.0286269	0.0235219	0.0244225	0.020542	0.0550377	0.0282986	0.0259737	0.0157234	0.0110817	0.00635671	0.0122193	0.0175339	0.0219531	0.0158231	0.0583627	0.11152	0.0642519	0.0795923	0.0899441	0.129201
coup	0.030276	0.0368406	0.0356494	0.0284072	0.0205092	0.0162883	0.0110646	0.0129633	0.0201438	0.0181012	0.0144429	0.022324	0.0348488	0.0279835	0.040039	0.0349844	0.0330321	0.0219092	0.0370904	0.0836808	0.0603374	0.11057	0.0954142	0.153099
de	0.0326098	0.0292346	0.0299775	0.021969	0.0188361	0.0158353	0.0098563	0.013631	0.0100238	0.0131179	0.023828	0.053715	0.0599693	0.104776	0.100157	0.110265	0.0896591	0.0624326	0.0451208	0.0235454	0.0235186	0.0305311	0.0315687	0.0458216
poing	0.0427468	0.0295256	0.0240451	0.0187471	0.0129515	0.00857394	0.00357029	0.0043294	0.00533365	0.00598587	0.0123694	0.0212013	0.0235356	0.0329073	0.0442881	0.077563	0.0760199	0.0758901	0.0745226	0.0860658	0.0717125	0.0778047	0.0824169	0.0878938
au	0.0429992	0.0344289	0.0229331	0.0174935	0.0112816	0.00822692	0.00354638	0.00322178	0.00395198	0.00474401	0.00617497	0.00975393	0.0166297	0.0232536	0.0388306	0.0592253	0.0648369	0.0726779	0.0875826	0.0705912	0.0892993	0.0810075	0.0966124	0.130697
visage	0.0250949	0.0207603	0.0184805	0.0141665	0.0123381	0.00829225	0.00575527	0.00431086	0.00609919	0.00753345	0.0105796	0.0185202	0.0260746	0.0275668	0.038857	0.0442918	0.0538502	0.0619448	0.0584557	0.118739	0.14837	0.0938931	0.0831945	0.0928315
</S>	0.144692	0.0833253	0.042857	0.0186871	0.0127945	0.0104678	0.00525442	0.00279747	0.0025795	0.00220163	0.00303535	0.00699071	0.0130684	0.0146854	0.0351469	0.0401797	0.0680056	0.076413	0.0739069	0.0455752	0.0661078	0.0611337	0.0705813	0.0995133
