 	o	y	ú	r	u	w	ó	i	f	ú	n	d	ú	b	v	ú	a	í	m	i	l	ó	b	h	o	l	a	</S>
le	0.0236476	0.0261412	0.0129435	0.0095288	0.00813698	0.00732714	0.00388147	0.00527898	0.00629878	0.00644602	0.0107569	0.0102926	0.0153324	0.0240341	0.028596	0.0309811	0.0354345	0.0446971	0.0769662	0.0606205	0.063149	0.0560291	0.0717381	0.0597143	0.0675193	0.089828	0.0750699	0.0696105
mal	0.171654	0.149006	0.11229	0.199885	0.0443607	0.0293705	0.036537	0.0123247	0.0144225	0.00620697	0.00751931	0.00317738	0.00947139	0.011577	0.00813269	0.00494954	0.00767548	0.0053009	0.0134493	0.0100678	0.0156998	0.0268309	0.0233363	0.0492562	0.0166487	0.0079803	0.0014412	0.0014279
de	0.0347568	0.0280551	0.0147261	0.0308392	0.0147359	0.0158188	0.00827923	0.0111262	0.00409531	0.00403796	0.00634062	0.0174344	0.0277122	0.0403574	0.0318334	0.0165872	0.0193612	0.0414278	0.0679073	0.136795	0.159222	0.0868152	0.035539	0.0448667	0.047044	0.0297278	0.0175818	0.00697616
ventre	0.0216784	0.0227795	0.0191664	0.0218121	0.017242	0.0217776	0.016259	0.0136748	0.00949537	0.00885779	0.0100584	0.0207893	0.0163087	0.0354734	0.0511647	0.0934481	0.0593912	0.057208	0.0843917	0.0472644	0.0536202	0.0328715	0.048919	0.0369528	0.0340762	0.0277778	0.0481142	0.0694275
de	0.0164252	0.0252143	0.0250735	0.0298185	0.0169582	0.0136388	0.0141778	0.0106442	0.0080402	0.00845864	0.00866969	0.00761397	0.0119097	0.014846	0.0362918	0.0183802	0.0206739	0.0160745	0.0461353	0.0296627	0.0641849	0.0711865	0.0900057	0.0972719	0.0985837	0.0859197	0.0533161	0.0608243
cette	0.0377458	0.0270706	0.0242597	0.0255557	0.0271065	0.031612	0.023357	0.0238226	0.0259806	0.0340747	0.0457894	0.0554976	0.050292	0.043703	0.0580966	0.0858848	0.0627963	0.0458224	0.0338559	0.0311504	0.0244574	0.0326258	0.0207413	0.0183604	0.0254791	0.0280625	0.0247081	0.0320919
femme	0.0398283	0.0438212	0.0351156	0.0490024	0.0473084	0.0396854	0.0283502	0.0273843	0.0238478	0.0297251	0.0593924	0.0721281	0.0613118	0.0359791	0.0513671	0.036303	0.0504482	0.040668	0.0178627	0.0107884	0.00961075	0.0247548	0.0108746	0.0217772	0.0363246	0.0146001	0.0322014	0.0495392
s'	0.0441353	0.0428402	0.0333769	0.0414992	0.0291941	0.0296888	0.0292913	0.0271341	0.0241829	0.0310882	0.0401836	0.0513414	0.0546852	0.0685741	0.0486568	0.041577	0.0232337	0.0245989	0.00805169	0.00778812	0.00760046	0.0230769	0.0187505	0.0366857	0.0707043	0.0153509	0.0394028	0.0873068
est	0.0872433	0.049174	0.0293753	0.03304	0.0179446	0.0181201	0.0153505	0.0181505	0.0130163	0.0115811	0.0195404	0.02737	0.0395178	0.0609384	0.057421	0.0865416	0.0612766	0.0640424	0.0164627	0.0105535	0.00600385	0.0137416	0.00535124	0.0128573	0.0282808	0.0112246	0.062003	0.123878
aggravé	0.0632926	0.0411584	0.0323235	0.0461872	0.0194954	0.0153329	0.00961253	0.0104852	0.00712907	0.00462619	0.00853787	0.0159328	0.0318242	0.0598678	0.061777	0.0645675	0.0399607	0.0594494	0.0228046	0.0197397	0.01474	0.0194801	0.0101508	0.037633	0.0489663	0.013923	0.0980922	0.12291
</S>	0.0521533	0.0486809	0.0411718	0.039045	0.0264667	0.0319023	0.0199113	0.0201239	0.0153526	0.01748	0.0150993	0.0284918	0.0226004	0.0376951	0.0339752	0.0678314	0.0427874	0.0412351	0.0427797	0.043666	0.041583	0.031411	0.031595	0.0407819	0.0318433	0.0219535	0.0461879	0.0661952
