 	w	a	á	b	h	e	n	d	i	e	f	u	n	d	u	y	á	n	g	á	t	s	i	n	a	w	a	a	d	i	n	g	á	l	e	b	y	é	m	b	o	</S>
il	0.167197	0.208657	0.193729	0.195274	0.0803772	0.0441059	0.0201354	0.0156783	0.0027436	0.00208697	0.00155873	0.00144309	0.00125128	0.00160373	0.00250942	0.00359909	0.00387562	0.00359231	0.00253631	0.00186199	0.00106091	0.00116155	0.00147857	0.00113614	0.00137186	0.001248	0.000826208	0.00104427	0.00137853	0.00260371	0.0030636	0.00339282	0.00386398	0.00272542	0.00363545	0.00301479	0.00245945	0.00270663	0.00277658	0.00205439	0.00176614	0.00141534
a	0.0524749	0.0603482	0.0642118	0.0434327	0.0533095	0.0343469	0.0179841	0.0255451	0.06198	0.0837254	0.0549555	0.0912584	0.0592658	0.0537081	0.034495	0.0272635	0.0207058	0.0086405	0.0057352	0.00699784	0.00692437	0.00492147	0.00439243	0.00256641	0.00474343	0.00805938	0.00340783	0.00399446	0.00761403	0.00483792	0.00682206	0.0134782	0.0134954	0.00970952	0.0135401	0.00304756	0.00409798	0.0047681	0.00437662	0.00313963	0.00473831	0.0069406
contourné	0.0176625	0.0216539	0.0263705	0.0157677	0.0174254	0.0162916	0.014558	0.0162512	0.0236329	0.0152985	0.0233222	0.0224404	0.0305524	0.0200427	0.03407	0.0308789	0.0546835	0.0397386	0.0467445	0.043535	0.0402069	0.0317477	0.0322386	0.030063	0.0318614	0.0245157	0.0247418	0.0280204	0.0295322	0.0124693	0.0220985	0.0245564	0.0159892	0.0133646	0.0151752	0.0123725	0.010769	0.0109442	0.0154794	0.0165971	0.0151729	0.011164
ma	0.016873	0.0173837	0.0231014	0.0110537	0.0135045	0.00510517	0.0055574	0.00531786	0.00521123	0.00565672	0.00607645	0.00740518	0.00982984	0.0127143	0.0158692	0.0214654	0.0304823	0.0352601	0.0459167	0.0489755	0.0715883	0.0896624	0.0905352	0.0547513	0.0415791	0.0299379	0.0430117	0.0258473	0.0309972	0.014444	0.00866709	0.00836167	0.00568133	0.0111923	0.00488639	0.00819955	0.00799503	0.00948053	0.0126761	0.0189121	0.0267567	0.0420771
parcelle	0.0214486	0.0243877	0.0246066	0.0163256	0.0121305	0.00869038	0.00999605	0.0182554	0.0158362	0.0139762	0.0224423	0.0247186	0.0326589	0.0328046	0.0238994	0.0235696	0.0221025	0.0341642	0.0425198	0.0400274	0.0360125	0.0423302	0.0384136	0.0297349	0.0542875	0.0200442	0.0310341	0.0315089	0.0280712	0.0291431	0.0186887	0.0182664	0.0166056	0.0167572	0.0150404	0.0143276	0.0151415	0.0144344	0.0144034	0.0145413	0.0152274	0.0214251
parce	0.030642	0.0347227	0.0348053	0.0259241	0.0111925	0.0092296	0.00985567	0.0190338	0.0216293	0.0213272	0.022968	0.0221753	0.019004	0.024184	0.0282759	0.0185097	0.0204404	0.0273713	0.0278806	0.0276641	0.035166	0.042181	0.0557542	0.0319587	0.0327287	0.0183351	0.0145068	0.013315	0.00968695	0.00841788	0.00833812	0.00854249	0.0131353	0.00820758	0.0140349	0.0102348	0.0100882	0.0161669	0.0286041	0.0255976	0.0522083	0.0859561
qu'	0.071415	0.0708997	0.0594039	0.0262322	0.021525	0.0167541	0.018323	0.0265767	0.0169749	0.0146442	0.0224569	0.0225864	0.0297759	0.0147857	0.0143603	0.0156405	0.0266439	0.0167295	0.0106725	0.0179062	0.0515261	0.0374369	0.029971	0.0130516	0.00818294	0.013398	0.0144379	0.0103653	0.0124804	0.0072847	0.00598039	0.007663	0.0195018	0.0117836	0.0263071	0.0145246	0.0137332	0.0236212	0.0332737	0.0222007	0.0316796	0.0572895
il	0.0325183	0.0286729	0.0243622	0.0271266	0.0184972	0.0212012	0.0173969	0.0134315	0.0130544	0.0128351	0.020793	0.0191008	0.021893	0.0129449	0.0162721	0.0137327	0.0242258	0.0186611	0.0122616	0.0161636	0.052767	0.0413937	0.0590078	0.0238595	0.0126443	0.0251504	0.0208771	0.0199035	0.0137678	0.0109359	0.011965	0.0145868	0.0282042	0.0113806	0.0249084	0.0137319	0.0157287	0.0221697	0.0434867	0.0333003	0.0422259	0.07286
me	0.0189706	0.0130035	0.00792644	0.0110539	0.0142951	0.0101419	0.0122402	0.0157223	0.0178453	0.0129289	0.016077	0.0157441	0.0167563	0.0191511	0.0271368	0.0271149	0.0296914	0.0306591	0.0276966	0.0338431	0.069635	0.0333743	0.0702787	0.0335875	0.02885	0.0479978	0.0268167	0.0223965	0.0122332	0.0092508	0.0106598	0.0102173	0.017294	0.00775617	0.0115638	0.0083738	0.009465	0.0119031	0.0281479	0.029793	0.0453257	0.0770812
doit	0.0101201	0.00949105	0.00604292	0.00873208	0.0103377	0.0067006	0.0094099	0.0115816	0.0158177	0.0129454	0.0152394	0.0136295	0.0171448	0.0213205	0.0345681	0.0374827	0.0375649	0.0362128	0.0314696	0.0479983	0.0836762	0.0507174	0.0738917	0.0400335	0.0318628	0.0364119	0.0278382	0.0163049	0.0126154	0.0124749	0.0134673	0.00981275	0.0174057	0.0167001	0.0101929	0.0111613	0.0184628	0.0131967	0.0208229	0.024135	0.0283114	0.0366948
de	0.0165275	0.0119197	0.00738253	0.00982905	0.0101102	0.0079736	0.0096163	0.00999433	0.009628	0.0101533	0.0135475	0.0126004	0.018859	0.0252652	0.0359163	0.0418432	0.0345517	0.0338969	0.0294872	0.047662	0.0714513	0.0514489	0.0496291	0.0298834	0.0212671	0.0273135	0.0225255	0.0161349	0.0101178	0.0104735	0.0138786	0.0128223	0.0182189	0.016357	0.0123136	0.0166637	0.0203403	0.0167673	0.0289616	0.0301617	0.0362154	0.0702906
l'	0.0138519	0.01156	0.0110147	0.0143137	0.0151339	0.0101883	0.0109724	0.00870004	0.00379301	0.00611129	0.0104924	0.0115976	0.0241902	0.0451443	0.0508486	0.0735369	0.0285383	0.0324385	0.0216193	0.020452	0.0224172	0.0285943	0.00875583	0.00935706	0.010761	0.00640354	0.0142444	0.00599063	0.00609597	0.0108435	0.0166024	0.0129589	0.0189567	0.0271656	0.0183633	0.0282788	0.0506193	0.0420114	0.0500987	0.0636498	0.0499873	0.0733468
