 	á	y	w	o	o	m	i	w	a	t	s	í	n	a	á	y	í	b	h	i	b	e	a	</S>
on	0.328863	0.249683	0.027319	0.00556531	0.0033104	0.00326467	0.00418633	0.00467711	0.00861505	0.014672	0.0278408	0.0263408	0.0303005	0.0291457	0.0292284	0.0273452	0.0275168	0.030726	0.0236168	0.0237429	0.0241774	0.0263709	0.0130678	0.0104245
a	0.0296939	0.0354676	0.0554167	0.0851592	0.19773	0.111413	0.147849	0.0560173	0.0395975	0.0189997	0.0113513	0.00901801	0.0177581	0.0114159	0.0116756	0.0156539	0.00706596	0.0278654	0.0222589	0.0265098	0.0206294	0.0201013	0.0104382	0.0109144
hué	0.0149567	0.0111922	0.0111538	0.012515	0.0196937	0.0299531	0.031062	0.0517743	0.0487211	0.0600355	0.0724531	0.0655058	0.0757271	0.0854578	0.0496625	0.0699094	0.085691	0.0574615	0.0265751	0.0194034	0.0222848	0.0160989	0.0303809	0.0323311
sur	0.0175099	0.0137115	0.0153008	0.0209396	0.0236636	0.0380847	0.0234404	0.0326319	0.0416287	0.0355854	0.0302434	0.066693	0.0750061	0.0849697	0.0830881	0.0682341	0.0468579	0.0607559	0.0374868	0.0227493	0.0395213	0.0192904	0.044275	0.0583325
lui	0.0895225	0.0848486	0.058657	0.069286	0.0493964	0.0631442	0.0443055	0.0468035	0.0266467	0.0288626	0.0195922	0.0332526	0.040418	0.0406422	0.0292719	0.0318689	0.0454898	0.0277517	0.0241117	0.0238215	0.0263246	0.027558	0.0298673	0.0385565
parce	0.0849047	0.0378351	0.0363832	0.0220447	0.0242101	0.0208983	0.0202274	0.0164588	0.0182306	0.0182125	0.0185132	0.01982	0.0357755	0.0306722	0.0429551	0.0418686	0.0524275	0.0560026	0.0555422	0.0530348	0.0534455	0.0626487	0.0582767	0.119612
qu'	0.0329669	0.0290878	0.0298007	0.0200532	0.019307	0.0182384	0.0167714	0.0159935	0.0150452	0.0169765	0.0160642	0.0175456	0.0258238	0.0269211	0.0337207	0.0420553	0.0434727	0.0687112	0.0720084	0.0782069	0.0810918	0.072213	0.0874119	0.120513
il	0.0252113	0.0223154	0.0221437	0.0235418	0.0256041	0.0264624	0.0161097	0.0101268	0.00755378	0.00635855	0.00707669	0.00853302	0.0240205	0.025242	0.0401246	0.0651017	0.0302733	0.105156	0.107889	0.0887046	0.0747543	0.0780604	0.0788098	0.0808267
a	0.0567556	0.0506212	0.0443185	0.0587406	0.0525755	0.031715	0.0169776	0.0118392	0.00871804	0.00986675	0.0125117	0.0176362	0.0399351	0.0401504	0.0466039	0.0600371	0.0183819	0.033748	0.0282132	0.0265615	0.0323068	0.0408973	0.0708175	0.190071
volé	0.0643339	0.0533989	0.0356295	0.0518207	0.0431239	0.0218569	0.00799805	0.00752483	0.00575435	0.0081678	0.010797	0.0158281	0.030069	0.0385707	0.0574093	0.060833	0.0344822	0.045782	0.038119	0.0407102	0.0556471	0.0782747	0.0909871	0.102882
de	0.0312477	0.0483189	0.0391493	0.0506976	0.0368554	0.0249846	0.00960469	0.00804189	0.00235064	0.0039619	0.00492461	0.00570349	0.0204585	0.0255329	0.0504096	0.0642708	0.0274737	0.0570568	0.0504479	0.049719	0.0699425	0.0874575	0.10675	0.12464
la	0.0329182	0.0518188	0.0409051	0.0483473	0.0328486	0.0248064	0.00885398	0.00813887	0.00352931	0.00485241	0.00546222	0.00849908	0.0252788	0.0303626	0.0570947	0.0627247	0.0263487	0.0552986	0.0471384	0.0505294	0.0734755	0.102912	0.103868	0.0939883
nourriture	0.0280781	0.0277695	0.0279962	0.0323851	0.0322749	0.0164657	0.0112105	0.00629646	0.00363219	0.00562127	0.00919383	0.0163383	0.0296817	0.0308104	0.0522317	0.0472193	0.0243016	0.0593299	0.0560425	0.0536905	0.0681159	0.101036	0.106521	0.153757
</S>	0.0250239	0.0248503	0.0250186	0.0269978	0.0262408	0.0242277	0.0204077	0.0167651	0.0110414	0.0146137	0.0128121	0.0185829	0.0462761	0.0407675	0.0471616	0.0565145	0.0306904	0.0548736	0.0692198	0.0641814	0.0640761	0.0634945	0.07416	0.142003
