 	m	w	ε	n	έ	á	m	i	l	á	r	á	o	k	w	á	á	s	á	r	e	</S>
le	0.00923739	0.0107435	0.011085	0.0190556	0.00811612	0.0126778	0.0311059	0.0759806	0.105157	0.0548113	0.0595236	0.0637754	0.0574003	0.0810903	0.0765745	0.0634876	0.0624873	0.0667103	0.0470542	0.0333027	0.0266733	0.0239506
chef	0.0437606	0.202354	0.277769	0.260857	0.0717895	0.0593566	0.0496396	0.00940064	0.0062133	0.00188383	0.00250957	0.000692695	0.0010649	0.000682331	0.000417568	0.00214036	0.0035597	0.00209421	0.00123434	0.00120735	0.000942935	0.000429268
coutumier	0.0405345	0.0368024	0.0623479	0.0338314	0.110224	0.101945	0.0887662	0.160731	0.0841744	0.0672102	0.0570731	0.0397198	0.0254228	0.0175005	0.0102732	0.0116667	0.0131041	0.0104329	0.00682932	0.00866978	0.00942429	0.00331643
a	0.0130625	0.0321805	0.0481979	0.0644449	0.0969719	0.0817111	0.0923585	0.0782525	0.0733492	0.034879	0.0571197	0.0360729	0.0170475	0.0394572	0.0210979	0.0212368	0.0191198	0.0214203	0.035317	0.0418797	0.0430899	0.0317334
porté	0.0434575	0.0536513	0.090111	0.075952	0.0843321	0.0786105	0.0721816	0.0573004	0.0477584	0.0321614	0.038769	0.0406275	0.0108624	0.0158871	0.0173501	0.0259694	0.028971	0.0285943	0.0357604	0.0423085	0.0286409	0.0507432
un	0.0737515	0.0629544	0.0568447	0.0519566	0.0557933	0.0621502	0.0577336	0.0531127	0.0410253	0.028959	0.0375117	0.0324895	0.0106193	0.0151163	0.0215392	0.0215734	0.027543	0.0272385	0.033778	0.0369457	0.0626083	0.128756
tissu	0.071153	0.0573754	0.056397	0.0472516	0.0431193	0.0455324	0.0351007	0.0233726	0.0341338	0.0149707	0.0514062	0.0388568	0.0244585	0.0414449	0.0106054	0.0404977	0.0474724	0.0501606	0.0465616	0.0513348	0.0668111	0.101984
de	0.319338	0.084584	0.0857454	0.047051	0.0344547	0.0369535	0.0416221	0.0294334	0.0410122	0.0266421	0.0473574	0.0213291	0.00773326	0.0108015	0.00455364	0.00456558	0.00727777	0.00894216	0.0100279	0.0142512	0.0390039	0.0773202
raphia	0.0975242	0.0437802	0.0410888	0.044967	0.0425837	0.0340857	0.0309938	0.0245046	0.0281784	0.0190293	0.0304803	0.0318693	0.0117524	0.0433304	0.00409962	0.0213182	0.027835	0.0515502	0.0501455	0.0898386	0.110076	0.120969
</S>	0.11749	0.0446529	0.0443149	0.0392945	0.055082	0.0471062	0.0390008	0.0413944	0.0301161	0.0269126	0.0223352	0.0174283	0.00919849	0.0278413	0.00404011	0.0183381	0.0313407	0.0319435	0.0436487	0.0885479	0.10819	0.111783
