 	o	k	á	n	d	á	m	ó	o	k	ó	í	w	a	p	í	l	i	ó	d	z	e	p	i	k	ó	b	h	o	k	ó	b	h	o	</S>
la	0.00989959	0.0195632	0.0257646	0.0336741	0.0268887	0.026006	0.0297581	0.0352091	0.0391965	0.0406844	0.0453771	0.0598271	0.0387752	0.0949584	0.040313	0.0474959	0.0228835	0.0189532	0.0301224	0.0185076	0.0307849	0.0145632	0.0134754	0.0142931	0.0206077	0.0220111	0.0193075	0.0244286	0.0277486	0.0281842	0.0226037	0.0255866	0.0127828	0.00887038	0.0108945
tenue	0.00375176	0.00347377	0.00764201	0.0134512	0.0428544	0.10533	0.0687401	0.180251	0.0943422	0.0785892	0.0340114	0.054262	0.0601473	0.0469322	0.0301605	0.0372268	0.0176814	0.0147706	0.0145588	0.00913359	0.00889998	0.0103052	0.00958081	0.00957456	0.00322273	0.00495549	0.0117136	0.00512253	0.00425618	0.00369369	0.00354042	0.0035753	0.00215761	0.00150614	0.000585671
qu'	0.0299571	0.0185745	0.00952535	0.00594478	0.00830818	0.0102971	0.0108501	0.0149983	0.0194027	0.025702	0.014054	0.0162536	0.0225704	0.0952023	0.117573	0.0895781	0.103322	0.0736673	0.0208868	0.048638	0.0172071	0.021123	0.0262513	0.0135065	0.0317619	0.0149601	0.0249658	0.0245731	0.0114724	0.011696	0.0129826	0.0113803	0.00982921	0.00734664	0.00563783
elle	0.0160794	0.0151881	0.0140737	0.0209102	0.0350684	0.0239303	0.00986203	0.0131715	0.0119246	0.0343516	0.0503949	0.0313022	0.0413049	0.0464218	0.0613739	0.0501063	0.0996873	0.0779029	0.0524064	0.0500457	0.0260834	0.0248851	0.025857	0.0269713	0.011168	0.0149128	0.00458986	0.00868396	0.00505578	0.00991838	0.0111491	0.00977783	0.0151078	0.0180996	0.0322339
a	0.0625685	0.0498324	0.0476421	0.045178	0.056425	0.0559597	0.0430204	0.0441965	0.0328797	0.0234191	0.016861	0.0198362	0.0139254	0.0162436	0.0186102	0.0250137	0.0220246	0.0332356	0.0263446	0.0358162	0.0284483	0.0391508	0.0416655	0.0339491	0.0224129	0.0179734	0.0125894	0.0109583	0.0105394	0.0126182	0.0116422	0.00912551	0.0130247	0.0151247	0.0317453
choisie	0.0924767	0.0702659	0.0510076	0.0381361	0.0410111	0.0405532	0.0317714	0.031455	0.0243411	0.0141891	0.00741084	0.0068268	0.00395985	0.00354393	0.00441159	0.0109801	0.00962177	0.0182759	0.0174123	0.0209405	0.0166368	0.0273677	0.0446486	0.0393633	0.0205287	0.0253667	0.0227209	0.0219291	0.0192288	0.0266051	0.0264813	0.0265382	0.0347382	0.0432761	0.0659799
pour	0.0740474	0.0857242	0.0689793	0.0560947	0.0533812	0.0512579	0.0452246	0.0422422	0.0405803	0.0357321	0.0236788	0.0212358	0.00393425	0.00629341	0.00992469	0.0113248	0.0106312	0.021766	0.0149691	0.0303591	0.0210366	0.0135618	0.0167473	0.0142763	0.00975994	0.00976538	0.00808733	0.00914404	0.00981254	0.0121976	0.0107535	0.011604	0.0206297	0.0594757	0.0657671
le	0.0357324	0.0462336	0.056504	0.0480896	0.0498308	0.0517535	0.053196	0.0505596	0.0424568	0.0382037	0.0242503	0.0208632	0.00850856	0.00812991	0.00897967	0.017855	0.0119765	0.0221619	0.0162244	0.0275177	0.0219627	0.0216807	0.0278067	0.0214599	0.0179607	0.0157572	0.00929624	0.00861678	0.0134739	0.0149922	0.0133315	0.0107372	0.0157799	0.0339641	0.114153
deuil	0.0486262	0.0591432	0.0599636	0.0422431	0.0337289	0.020215	0.0174778	0.0127768	0.0106569	0.0119716	0.0163779	0.0213475	0.0100732	0.010552	0.0120511	0.0194055	0.0186191	0.030277	0.0427724	0.0282695	0.0445348	0.0201314	0.0201188	0.0190639	0.0327437	0.0329294	0.0271622	0.0191166	0.0320301	0.0330712	0.0380584	0.0307734	0.0162676	0.0306633	0.0767872
est	0.0353875	0.0239123	0.0286372	0.0253164	0.0261459	0.0253513	0.0223358	0.0227008	0.0249777	0.0394767	0.0678645	0.0692098	0.0336606	0.0307877	0.0179061	0.0164638	0.0155625	0.0225187	0.0314967	0.0253002	0.0384702	0.0173517	0.0289299	0.0271353	0.0326319	0.0213332	0.0134433	0.011971	0.0197857	0.0218122	0.0193908	0.0162349	0.0175956	0.0391292	0.0697729
de	0.0561179	0.0437682	0.0462591	0.040576	0.0466047	0.0261086	0.0139399	0.0103551	0.00831018	0.00856932	0.0097561	0.00909249	0.00918608	0.00432666	0.00487074	0.00753205	0.00659015	0.0102854	0.0106347	0.00804298	0.0197105	0.0198861	0.028304	0.0284472	0.0279276	0.0318897	0.0270699	0.020668	0.0357407	0.0384262	0.05084	0.0443206	0.0468725	0.0749616	0.124009
