 	n	z	i	í	l	a	á	b	é	r	i	m	b	í	a	s	é	k	á	e	y	á	m	ú	a	</S>
nzila	0.00806687	0.00673862	0.00962119	0.0144088	0.0174306	0.0249592	0.0360125	0.0774225	0.0796675	0.10264	0.0908942	0.0807341	0.0696494	0.0644542	0.0626792	0.048471	0.052502	0.0341706	0.0232469	0.0187575	0.0148896	0.0128157	0.0114671	0.0145834	0.0127773	0.0109408
a	0.0818509	0.189165	0.11167	0.0657058	0.0315887	0.0221989	0.0301819	0.0229899	0.0634575	0.0973136	0.0796053	0.0507763	0.036321	0.0119126	0.0135816	0.0131535	0.0137987	0.00920506	0.010858	0.00891063	0.0105572	0.00869514	0.00525677	0.00459532	0.00385947	0.002791
transporté	0.0524242	0.0450868	0.0376403	0.0295445	0.0319017	0.0524251	0.0395419	0.0496039	0.051481	0.018453	0.0269423	0.0258119	0.0304115	0.0594556	0.0516424	0.0540386	0.0672582	0.0595957	0.055398	0.0420698	0.028529	0.0311993	0.0211369	0.0133041	0.0145321	0.0105721
les	0.0358987	0.0382666	0.0485276	0.0568721	0.050118	0.0290212	0.0189539	0.0189698	0.0135357	0.00415713	0.0107536	0.0165438	0.0145135	0.0154159	0.0181524	0.0303641	0.031338	0.0661228	0.0645691	0.0607093	0.047637	0.0504477	0.0421776	0.0432844	0.050295	0.123355
noix	0.0228129	0.0407798	0.0536575	0.0620824	0.0587528	0.050654	0.0399041	0.0443712	0.045049	0.0336367	0.0384935	0.0366626	0.0295047	0.0179243	0.0235572	0.0300508	0.0352788	0.0354928	0.0304475	0.0343948	0.0305514	0.032365	0.0336356	0.042229	0.0378415	0.0598702
de	0.0190698	0.0189182	0.0242387	0.0280184	0.0427572	0.0324314	0.024726	0.0298419	0.0412051	0.0268093	0.0327422	0.046649	0.0409986	0.0284407	0.0272796	0.0268475	0.0313337	0.0379568	0.032865	0.0479155	0.0434278	0.0411807	0.0480099	0.0567451	0.0599859	0.109606
palme	0.0278836	0.0214676	0.0205132	0.0204912	0.0185526	0.0170348	0.0177252	0.0181471	0.0172045	0.0149566	0.0131384	0.0138476	0.00951976	0.0167628	0.0369932	0.048361	0.0686886	0.0715813	0.0586302	0.0687244	0.0638823	0.0599588	0.0649808	0.0685968	0.0675595	0.0747981
dans	0.0415772	0.0256992	0.0247653	0.0234146	0.0217687	0.0198527	0.0178745	0.0166382	0.0130212	0.00887592	0.0101894	0.0135553	0.0106944	0.0199092	0.0374911	0.0559739	0.0743683	0.0787786	0.0736957	0.069344	0.0614112	0.0622216	0.0434152	0.0477521	0.0548985	0.0728141
un	0.110587	0.0712988	0.0547886	0.0563177	0.0217392	0.0132019	0.0135451	0.0113451	0.00812268	0.00894461	0.0040532	0.00454122	0.00316446	0.00514403	0.00604324	0.0112636	0.0284772	0.0263947	0.0411738	0.0308195	0.045873	0.068305	0.0576202	0.0737211	0.0708605	0.152654
panier	0.0424572	0.0354593	0.0341171	0.03073	0.0190281	0.00827304	0.0060014	0.00581566	0.00533474	0.00563182	0.00479586	0.00460878	0.00319551	0.00526716	0.00781367	0.0142161	0.026258	0.0292973	0.0518942	0.0578781	0.0710255	0.0906779	0.102236	0.110696	0.0989951	0.128296
vétuste	0.0682581	0.056192	0.0423951	0.030349	0.0260845	0.0228366	0.0244889	0.0217212	0.0169821	0.0117888	0.0133924	0.0166687	0.0113714	0.0131849	0.0163489	0.0256237	0.0289734	0.0472237	0.0448377	0.0604882	0.0502012	0.0507072	0.0522185	0.0553925	0.0599881	0.132283
</S>	0.1081	0.077757	0.0362882	0.0287919	0.0136808	0.0114514	0.0126202	0.014377	0.0100526	0.0115323	0.00498882	0.00459521	0.00362437	0.00598841	0.00871176	0.0185635	0.0331796	0.0378674	0.0422253	0.040889	0.0557025	0.0638414	0.0666173	0.0813007	0.0801797	0.127073
