 	b	a	r	e	á	p	o	o	á	b	e	n	i	i	a	y	í	í	m	i	t	á	a	l	á	w	a	</S>
les	0.0760155	0.0208823	0.0119192	0.00985799	0.00762649	0.0110511	0.0181746	0.0146781	0.0222279	0.0417462	0.0159404	0.0348766	0.0675507	0.0759779	0.0773181	0.0818785	0.0475566	0.0548393	0.0425347	0.0467379	0.0333348	0.0342676	0.0327994	0.025815	0.0286562	0.033852	0.0176354	0.0142496
gens	0.0914371	0.109031	0.106906	0.116493	0.0902375	0.10474	0.0646542	0.036774	0.0267697	0.0395394	0.0152256	0.0122427	0.0338436	0.0163831	0.00839062	0.0225356	0.0129695	0.0113594	0.00618275	0.0096885	0.00509695	0.00761575	0.00463083	0.0074427	0.013899	0.0142604	0.00779399	0.00385696
du	0.0435779	0.045447	0.0637308	0.065897	0.0501977	0.0287216	0.0219035	0.0246092	0.0365232	0.0304725	0.0288124	0.0278234	0.0253834	0.0312822	0.0419813	0.0436413	0.0603344	0.0385123	0.0406858	0.0411243	0.0450339	0.0404085	0.0232409	0.021528	0.0240935	0.0309942	0.0139729	0.0100666
village	0.0254063	0.040271	0.0587414	0.0660052	0.0767405	0.0447895	0.0415628	0.0459504	0.0343188	0.0292622	0.0265414	0.0163689	0.0235716	0.0121231	0.00870848	0.0143286	0.0215049	0.0371839	0.0592639	0.0666148	0.0591601	0.0435439	0.0327816	0.0261219	0.0162803	0.0190799	0.0190554	0.0347191
sont	0.0154536	0.0146581	0.0142063	0.017839	0.0205595	0.0227947	0.0308097	0.0340691	0.0383078	0.033782	0.0362937	0.0251346	0.0300424	0.0200487	0.0253653	0.0284989	0.0225038	0.0507885	0.0564323	0.0553752	0.0553174	0.059182	0.0523734	0.0517803	0.0322032	0.036654	0.0366247	0.0829019
accourus	0.024937	0.022819	0.0241246	0.0313294	0.0295243	0.0432171	0.0422413	0.0473094	0.0408757	0.0406898	0.0363613	0.0201389	0.0350177	0.052445	0.0404122	0.0401949	0.0327041	0.0419528	0.0342864	0.0264849	0.0449073	0.0352759	0.0211359	0.0363485	0.0230486	0.0407377	0.0240116	0.0674689
en	0.0439255	0.0263989	0.0250405	0.0321641	0.0314794	0.0435902	0.0460876	0.0538129	0.0499801	0.060574	0.0637259	0.0528746	0.0414949	0.0510722	0.0375449	0.0308337	0.0155143	0.0178637	0.014678	0.0169381	0.0185493	0.0232589	0.028186	0.0321314	0.0176461	0.0203862	0.0335291	0.0707196
foule	0.0492052	0.0330793	0.0342706	0.0338437	0.0376269	0.0446786	0.0386928	0.0217824	0.0173277	0.0181809	0.0136422	0.0081022	0.010411	0.00819743	0.00729581	0.00566342	0.00721828	0.00665548	0.00894987	0.0181097	0.0317497	0.0513152	0.0269635	0.0848654	0.0454843	0.0931576	0.0797171	0.163814
pour	0.0477417	0.0414106	0.046427	0.0474065	0.0538159	0.0586807	0.0517353	0.027701	0.0274725	0.0243853	0.0137555	0.0176614	0.0158143	0.0134714	0.0141682	0.0107505	0.0110591	0.00671562	0.0143604	0.0190024	0.0175254	0.0291598	0.0297167	0.0598845	0.0623008	0.065622	0.0603203	0.111935
le	0.16133	0.0723004	0.0505349	0.0399439	0.036595	0.0258763	0.017021	0.012418	0.010541	0.0114218	0.00710093	0.00777359	0.00526797	0.00445198	0.00550151	0.00491772	0.00599596	0.00845274	0.0119394	0.0143182	0.0168457	0.0342982	0.0276205	0.0424314	0.0344655	0.0441318	0.0875467	0.198958
voir	0.0789327	0.05085	0.0448486	0.0333662	0.0272851	0.0265384	0.0262647	0.01649	0.019782	0.0109245	0.00736438	0.0066359	0.00572067	0.00603113	0.0100518	0.00948209	0.0130356	0.014385	0.0151253	0.0180987	0.0247757	0.0381295	0.0294817	0.0453139	0.0492604	0.0701668	0.0851157	0.216544
</S>	0.0435322	0.0391383	0.0425815	0.0427808	0.040149	0.0330687	0.0282274	0.0281266	0.0359917	0.0293991	0.022059	0.017058	0.00670607	0.0057794	0.00729294	0.00459423	0.00650055	0.00801875	0.019257	0.0327567	0.0254789	0.0448578	0.0439384	0.0421947	0.05161	0.0585242	0.0773476	0.16303
