 	w	á	á	n	ω	o	d	z	é	s	á	á	n	d	z	í	í	n	ω	l	ó	o	b	v	á	f	u	l	ú	</S>
si	0.0945482	0.109449	0.0899151	0.0887355	0.0659551	0.0470922	0.0354567	0.0320487	0.0364981	0.0435248	0.0317735	0.0265982	0.0146328	0.0246376	0.0269011	0.0255185	0.0242797	0.0207338	0.0207638	0.0181346	0.0170216	0.0142618	0.0113989	0.0105828	0.0151763	0.0133465	0.00940783	0.0105932	0.012575	0.00843916
tu	0.182303	0.0784386	0.0350904	0.0483808	0.0625869	0.0717474	0.0686147	0.0706425	0.0617393	0.0552688	0.0681512	0.0623057	0.0248202	0.00846802	0.0104218	0.0069284	0.00619505	0.00801503	0.0171138	0.00599852	0.0110605	0.00698216	0.00426428	0.00452442	0.00356244	0.00403886	0.00428274	0.00237174	0.00199371	0.00368915
consommes	0.0178736	0.0133434	0.0159632	0.0204957	0.0232918	0.0316426	0.021012	0.033212	0.0199803	0.0249445	0.0330676	0.0432623	0.0466132	0.0864102	0.0771841	0.0640383	0.0445094	0.0248075	0.0321704	0.0264184	0.0295252	0.0276464	0.0278016	0.0204197	0.0280702	0.0280778	0.0292905	0.0323752	0.0349334	0.0416196
beaucoup	0.0231569	0.0194009	0.0143339	0.0287525	0.0232877	0.0273446	0.0223784	0.0206394	0.0132477	0.0136153	0.0173478	0.024623	0.0309756	0.0399098	0.0371136	0.0658357	0.0458429	0.0280955	0.0498824	0.0501215	0.0565557	0.0490685	0.0397806	0.0409713	0.0329353	0.025263	0.0401577	0.0289848	0.0380993	0.0522788
de	0.0203303	0.0125987	0.0229031	0.0417731	0.0389171	0.0417174	0.0364845	0.0409098	0.0458272	0.057266	0.0559451	0.061415	0.0774604	0.0369182	0.0201584	0.0242713	0.0186063	0.016859	0.0241919	0.016593	0.0266175	0.0251712	0.0183626	0.0172968	0.0220337	0.0164271	0.0262832	0.0297845	0.0359036	0.070974
safous	0.0161395	0.02637	0.0155364	0.0172802	0.0163161	0.0151414	0.0134967	0.0159835	0.0264884	0.0391049	0.0510703	0.0413156	0.0245067	0.0114912	0.00982786	0.0130493	0.0124499	0.0246318	0.0332174	0.0240648	0.0436189	0.0381136	0.0256199	0.0299631	0.047226	0.0378234	0.0608115	0.0689748	0.0728688	0.127498
tu	0.0257941	0.0236599	0.0137281	0.0147206	0.0271707	0.0273784	0.0232808	0.0223107	0.0348081	0.0482006	0.0403953	0.0171013	0.00584482	0.00490235	0.00539029	0.0077682	0.00822631	0.0175678	0.0293304	0.0225271	0.0334948	0.028273	0.027734	0.0295448	0.045118	0.0402044	0.0607138	0.0754355	0.0755176	0.163858
vas	0.0251571	0.0376259	0.0377144	0.0288888	0.051679	0.0588289	0.0476417	0.0601364	0.07537	0.106577	0.0986941	0.0536331	0.0248203	0.015152	0.00883438	0.00317578	0.00389524	0.00552233	0.0122448	0.00847469	0.0147466	0.0139721	0.00875525	0.0158846	0.0154631	0.0112575	0.0189871	0.0189426	0.0173802	0.100545
t'	0.0293013	0.037936	0.0424003	0.0305666	0.0413709	0.0465023	0.0384203	0.0499183	0.0833659	0.124082	0.103961	0.0763029	0.0468532	0.0181194	0.00783488	0.00417742	0.00458467	0.00692403	0.01172	0.00837815	0.0133687	0.0125968	0.00784505	0.0133211	0.00976726	0.00640729	0.0126267	0.0159763	0.0135335	0.0818378
endormir	0.0176076	0.016926	0.0184509	0.0171411	0.0228735	0.0229506	0.0171848	0.0163418	0.0131688	0.014135	0.0101999	0.00896466	0.00858427	0.00806038	0.0076139	0.0079982	0.008952	0.0132926	0.0180064	0.0235371	0.0360308	0.0412483	0.0485102	0.043348	0.0413405	0.0611358	0.0634622	0.107611	0.0697667	0.195557
</S>	0.0434906	0.0352273	0.0284345	0.037334	0.0579496	0.0613101	0.0401625	0.0415947	0.0297392	0.0294955	0.0219806	0.016264	0.0172862	0.0139456	0.00994622	0.0108903	0.0105301	0.00947519	0.010834	0.0108377	0.0151098	0.0170101	0.0201714	0.01901	0.0210993	0.0314828	0.0457963	0.0581733	0.0368753	0.198544
