 	n	d	é	e	y	é	é	t	ó	n	g	í	n	ω	y	é	é	d	í	i	b	a	a	i	k	í	ε	έ	</S>
la	0.018149	0.0321849	0.0269225	0.0275036	0.0261585	0.0232712	0.021453	0.02854	0.0315434	0.027629	0.042396	0.0634775	0.0521588	0.0668953	0.0852752	0.0801379	0.0695767	0.0701054	0.0140537	0.0305744	0.0176116	0.0168692	0.0235014	0.0196941	0.0197279	0.01301	0.0228017	0.01563	0.0131482
maison	0.0352192	0.0494879	0.103634	0.0733941	0.0515373	0.0154726	0.0120125	0.0175993	0.0237406	0.016283	0.0502599	0.0459369	0.021222	0.0377292	0.0260528	0.0198061	0.0420989	0.0278234	0.029662	0.0277227	0.0270176	0.0513109	0.0404334	0.0478951	0.0508191	0.0283607	0.0170055	0.00441706	0.00604605
que	0.0460901	0.0148474	0.0227262	0.0134856	0.0268102	0.027776	0.0248745	0.0243057	0.0253651	0.0155485	0.0187088	0.0244268	0.0253435	0.0377235	0.0453745	0.0341732	0.0435076	0.0346823	0.0377015	0.0330228	0.0543531	0.100696	0.0798554	0.0563584	0.0570304	0.0376	0.0162507	0.0145569	0.00680562
tu	0.0254775	0.033547	0.105781	0.077274	0.085306	0.0646631	0.041574	0.0403213	0.0457225	0.0319736	0.0323111	0.0516854	0.0738876	0.0428082	0.0505762	0.0136719	0.0105744	0.00909781	0.0123365	0.00680925	0.00770418	0.0106758	0.0106367	0.00979455	0.00979054	0.0147139	0.0142795	0.0212259	0.0457804
as	0.0505074	0.0229957	0.0448359	0.0343629	0.0483034	0.0360629	0.032071	0.0254186	0.0216827	0.0117569	0.0100338	0.014166	0.0173456	0.0270511	0.0500288	0.0437355	0.0637017	0.042919	0.0528345	0.0772264	0.0610595	0.0212498	0.0316218	0.029162	0.0180162	0.0157561	0.0146693	0.0241136	0.0573119
construite	0.109513	0.0551569	0.0673783	0.0664639	0.0603562	0.0397515	0.0239893	0.0226866	0.015128	0.0137674	0.0140035	0.0209096	0.0170099	0.023135	0.0301362	0.0242234	0.0245818	0.0189553	0.0219306	0.0234919	0.018802	0.0197673	0.0263283	0.034642	0.0244876	0.0354812	0.0317988	0.0325944	0.0835298
a	0.101707	0.0522003	0.0479255	0.0478762	0.0520385	0.0494059	0.039238	0.0312428	0.0219213	0.0195365	0.0119724	0.0115613	0.0107461	0.0146416	0.0211585	0.0206372	0.0352868	0.0308555	0.0305829	0.0227196	0.0182229	0.0155405	0.0164331	0.018472	0.0221807	0.0273605	0.0334023	0.0422566	0.132877
une	0.0352713	0.0239207	0.0232	0.0256747	0.0379013	0.0575169	0.0565158	0.0402648	0.0350656	0.0389664	0.0254166	0.0171566	0.0103044	0.0117685	0.0151133	0.0140086	0.0157834	0.0106512	0.0176752	0.0243032	0.0190295	0.0316586	0.0284405	0.0343959	0.0436855	0.0531185	0.0723328	0.0689906	0.111869
courte	0.0885712	0.0633524	0.0562545	0.0502194	0.0539354	0.0389906	0.0244473	0.0102324	0.00619065	0.0077419	0.00828806	0.0145949	0.00542693	0.00660426	0.00516485	0.00787777	0.0138208	0.0111371	0.020049	0.0186651	0.0118013	0.0246581	0.012228	0.0203343	0.0227072	0.0353448	0.0450045	0.0833247	0.233033
largeur	0.107227	0.0425125	0.044257	0.0305438	0.0395808	0.0722938	0.0876055	0.0685734	0.0483575	0.0404082	0.017358	0.013081	0.0162311	0.0138721	0.00888759	0.00884826	0.0107236	0.0102737	0.0148761	0.0229713	0.0152494	0.0289684	0.0224507	0.0181086	0.0194358	0.0153338	0.0258806	0.0439222	0.092168
</S>	0.0635935	0.0607834	0.0650359	0.0438432	0.0257703	0.0134821	0.0190787	0.021892	0.032242	0.0136768	0.0169108	0.0154344	0.0151827	0.0222463	0.0438836	0.0386884	0.0168722	0.016717	0.0222476	0.0490968	0.0413787	0.0442426	0.0480571	0.0683226	0.0401647	0.0374314	0.027304	0.0179375	0.0584839
