 	w	á	á	n	ω	l	ó	o	k	y	a	p	ώ	ω	y	é	é	d	í	t	ε	ε	t	ε	ε	ó	m	í	s	i	m	á	n	z	a	m	b	é	n	ω	l	ó	o	d	i	á	l	e	b	í	i	</S>
si	0.117191	0.135076	0.118076	0.120531	0.0317972	0.0223603	0.0248922	0.0277711	0.0204255	0.0251751	0.0260981	0.0184524	0.0129597	0.0126448	0.0115237	0.0132709	0.0134106	0.0123365	0.00877282	0.00757582	0.010835	0.0054585	0.00626281	0.00517453	0.00400289	0.00350504	0.0038484	0.00166149	0.00319925	0.00151087	0.00213528	0.00190343	0.00308412	0.00328833	0.00396342	0.00510215	0.00481057	0.0120432	0.011923	0.0101402	0.0105404	0.0076943	0.00789943	0.00818305	0.0106909	0.010334	0.00856784	0.010088	0.0120159	0.0107687	0.01057	0.00845425
tu	0.0743599	0.0610364	0.0370502	0.0705375	0.0731881	0.0456354	0.0550774	0.0498854	0.0471777	0.0404817	0.0405919	0.0388323	0.0316278	0.020419	0.0201498	0.0203143	0.0280947	0.02236	0.0140725	0.00890701	0.00433054	0.00283422	0.00352844	0.0038179	0.00607077	0.00501927	0.00683646	0.00391731	0.00632281	0.00520891	0.00516592	0.0040833	0.00336604	0.00302631	0.0044578	0.00413022	0.00318208	0.00580684	0.005939	0.0116615	0.00679756	0.0192387	0.010954	0.00619266	0.00957222	0.00419378	0.00417761	0.00468652	0.00788569	0.0106084	0.00685034	0.0103378
accomplis	0.00397543	0.00716378	0.0127482	0.0136525	0.0238353	0.0197817	0.0196512	0.0381441	0.0524661	0.0339761	0.0566438	0.052676	0.0609155	0.0363531	0.036105	0.0335314	0.0750038	0.0408972	0.0330804	0.0178108	0.00946646	0.00683984	0.00712082	0.00971322	0.00973731	0.00813661	0.0111273	0.00589731	0.0091432	0.0066556	0.00841644	0.0076366	0.011027	0.0102486	0.0123722	0.0110917	0.0101755	0.0109285	0.0124284	0.0155835	0.0131009	0.0126581	0.0085534	0.0105693	0.0119438	0.00796143	0.00786201	0.00922684	0.011909	0.0150143	0.0137048	0.0153387
des	0.007796	0.0074405	0.00448229	0.00498132	0.00604869	0.0064931	0.00733289	0.0110443	0.0101446	0.0107826	0.0159083	0.0196051	0.0294109	0.0345171	0.0277684	0.0372092	0.0512553	0.0443531	0.0393946	0.0328777	0.0209358	0.0268076	0.0208892	0.0136364	0.0227665	0.0178729	0.0166279	0.0136119	0.0166604	0.0165511	0.0172266	0.0174092	0.0172644	0.016339	0.0184544	0.0214367	0.0205482	0.0387303	0.0304078	0.0303303	0.0299385	0.02362	0.0280474	0.016801	0.0220472	0.0113545	0.00770396	0.00881808	0.00565902	0.00719963	0.00724217	0.00821606
actes	0.00752202	0.00565615	0.00505285	0.00670931	0.00995453	0.0104843	0.0198497	0.0309434	0.0289608	0.0300878	0.0337571	0.0261415	0.0316979	0.0395575	0.0322658	0.0274413	0.0309343	0.0350222	0.0247231	0.0224174	0.0128137	0.0128222	0.0103418	0.00974981	0.012495	0.0115746	0.0122111	0.0135968	0.0152447	0.0120402	0.0168096	0.0162284	0.0172447	0.0155599	0.0175387	0.0137773	0.0150438	0.0212215	0.0224764	0.0167713	0.0250079	0.0147904	0.0248515	0.0237679	0.0261851	0.0174911	0.0188326	0.0152551	0.0155046	0.0215169	0.0180504	0.0240059
justes	0.00131205	0.00138486	0.00106361	0.00159192	0.00188347	0.00294854	0.00311556	0.00401805	0.00561203	0.00669291	0.0150711	0.011118	0.0195571	0.025808	0.0218983	0.0215047	0.0287556	0.0358422	0.039752	0.0373215	0.0340327	0.0336923	0.0199662	0.0159985	0.0163925	0.0209376	0.0120185	0.0162964	0.0207102	0.0222471	0.0240051	0.0260056	0.0270824	0.0266845	0.0225025	0.0197442	0.0228197	0.0226874	0.0351075	0.020607	0.0374399	0.0162	0.0232967	0.0255024	0.02397	0.0138407	0.0152394	0.0161407	0.0170277	0.0209908	0.0213646	0.0231974
devant	0.00447282	0.00379711	0.00297579	0.00442154	0.00601503	0.0073596	0.0130379	0.0179307	0.0244019	0.0211754	0.0408877	0.0172491	0.0301945	0.0260864	0.0338821	0.0251919	0.0322073	0.0404521	0.0377336	0.038963	0.0247831	0.0294882	0.0144459	0.018868	0.0150712	0.0241178	0.0150928	0.0230277	0.0196333	0.0152641	0.0220474	0.0170596	0.0171191	0.0172159	0.014891	0.0120644	0.0139918	0.0166879	0.0175629	0.0136076	0.019762	0.0138434	0.0175793	0.0202651	0.0179466	0.0165719	0.0196504	0.01681	0.0153369	0.0150315	0.0151403	0.0215875
dieu	0.00614399	0.00528114	0.0030743	0.00566076	0.00718879	0.0125524	0.0140418	0.0225488	0.0286705	0.0231189	0.0292497	0.0183147	0.027684	0.0271658	0.0296636	0.021747	0.0290984	0.0304188	0.0290152	0.0309347	0.0302239	0.0257418	0.0230325	0.0205058	0.0208842	0.0231762	0.020027	0.0185091	0.0193013	0.0120839	0.018669	0.0148513	0.0128546	0.01075	0.0141929	0.00793556	0.00969472	0.0112282	0.0133183	0.00924669	0.0110147	0.00655226	0.00870845	0.00873369	0.0113627	0.00883351	0.014991	0.0203794	0.0276124	0.0430255	0.0379407	0.0630455
tu	0.0066807	0.00536574	0.00343427	0.00604756	0.00711232	0.00933919	0.0113281	0.0163464	0.0211352	0.0183971	0.0244451	0.013589	0.0233725	0.0213949	0.0295912	0.0177045	0.0244514	0.0264613	0.0289247	0.0333961	0.0291928	0.030803	0.0274742	0.0265906	0.0245111	0.0208517	0.0191608	0.0199074	0.0146632	0.0136028	0.0209533	0.0179706	0.0180408	0.0156327	0.0194053	0.011879	0.0134156	0.0142068	0.0153744	0.0123726	0.0137474	0.010483	0.0127123	0.0107577	0.0146998	0.0121936	0.0181097	0.0245247	0.0312691	0.0362476	0.0299989	0.0507302
auras	0.0082704	0.00742974	0.00660841	0.00847263	0.00892015	0.00763856	0.00672656	0.0109404	0.00850989	0.00877137	0.00996162	0.00721732	0.00955854	0.0107922	0.0106056	0.00929051	0.0122716	0.0112536	0.0206161	0.0300887	0.0276336	0.0258922	0.0294859	0.0315732	0.0321617	0.0270619	0.0331152	0.0233124	0.0268001	0.025183	0.025666	0.0192241	0.0210694	0.0238797	0.0179227	0.0187867	0.0174791	0.0210305	0.0183921	0.0204039	0.0227252	0.021366	0.0247495	0.0222028	0.0190188	0.0195049	0.0242756	0.0242334	0.0275131	0.0291357	0.0300474	0.0352102
une	0.00889371	0.00534706	0.00422927	0.00603767	0.00696639	0.00501458	0.00439986	0.005077	0.0044009	0.00650999	0.00596183	0.00632457	0.00804098	0.00953773	0.00891935	0.0101938	0.0122674	0.0171182	0.041468	0.0523356	0.0364012	0.061669	0.0276396	0.0366731	0.0319559	0.0289004	0.0280368	0.0444084	0.0273432	0.0549984	0.041029	0.0231187	0.0275862	0.0370909	0.0163267	0.0212966	0.0184131	0.0171082	0.0145668	0.0143549	0.0127263	0.0156999	0.0158364	0.0099851	0.0124694	0.0101508	0.00804291	0.00886955	0.0130079	0.022008	0.0168509	0.0163919
longue	0.024174	0.00945691	0.00688276	0.0113032	0.0145513	0.00859645	0.00932522	0.0074567	0.00819885	0.0102878	0.0123804	0.00928366	0.0117919	0.0102654	0.00927986	0.0125731	0.0183777	0.02333	0.0530453	0.0527845	0.0391472	0.0627735	0.0326174	0.0425091	0.0334894	0.0287569	0.0284984	0.0434343	0.0248814	0.0347362	0.0422728	0.0176423	0.0195519	0.0300814	0.0128908	0.0139265	0.0096907	0.0088824	0.00851205	0.0117984	0.00684986	0.00936727	0.00832061	0.00601555	0.00749416	0.00692156	0.00577768	0.0091231	0.0115968	0.0175648	0.0172969	0.0242336
