 	w	a	l	á	a	l	o	n	g	á	á	e	b	h	o	y	á	m	í	t	u	m	b	a	l	á	n	g	o	n	d	a	</S>
il	0.0799471	0.132941	0.174783	0.193776	0.210105	0.138918	0.0179364	0.00254195	0.00178533	0.00425219	0.00428137	0.00303549	0.00157559	0.00138366	0.00133377	0.00128849	0.00162026	0.00173948	0.00161554	0.00188574	0.00199477	0.00198778	0.00208876	0.0020973	0.00185413	0.0017186	0.00161727	0.00153784	0.00167547	0.00178185	0.00180292	0.00164642	0.0014515
attend	0.0214763	0.0244283	0.0238076	0.0212902	0.0144512	0.032925	0.0549662	0.103778	0.118353	0.0513026	0.0737705	0.0904262	0.0615716	0.0406437	0.0253841	0.025126	0.0173346	0.0224712	0.0181607	0.0143286	0.0150293	0.0169478	0.0114392	0.00715784	0.00572867	0.00604395	0.0050438	0.00503526	0.00453223	0.00388375	0.00582143	0.0192643	0.038076
la	0.0367011	0.0459556	0.0527728	0.0473672	0.0576705	0.0231789	0.0186849	0.0245546	0.0297417	0.037789	0.0245226	0.0284883	0.0371985	0.0291677	0.02538	0.0245764	0.0345087	0.0313286	0.0366272	0.0360802	0.043621	0.0128462	0.0166179	0.017407	0.0192965	0.0252011	0.0191313	0.0236384	0.0239791	0.0347877	0.0269872	0.0232079	0.0309844
saison	0.00550648	0.00922791	0.0080443	0.00669685	0.00660541	0.00534315	0.00646722	0.00796459	0.0104189	0.0116248	0.015143	0.0290324	0.0268113	0.0220016	0.022186	0.0374127	0.0303308	0.0385861	0.0582613	0.0531821	0.0513679	0.0386443	0.046439	0.0507551	0.0581555	0.0766085	0.0596682	0.0607911	0.0468228	0.0278988	0.0210871	0.0265551	0.0243595
sèche	0.00592753	0.00518009	0.0040442	0.00366868	0.00696592	0.0151197	0.0143818	0.02055	0.016864	0.0147357	0.0261895	0.0393678	0.0479436	0.0528741	0.0501443	0.0400965	0.0328631	0.0285165	0.0299176	0.0199529	0.0188403	0.0101436	0.0124163	0.0148047	0.0168732	0.0315645	0.0339615	0.0337026	0.0546738	0.0468076	0.0596463	0.0855598	0.105702
pour	0.0878377	0.185484	0.126501	0.0922064	0.0340303	0.0543836	0.0431763	0.0523835	0.0328506	0.0242353	0.037651	0.04471	0.0196376	0.0100659	0.00817773	0.00630288	0.00603194	0.00509851	0.0039166	0.00521581	0.00494165	0.0051389	0.00637951	0.00742989	0.00662284	0.00483289	0.00852076	0.0137498	0.00687977	0.00687074	0.007177	0.0112521	0.0303076
brûler	0.0199613	0.0408033	0.0348352	0.0234395	0.0166071	0.0167969	0.0166564	0.017448	0.0170178	0.0166842	0.018442	0.022603	0.0275096	0.0274651	0.0327528	0.029348	0.0315678	0.025722	0.0289405	0.0271059	0.0266291	0.0179074	0.0215917	0.0207016	0.0218431	0.0320269	0.0394598	0.047274	0.0469754	0.0507913	0.0534172	0.0609292	0.068747
son	0.0248193	0.0334839	0.0289429	0.0249946	0.0208237	0.0251404	0.0227289	0.0247616	0.0235412	0.0200003	0.0245008	0.0307131	0.0333683	0.0316567	0.0387263	0.0332931	0.0358585	0.0270536	0.0257275	0.0300334	0.0266059	0.0217085	0.0163353	0.0132441	0.0121039	0.0165261	0.0220911	0.0301644	0.0333798	0.0453595	0.0487341	0.0698188	0.0837605
champ	0.0105337	0.00957672	0.00856103	0.00859556	0.00749738	0.0107117	0.00888381	0.011976	0.0124441	0.00889848	0.00610904	0.00815972	0.00638297	0.00579148	0.00550979	0.00798601	0.00657192	0.00872634	0.00667267	0.0117218	0.0146318	0.0234383	0.0322147	0.0426546	0.044848	0.0548632	0.0725267	0.0698565	0.0751171	0.0763771	0.0947132	0.110734	0.116714
</S>	0.0321683	0.0753657	0.0668154	0.0452777	0.0251739	0.0254983	0.0251301	0.0268807	0.0303657	0.0173902	0.0155607	0.0146143	0.0179841	0.0251559	0.0376082	0.036722	0.0260917	0.0186621	0.0152763	0.018153	0.0178753	0.00798989	0.00812712	0.00806588	0.00913631	0.0115556	0.0181965	0.0179431	0.018984	0.0277961	0.0312632	0.0432991	0.183874
