 	o	l	ó	m	i	á	w	é	e	a	y	í	í	m	w	á	s	í	s	í	n	y	ω	n	g	í	</S>
le	0.0151238	0.0182568	0.0140346	0.0118729	0.0094146	0.0254758	0.0299624	0.0193433	0.0380348	0.055499	0.0683886	0.061121	0.0569461	0.0554934	0.0569759	0.0449099	0.0284341	0.0338808	0.041602	0.0479922	0.053305	0.0427208	0.0302152	0.0387458	0.0312516	0.0341489	0.0368508
mari	0.026374	0.0324621	0.0276195	0.0451047	0.0273598	0.0684512	0.267859	0.134674	0.0639323	0.0397969	0.0827442	0.0291119	0.0143292	0.0161757	0.0234765	0.0164	0.0181324	0.0162387	0.00641175	0.00763258	0.014903	0.00636302	0.00595946	0.00212639	0.00194943	0.00224731	0.00216555
est	0.0396219	0.0197802	0.0119266	0.024427	0.0468313	0.0947672	0.0312893	0.0586004	0.0414621	0.0249321	0.0142437	0.0171561	0.0286756	0.0433395	0.0392895	0.0575563	0.06659	0.0541122	0.0829741	0.0706096	0.0881261	0.0225731	0.0106866	0.00343061	0.00193395	0.00223071	0.00283422
mort	0.0298934	0.0306833	0.0310804	0.0516584	0.0506521	0.0447555	0.0320155	0.0285314	0.0208752	0.0122269	0.00835444	0.00666317	0.0203389	0.0347093	0.0576077	0.0416942	0.0732572	0.116437	0.0625003	0.0681935	0.0429168	0.0242955	0.0295983	0.0198446	0.0159915	0.0197424	0.0254838
et	0.0235756	0.0287711	0.0311999	0.0364697	0.0433041	0.0480446	0.0470781	0.0552372	0.0524181	0.0490438	0.0288443	0.0271687	0.0330799	0.0298924	0.0207205	0.0200972	0.0316709	0.0378246	0.0408412	0.0362872	0.0389114	0.0216422	0.0253743	0.0299934	0.0398776	0.0481942	0.0744376
a	0.0180269	0.0437837	0.0442342	0.0422727	0.0492896	0.0491907	0.0438737	0.0649377	0.047899	0.039704	0.0279883	0.0192494	0.0243337	0.0219339	0.015324	0.0103792	0.0185883	0.0145312	0.0137313	0.0230987	0.0208831	0.0236147	0.0413806	0.0588968	0.053975	0.0920251	0.0768546
laissé	0.0396963	0.0500493	0.0470853	0.0400335	0.0569574	0.0693927	0.0496278	0.0572841	0.0386258	0.0266857	0.0213336	0.0212583	0.028082	0.0281812	0.0238188	0.018438	0.0309205	0.0233088	0.0225081	0.0176308	0.0222643	0.0119324	0.0205212	0.0294812	0.0336611	0.0582061	0.113016
sa	0.0432362	0.0471834	0.0502874	0.0401791	0.0339905	0.0276127	0.0343804	0.0261747	0.021292	0.017755	0.0195937	0.0209525	0.0159209	0.0211521	0.0151804	0.0154138	0.0149533	0.022018	0.0183605	0.0221612	0.0234156	0.0153309	0.0310245	0.0502733	0.0852237	0.105433	0.161501
femme	0.120399	0.0845701	0.0663495	0.0377951	0.0176094	0.0142332	0.0192881	0.0214419	0.0199396	0.0249776	0.0258396	0.026068	0.0169274	0.0111821	0.00580959	0.00510749	0.00766926	0.00997991	0.00812959	0.0103185	0.0177228	0.0115397	0.0405778	0.0384011	0.051077	0.0924885	0.194558
dans	0.0918026	0.0642759	0.0547072	0.0387689	0.027168	0.0184202	0.00805639	0.0176045	0.01624	0.0101024	0.00555556	0.00557072	0.00483725	0.00441318	0.00639493	0.00405422	0.015046	0.0153197	0.0181572	0.0404021	0.0428821	0.0353631	0.103053	0.0764767	0.0815773	0.083667	0.110084
les	0.0834027	0.0524852	0.0413098	0.0332333	0.0198223	0.0120742	0.0118928	0.0151126	0.0179193	0.0143417	0.00616597	0.00563337	0.00528992	0.00539407	0.00519815	0.00463185	0.00821046	0.0174464	0.0228892	0.0405742	0.0467084	0.0212434	0.0560838	0.103668	0.112079	0.102978	0.134211
souffrances	0.0620375	0.0446422	0.0334502	0.0187477	0.0116938	0.00951147	0.00977217	0.0118074	0.0124511	0.0103283	0.00536341	0.00523213	0.00603885	0.00689847	0.00469024	0.00226767	0.0080378	0.00837867	0.00824613	0.0354062	0.0394947	0.0351328	0.0919575	0.11901	0.126626	0.132979	0.139799
</S>	0.0840301	0.0616413	0.0492087	0.0385973	0.0246547	0.017726	0.0116447	0.0186551	0.0225937	0.00794263	0.00381525	0.00516845	0.0058465	0.00675759	0.0104167	0.00810737	0.0114864	0.0186712	0.0177412	0.0311381	0.030293	0.0165465	0.0559493	0.104946	0.104012	0.0901107	0.142299
