 	e	m	b	ώ	s	í	y	é	é	p	έ	w	á	l	a	n	g	á	é	s	á	l	i	n	g	á	o	t	é	m	a	</S>
la	0.0077984	0.00940394	0.00745523	0.00825424	0.006823	0.0218676	0.0296299	0.0355106	0.0346086	0.035704	0.0403718	0.0475973	0.0436864	0.0429467	0.0407533	0.0398534	0.0275968	0.0206684	0.0225264	0.0257315	0.0276926	0.0339166	0.0382626	0.036134	0.036624	0.0417363	0.0427781	0.0331104	0.0425257	0.0437027	0.0446918	0.0300378
parole	0.171405	0.110789	0.0643784	0.0405644	0.0189687	0.0193799	0.0120109	0.0110249	0.0146709	0.0337159	0.0506436	0.0356606	0.0664255	0.0483668	0.0469829	0.0418563	0.0192537	0.0170918	0.0089549	0.0239544	0.017685	0.0131791	0.00832547	0.0162533	0.0141466	0.0223975	0.0157253	0.00712351	0.0134536	0.0107925	0.00240936	0.00241043
qu'	0.044804	0.0442539	0.0294305	0.0346824	0.0318508	0.0151964	0.0150047	0.0162877	0.00684526	0.0173392	0.00726299	0.00715224	0.0208332	0.0394892	0.0445202	0.0424879	0.0602961	0.0840114	0.0915536	0.0849774	0.0823721	0.0318145	0.0249006	0.0362531	0.0326317	0.00871511	0.00535522	0.0120471	0.00655872	0.00745266	0.00668954	0.00693065
il	0.0363601	0.0318199	0.0447722	0.0495173	0.066122	0.0569537	0.0365327	0.021442	0.0203743	0.032321	0.0207551	0.0189175	0.0158464	0.0149899	0.0228824	0.0278081	0.02475	0.0274251	0.0288996	0.0364242	0.0319907	0.0218606	0.0299542	0.0163581	0.0181435	0.0238687	0.0265918	0.0210712	0.0332766	0.0352056	0.0394383	0.0673272
m'	0.0220112	0.0260129	0.0367557	0.0474511	0.0424097	0.0464445	0.041403	0.0290463	0.0200851	0.0251189	0.0233313	0.0133675	0.0373511	0.0473058	0.0377175	0.057187	0.0532878	0.0401762	0.05871	0.046061	0.0323675	0.0212971	0.019756	0.0202733	0.0193195	0.0138247	0.0154143	0.0140142	0.0122167	0.0166824	0.017472	0.0461287
adressée	0.0251869	0.0338837	0.0383752	0.0441988	0.0443396	0.0476042	0.0364185	0.0222595	0.0198273	0.0199938	0.0267197	0.00964561	0.019602	0.023689	0.0209627	0.0283682	0.0473557	0.0339759	0.0367976	0.0352741	0.0312738	0.0288669	0.0289934	0.0285563	0.0279517	0.0239879	0.0254128	0.0221456	0.0251384	0.0348477	0.0361606	0.072187
m'	0.0446936	0.0474766	0.0344757	0.0368037	0.029263	0.0282582	0.0318017	0.0367772	0.0341179	0.0303427	0.0160217	0.0158832	0.00725716	0.0065324	0.00831191	0.00863453	0.0037814	0.00387739	0.0133936	0.0157056	0.0174752	0.0177166	0.0225803	0.0209267	0.0342546	0.040778	0.0452059	0.0424124	0.045958	0.0397099	0.044217	0.175356
a	0.0429948	0.0550394	0.0485426	0.0419624	0.0410794	0.0249068	0.0212962	0.0300105	0.0321798	0.0432966	0.0256789	0.0176833	0.00637381	0.00747348	0.00661062	0.00530298	0.00535735	0.00396077	0.0095533	0.0114235	0.00955142	0.0168545	0.0263791	0.0219178	0.0249707	0.0251101	0.0319313	0.0349958	0.0414533	0.0502974	0.0548911	0.180921
frustré	0.0835271	0.0447384	0.0318544	0.0263813	0.0286642	0.0164944	0.0110291	0.0129518	0.0144423	0.0186989	0.0119984	0.0188238	0.00966638	0.00729752	0.00643463	0.00689248	0.00521422	0.00496779	0.012561	0.0274589	0.0179046	0.0215721	0.0364222	0.033467	0.0355078	0.0381032	0.0373354	0.0385234	0.0689982	0.0802968	0.0826502	0.109122
</S>	0.0457418	0.0433213	0.0318246	0.0262663	0.0235627	0.0141704	0.0127637	0.0163474	0.0166414	0.0166353	0.018452	0.0108572	0.00811668	0.0067914	0.00893247	0.0130192	0.0079134	0.00637864	0.0154521	0.0131724	0.0088894	0.02044	0.0234384	0.0174121	0.0164269	0.0172686	0.026602	0.0219023	0.0586463	0.0887493	0.118929	0.224935
