 	o	t	ω	m	b	í	l	i	m	ó	o	l	e	í	m	ú	ó	m	w	a	i	n	g	á	m	á	a	</S>
la	0.0188554	0.0376358	0.0187174	0.0172495	0.0186031	0.0148641	0.0159837	0.020018	0.0248741	0.0451081	0.0534146	0.0335819	0.0473064	0.0359949	0.0180253	0.0196623	0.0104985	0.0218634	0.0274757	0.0530591	0.0703586	0.0500353	0.0603971	0.0567929	0.0527287	0.0626355	0.0610532	0.0332072
voiture	0.0433669	0.158445	0.103256	0.0704512	0.102744	0.0607813	0.0536912	0.0770568	0.0963946	0.0580818	0.0398128	0.0193583	0.014996	0.0130686	0.0110065	0.0140632	0.00907829	0.01567	0.00347539	0.00903052	0.00826828	0.00468906	0.00219543	0.00410466	0.00306562	0.00202198	0.00122399	0.000602447
qui	0.0519901	0.0566711	0.0728529	0.0374365	0.0376074	0.0226934	0.0256302	0.0204557	0.0371188	0.049068	0.028706	0.0166568	0.0240476	0.0118759	0.0111258	0.0216029	0.0207554	0.0674584	0.051303	0.0955691	0.0617663	0.0309731	0.0310667	0.0350484	0.0186618	0.0251212	0.0288739	0.00786383
vient	0.0281491	0.0450547	0.0470375	0.0372398	0.0463814	0.0694224	0.054269	0.0406095	0.0665687	0.0986008	0.0487519	0.0333849	0.030512	0.0215198	0.0125312	0.0169082	0.0148549	0.0243009	0.0368539	0.0492877	0.0267884	0.0118997	0.0143306	0.0147553	0.0216483	0.0253787	0.0264981	0.0364626
de	0.0265974	0.0305673	0.0309716	0.0218964	0.0264194	0.026324	0.0183164	0.0183269	0.0195134	0.0252935	0.0189499	0.0214048	0.0271303	0.0317133	0.0194151	0.0426998	0.0716493	0.0352391	0.0573007	0.0278581	0.0407536	0.0292339	0.0333308	0.0188942	0.0426188	0.0355161	0.0397534	0.162312
passer	0.0214737	0.0172882	0.0217013	0.021177	0.0244475	0.024198	0.0230949	0.0269948	0.0253097	0.014803	0.0148861	0.0170014	0.0252779	0.0323882	0.0562658	0.0889248	0.0468536	0.0540227	0.0477614	0.0385726	0.043884	0.0396195	0.0441439	0.0377048	0.0407183	0.0453379	0.0396266	0.0665221
m'	0.024828	0.0197168	0.0280684	0.026663	0.0270785	0.0239283	0.0269666	0.0312466	0.0312387	0.025621	0.024032	0.0268243	0.0336475	0.0430859	0.0656334	0.100826	0.0994549	0.0598219	0.0335047	0.00886883	0.0188634	0.01294	0.0143851	0.0120513	0.0315216	0.0263898	0.0215839	0.10121
a	0.0534391	0.0597089	0.0589383	0.0557269	0.051476	0.0413601	0.0395163	0.0270118	0.0171011	0.0175277	0.0158927	0.0123391	0.0129523	0.00700565	0.0126503	0.0132927	0.0154645	0.0133017	0.0244401	0.021456	0.0304951	0.0260006	0.0352295	0.0216257	0.057566	0.0572225	0.0475474	0.153712
éclaboussée	0.151942	0.0759695	0.0702062	0.0544798	0.0381027	0.0255442	0.0229657	0.0134109	0.0105954	0.0143641	0.0131096	0.0087838	0.0132805	0.0106903	0.0106987	0.00941121	0.00826082	0.00703371	0.0109845	0.0198325	0.0431375	0.0185107	0.0222147	0.024213	0.0574296	0.0534291	0.0507195	0.14068
</S>	0.0882054	0.0599963	0.0408988	0.0362617	0.0326872	0.0287266	0.0297956	0.0254138	0.0211416	0.0266141	0.0193158	0.01019	0.0215209	0.0107284	0.0132609	0.0124099	0.0181995	0.0168572	0.0491748	0.0221354	0.0458285	0.0277813	0.0250157	0.0270893	0.0542168	0.0559238	0.0583407	0.12227
