 	i	n	y	ώ	ώ	l	á	n	g	ó	o	y	a	b	í	s	í	í	d	í	a	y	ú	r	u	l	a	y	u	r	u	</S>
la	0.0467012	0.0316372	0.0337565	0.02698	0.0318589	0.026588	0.0263135	0.0331255	0.0249679	0.0350986	0.0553019	0.0340398	0.027708	0.0226032	0.0208218	0.0227917	0.0255746	0.0297565	0.0387354	0.0663908	0.0576906	0.0516607	0.0321135	0.0267084	0.0228133	0.0253909	0.0250423	0.0264734	0.0230759	0.0222742	0.014564	0.0114418
lignée	0.0426902	0.030562	0.0320593	0.0277471	0.0539973	0.0184737	0.0494616	0.0274546	0.0200663	0.00945644	0.0136067	0.0112012	0.0178493	0.0120478	0.0474788	0.0749724	0.105715	0.0615156	0.064791	0.0451442	0.061835	0.0350784	0.0236293	0.0232338	0.0150238	0.0184046	0.00921976	0.0142465	0.0102444	0.00790852	0.00958596	0.00529965
de	0.0684222	0.0309997	0.0199474	0.0117482	0.0174972	0.0119591	0.00893283	0.014292	0.00434691	0.00494761	0.00648574	0.00487966	0.00902904	0.0166264	0.0277118	0.0421526	0.0415155	0.0834782	0.0711341	0.117424	0.0862068	0.0403757	0.0520682	0.0407844	0.0496727	0.0350302	0.0233797	0.0187685	0.0199601	0.0091723	0.00789748	0.00315403
ma	0.0104891	0.0138954	0.0407807	0.0642364	0.0495173	0.0450648	0.0404549	0.0543231	0.0663475	0.0416534	0.0499228	0.042417	0.0389587	0.0222911	0.0253663	0.0123471	0.0155905	0.0215548	0.0318975	0.0158597	0.01476	0.0141596	0.0178202	0.0220008	0.0288861	0.0351801	0.0216346	0.0177952	0.0234084	0.0178444	0.0365164	0.047026
mère	0.0406074	0.0294326	0.0227796	0.0270526	0.0250734	0.0208001	0.0181409	0.0204212	0.0235672	0.0259385	0.0226219	0.0146261	0.0207086	0.0227506	0.02598	0.0371022	0.0360952	0.0365829	0.0214615	0.0292599	0.0267142	0.0428031	0.0467519	0.047778	0.0599255	0.0480771	0.0401688	0.0366559	0.0336365	0.0291372	0.0313114	0.0360381
ne	0.132977	0.0699557	0.0423769	0.0383564	0.0417359	0.0344754	0.033054	0.03023	0.0770636	0.0442565	0.0361559	0.0189374	0.0209328	0.0174989	0.0141675	0.0235271	0.0164167	0.0159852	0.010198	0.0116001	0.00883926	0.0156842	0.0147988	0.0170551	0.0189142	0.0120422	0.0166986	0.0154396	0.0232926	0.0183364	0.0384617	0.0705365
compte	0.0926159	0.0535673	0.0430472	0.0478318	0.0512918	0.0447575	0.0390635	0.0434856	0.0403434	0.0246197	0.0169198	0.00865206	0.0104766	0.010137	0.0142731	0.0222239	0.0164694	0.0175847	0.0157011	0.0138395	0.0140875	0.0313434	0.0306222	0.0278695	0.0279631	0.0177197	0.0263696	0.0234666	0.0296453	0.0201508	0.0414684	0.0823933
que	0.0678941	0.0460856	0.0252559	0.0302859	0.0445574	0.0460206	0.0462363	0.0346917	0.031851	0.0336737	0.0359918	0.027273	0.0313891	0.0311637	0.0208735	0.0264994	0.0143344	0.0170596	0.0102858	0.0130989	0.0105628	0.0109393	0.012445	0.0169431	0.0212264	0.0226499	0.0280012	0.0269166	0.0376927	0.0339512	0.0484748	0.0956757
des	0.0420872	0.0316103	0.0383743	0.0447021	0.0415732	0.0358894	0.0357029	0.0362741	0.0419675	0.0483322	0.04483	0.0317296	0.0426926	0.031939	0.0351597	0.0184482	0.0127132	0.0123774	0.0114865	0.00831215	0.00609758	0.00780274	0.0156161	0.0227942	0.0316783	0.0183256	0.0308673	0.0392443	0.0400867	0.0391948	0.0341824	0.0679083
femmes	0.0798157	0.0429583	0.0396069	0.0280782	0.0191788	0.0149427	0.0141398	0.0131571	0.00897622	0.0188952	0.0295276	0.0358269	0.0432308	0.0442879	0.045167	0.0440216	0.0332672	0.0446821	0.0222437	0.0247457	0.0191044	0.0262104	0.0264485	0.0280554	0.0248529	0.0268211	0.0209711	0.0248489	0.027397	0.0294575	0.0309689	0.0681144
</S>	0.228843	0.116136	0.0839364	0.0641733	0.0394093	0.0208487	0.0133703	0.0125925	0.0103432	0.0143818	0.0166591	0.0210199	0.0127303	0.0119937	0.00947069	0.0114091	0.00582053	0.00900943	0.00587572	0.0137296	0.00791391	0.0132043	0.0125441	0.0144078	0.010642	0.00952389	0.00932575	0.0128391	0.0210625	0.0263321	0.0415753	0.0988759
