 	e	l	ώ	r	í	r	í	y	é	é	l	ώ	r	í	n	g	á	w	a	é	p	έ	ε	n	g	á	a	m	w	a	</S>
la	0.00957044	0.0134241	0.0146533	0.0157401	0.0177565	0.0172593	0.0268199	0.0384874	0.0532113	0.0559573	0.0573312	0.0575656	0.0663213	0.075222	0.0515853	0.0324905	0.0339162	0.0369389	0.0169425	0.0193909	0.0322534	0.014224	0.0263105	0.0196077	0.0169609	0.0274742	0.0281277	0.0266159	0.0304388	0.0238243	0.0435786
manière	0.0209918	0.0363958	0.0345054	0.0368093	0.023694	0.0168634	0.0185006	0.0194797	0.023702	0.0198582	0.0203105	0.0309167	0.0890914	0.0579689	0.0726497	0.0460224	0.0405709	0.0374161	0.0228152	0.0224757	0.0432142	0.0418927	0.0541762	0.0460231	0.0260472	0.0348788	0.0157799	0.0316484	0.00739613	0.00418912	0.00371635
dont	0.106936	0.0446455	0.0275147	0.0229844	0.0192195	0.0251432	0.0231734	0.020507	0.00834266	0.00869462	0.0113003	0.0137741	0.0167442	0.0330779	0.0338828	0.0409168	0.0484064	0.0490197	0.0340732	0.0480576	0.0935297	0.0609254	0.0686842	0.0243575	0.0238213	0.0216301	0.00854186	0.0100189	0.00667864	0.0122468	0.0331511
j'	0.0469827	0.0440235	0.0437404	0.0367804	0.0401593	0.0403515	0.0352782	0.0415421	0.0465664	0.0391306	0.041406	0.0373069	0.0341328	0.0435856	0.0359717	0.0358447	0.0508235	0.0160808	0.0127484	0.0129308	0.0281101	0.0211363	0.0185457	0.0203718	0.0424594	0.0185142	0.0132939	0.0133662	0.019854	0.0132266	0.0557355
ai	0.0725033	0.0554568	0.0515709	0.0399654	0.0510251	0.0467971	0.0298884	0.0321667	0.0281944	0.0333284	0.0290632	0.0330661	0.0258508	0.0307129	0.0441541	0.0411576	0.0287082	0.0143206	0.0244349	0.01636	0.029628	0.0366263	0.0220362	0.0179883	0.0455101	0.020036	0.0139307	0.0135287	0.013759	0.0203106	0.0379212
rêvé	0.0332786	0.0343599	0.0398561	0.0432125	0.0569749	0.0635861	0.0405605	0.043909	0.0386696	0.0367791	0.0377148	0.0543337	0.0250987	0.0269158	0.0533774	0.0326205	0.0115425	0.00472686	0.00876925	0.00794114	0.0250577	0.0355944	0.0261803	0.0265504	0.0403736	0.0226014	0.0169642	0.0110988	0.0244926	0.0214755	0.055384
de	0.054073	0.0560293	0.0404068	0.0274593	0.0355855	0.0657208	0.0328489	0.0452687	0.0335928	0.0292195	0.0322994	0.0441682	0.0440012	0.0444025	0.0652943	0.0492432	0.0285807	0.00915877	0.00950315	0.00727275	0.0110758	0.0150219	0.0117879	0.0126826	0.0250293	0.018088	0.0219004	0.0181042	0.0282501	0.0332875	0.0506433
lui	0.0313447	0.0416763	0.047281	0.0625405	0.0817228	0.0708765	0.0401552	0.0360827	0.0433494	0.0522746	0.051278	0.0464777	0.0346795	0.0232127	0.0360832	0.0166368	0.0060514	0.00181286	0.00358619	0.00312679	0.00646068	0.00954368	0.00972807	0.0197015	0.011086	0.0159943	0.0251037	0.0181008	0.0407174	0.0382894	0.0750257
ma	0.0357659	0.0395679	0.0402925	0.0397915	0.0395875	0.0387707	0.040877	0.0443838	0.0450093	0.0369435	0.0328124	0.0380691	0.0256552	0.0183469	0.0233417	0.0195648	0.016674	0.00790581	0.00858652	0.00986957	0.0221658	0.0203033	0.0301338	0.0317278	0.0273363	0.0256179	0.0328746	0.0217701	0.049283	0.0316238	0.105348
fait	0.0509781	0.0476891	0.0380179	0.0264353	0.0150648	0.00761609	0.0116233	0.0163363	0.0130269	0.0127145	0.0119354	0.0149835	0.0148777	0.0114992	0.0164479	0.0246747	0.0307581	0.0295055	0.026257	0.027288	0.0503286	0.0393185	0.0513426	0.0479383	0.032068	0.0365513	0.0345844	0.0342896	0.0619321	0.0610388	0.102878
peur	0.170628	0.117693	0.0889891	0.0579893	0.0419793	0.0201859	0.0189326	0.0180915	0.0125502	0.00728903	0.00625892	0.00596897	0.00536484	0.00605787	0.00564295	0.00702275	0.00917824	0.0057244	0.00246726	0.00308127	0.0158914	0.00804383	0.0164761	0.0139536	0.014563	0.0129116	0.0256601	0.026172	0.052813	0.0363012	0.166118
</S>	0.19122	0.12489	0.0709825	0.0417527	0.0321996	0.016578	0.0160242	0.0173213	0.0157504	0.0121649	0.0109314	0.00966182	0.010763	0.00525803	0.0057571	0.00418118	0.00281629	0.0016677	0.00169301	0.00222256	0.00554621	0.0060094	0.00766598	0.00914458	0.007911	0.0104579	0.0270572	0.0267245	0.0607963	0.0621754	0.182675
