 	p	a	r	á	a	d	í	w	a	a	b	h	i	l	á	a	k	o	n	d	z	á	b	e	a	a	b	h	i	i	k	á	m	b	í	m	ó	m	o	r	o	k	a	á	</S>
maintenant	0.0136903	0.0389678	0.0266234	0.046182	0.0255556	0.0426364	0.0262875	0.00740652	0.0179202	0.0187708	0.0377628	0.0272048	0.0172828	0.0331875	0.0364387	0.0229139	0.0329711	0.0449567	0.0282493	0.0209399	0.0175527	0.0156181	0.0145522	0.0117637	0.0107538	0.0133197	0.00812821	0.0132057	0.00664878	0.00967125	0.0078177	0.00914446	0.00877515	0.0144519	0.0215457	0.027362	0.0221367	0.0273393	0.0307471	0.032375	0.0272827	0.0241569	0.0193325	0.0255606	0.0148099
il	0.0500576	0.0856145	0.101449	0.0769762	0.0786046	0.0383876	0.0438298	0.0498121	0.0314881	0.0567073	0.024036	0.0295809	0.0112853	0.00348912	0.0127374	0.00332803	0.00719341	0.00541807	0.00918151	0.0125729	0.00509427	0.00546083	0.006748	0.00850365	0.00824596	0.0125781	0.0106868	0.014252	0.0202895	0.0128443	0.00748424	0.00800948	0.0111977	0.00902827	0.0188605	0.0193054	0.0204302	0.0223346	0.00669036	0.0124322	0.00550166	0.0104719	0.00436249	0.00292955	0.00450823
gagne	0.0200051	0.0172253	0.0163123	0.0084123	0.00727466	0.00444284	0.0230057	0.0124754	0.0231185	0.0353638	0.0549099	0.061348	0.0374439	0.0282173	0.0384676	0.0421351	0.0590714	0.0552303	0.059577	0.0211161	0.0214527	0.033513	0.0243063	0.0401723	0.0240573	0.00989834	0.0352868	0.0137782	0.0180058	0.0154386	0.00965706	0.00911227	0.00968315	0.0101285	0.0135429	0.00943566	0.0100735	0.0105939	0.00628206	0.00960413	0.00818638	0.00789611	0.0077686	0.00736469	0.00960908
sa	0.0492546	0.0299732	0.0287777	0.0290236	0.0260476	0.0080379	0.0201651	0.022408	0.0103536	0.0131191	0.0184776	0.0309295	0.0361128	0.0324075	0.0473839	0.0608462	0.0232379	0.0435839	0.0267055	0.0221197	0.0270838	0.0296907	0.0258551	0.0247271	0.0252772	0.0231962	0.026636	0.0230755	0.0245124	0.0160983	0.0103243	0.0130118	0.0103935	0.0100295	0.0109999	0.0122428	0.0102794	0.00981279	0.00972165	0.01644	0.00831451	0.0128292	0.00999916	0.0136619	0.016822
vie	0.0191323	0.013706	0.0124515	0.0133905	0.0250579	0.0226645	0.01868	0.0311098	0.0402868	0.0355957	0.0205876	0.0205883	0.0244555	0.0174741	0.0241761	0.0204511	0.0284995	0.0282983	0.0294276	0.0242768	0.0208787	0.0250875	0.0229959	0.0249714	0.0195715	0.018494	0.0218082	0.0209891	0.0200254	0.0198968	0.0150463	0.0166075	0.0202942	0.0231881	0.0219904	0.022408	0.0141495	0.0271337	0.0220714	0.0191441	0.0126601	0.0142871	0.0164564	0.0220076	0.0475267
sans	0.0205801	0.00978213	0.00973144	0.0105727	0.0159959	0.0226914	0.022972	0.0220972	0.0151182	0.0115936	0.00907103	0.00828315	0.0124247	0.0135016	0.0164685	0.0143432	0.0144723	0.0225236	0.019449	0.0187331	0.0186547	0.0212762	0.0182902	0.0222609	0.0196454	0.0218685	0.0199776	0.0159154	0.0167816	0.0187256	0.0136871	0.0210206	0.0313862	0.0344812	0.0357011	0.0291696	0.0261928	0.04821	0.0457871	0.0312219	0.0249925	0.0273072	0.0242826	0.0377675	0.0649913
avoir	0.0196099	0.00974751	0.00983318	0.0127924	0.0114293	0.0132215	0.0171038	0.0129106	0.00533556	0.00493259	0.00536916	0.00605209	0.00887798	0.0081115	0.0111893	0.00814091	0.00591762	0.00707276	0.0116778	0.00958129	0.00949891	0.0118971	0.0113591	0.0180548	0.0155029	0.022719	0.0264555	0.0163555	0.0230937	0.0303482	0.0214687	0.0360376	0.045204	0.0520117	0.0470351	0.0423925	0.0439635	0.0403813	0.0405504	0.0360973	0.0315762	0.0347789	0.0291243	0.0410911	0.0740959
besoin	0.0239669	0.0178038	0.0184887	0.019121	0.0181069	0.024164	0.02559	0.0202292	0.010036	0.00896204	0.00961919	0.00667418	0.00851816	0.00666897	0.00449062	0.00856642	0.00744279	0.00852355	0.0145809	0.0129228	0.0136965	0.0125741	0.0136755	0.0180151	0.0131477	0.0171805	0.0173895	0.00955883	0.0144589	0.0144314	0.0138073	0.0214181	0.0338122	0.0356989	0.0359494	0.0297773	0.0375887	0.0455767	0.0483421	0.0353352	0.027663	0.039322	0.0314541	0.0513387	0.0943123
de	0.0310171	0.0156314	0.0167606	0.0202073	0.0137057	0.00907678	0.014334	0.0132896	0.0071069	0.00598814	0.00697583	0.00645991	0.00753712	0.00650984	0.010492	0.0134439	0.0125524	0.0135462	0.0175643	0.0137119	0.0194562	0.0173826	0.0177206	0.0188718	0.0206124	0.0226738	0.0297428	0.0171205	0.0266589	0.0306471	0.0276156	0.0339401	0.0339096	0.0343041	0.0352877	0.0364682	0.0357499	0.0281552	0.032722	0.0305986	0.0305797	0.0324839	0.0383547	0.0367584	0.0562746
personne	0.0220674	0.0139061	0.00960132	0.00951412	0.0108437	0.00715058	0.00699453	0.011006	0.00450399	0.00380023	0.00551422	0.00621486	0.00629166	0.00461043	0.00445399	0.0140743	0.0144203	0.0109574	0.0196381	0.0171521	0.0255005	0.0234944	0.0233759	0.0241186	0.0368028	0.0337854	0.0515019	0.0247088	0.041816	0.0450157	0.0355943	0.0253062	0.0332204	0.0234689	0.0337913	0.0211288	0.0211461	0.0120876	0.0181073	0.0215244	0.0186499	0.045149	0.0411213	0.0498097	0.0670597
