 	n	z	έ	n	d	z	έ	á	m	i	k	y	á	i	f	u	s	a	s	á	l	e	p	á	n	g	e	l	á	b	í	s	í	</S>
le	0.0221573	0.0171901	0.0197433	0.0214027	0.0290375	0.0194869	0.0273385	0.032453	0.0268057	0.0253257	0.0377497	0.0472663	0.0330216	0.0313891	0.0344161	0.0182396	0.0141639	0.0134973	0.0202075	0.025883	0.0370954	0.0322988	0.0257704	0.0286803	0.0342534	0.0266716	0.0224348	0.0243932	0.0225472	0.0358207	0.0490044	0.0551146	0.0539129	0.0352275
grillon	0.0686866	0.123463	0.180233	0.104239	0.127413	0.0533217	0.0327869	0.0439473	0.0504995	0.0260703	0.0185906	0.0248272	0.0152686	0.0358193	0.0163217	0.00628704	0.00565137	0.00467784	0.00159083	0.00332421	0.00252366	0.00341155	0.00390297	0.00437518	0.00481842	0.00490713	0.00806936	0.00472141	0.00387199	0.00737111	0.00261224	0.00179414	0.00279835	0.00180306
a	0.0279802	0.0256577	0.0221205	0.0187567	0.0289342	0.0402632	0.04764	0.0352025	0.034104	0.0390767	0.0338474	0.0350466	0.0318048	0.0288237	0.0421788	0.0505135	0.0551551	0.0330937	0.0445021	0.0403733	0.027456	0.0455192	0.0307256	0.0228225	0.0265726	0.020099	0.0181407	0.0231062	0.0152766	0.0130782	0.00780062	0.0106704	0.0109773	0.0126802
fait	0.0432309	0.0640252	0.0600433	0.061758	0.0594621	0.0671472	0.0596453	0.0463107	0.056412	0.0302754	0.0250288	0.0262415	0.0217056	0.0165371	0.0326236	0.046704	0.0285782	0.0271294	0.019195	0.0174632	0.0173778	0.0112042	0.0147804	0.0109743	0.00677682	0.00906701	0.0111101	0.0115752	0.0105876	0.00932221	0.0097499	0.0122006	0.0175617	0.0381957
un	0.0429645	0.0280958	0.0244963	0.0226497	0.0236394	0.0241157	0.0245155	0.0189849	0.0202948	0.0225448	0.0271282	0.0343566	0.0360812	0.0372811	0.0387249	0.0657326	0.050833	0.0403325	0.0222348	0.0259782	0.0233659	0.0242711	0.027278	0.025343	0.0256289	0.0261714	0.0255892	0.0210632	0.0203595	0.026634	0.0245986	0.0264709	0.0310091	0.0412327
bond	0.0282181	0.0292065	0.0221828	0.0140284	0.0103417	0.0151875	0.0174127	0.00746264	0.010908	0.0122111	0.0143229	0.0153926	0.0108116	0.0144093	0.0301067	0.0516763	0.043855	0.0480655	0.0274226	0.0418136	0.0318922	0.0366979	0.0452096	0.0455362	0.0305017	0.0335613	0.0614246	0.0438563	0.0444784	0.0529035	0.0334811	0.0184715	0.0203909	0.0365594
de	0.0102528	0.00816484	0.00790492	0.00705523	0.00892614	0.0154322	0.0238148	0.0252768	0.0252889	0.0303648	0.0310917	0.0280435	0.0255515	0.0241895	0.0211326	0.0231566	0.0266649	0.0396457	0.0402152	0.0426317	0.0452781	0.0361548	0.0455727	0.0486931	0.0351066	0.0403599	0.0457218	0.0369023	0.0369709	0.0337518	0.0316162	0.0302878	0.0330734	0.035706
sable	0.0148415	0.0183709	0.01834	0.0183685	0.0178572	0.0170718	0.0169681	0.0135433	0.0144428	0.0189202	0.0142252	0.0151045	0.0160636	0.0182366	0.0163057	0.0213405	0.0304073	0.0370719	0.0351034	0.0299495	0.0248089	0.0214078	0.032529	0.0329862	0.0144609	0.0197348	0.0265551	0.0354573	0.0516131	0.059261	0.0672045	0.0647166	0.0670336	0.0796988
dans	0.0254622	0.0219458	0.0193448	0.01876	0.0159359	0.0104074	0.00776866	0.00530785	0.00520223	0.00675807	0.00523798	0.00557959	0.00670753	0.00621445	0.00792667	0.0154432	0.0313543	0.0430423	0.0523347	0.0459646	0.039984	0.0321894	0.0385652	0.0369597	0.0208671	0.0327901	0.0365054	0.0437114	0.0528329	0.0494885	0.0564413	0.0633497	0.0610886	0.0785285
notre	0.0283259	0.0235296	0.0195356	0.0176993	0.0150535	0.0140529	0.0131683	0.00926758	0.00902919	0.0124245	0.00847074	0.00802453	0.00914564	0.00717863	0.0103543	0.0212477	0.0414092	0.0502438	0.0432121	0.0328088	0.0338139	0.0217981	0.0244551	0.0225092	0.0154311	0.0280189	0.0342813	0.0274349	0.0430012	0.0405643	0.053772	0.078655	0.0823324	0.0997508
parcelle	0.0402674	0.0288591	0.0223012	0.0210023	0.0111574	0.00468854	0.00412258	0.00543078	0.00629445	0.00804096	0.00596548	0.00649728	0.00830761	0.00763143	0.00990161	0.018146	0.0230031	0.0335051	0.0271779	0.0220534	0.0189123	0.0167347	0.0262885	0.0308836	0.0184853	0.0287534	0.0351722	0.0475287	0.0580925	0.063659	0.0725806	0.0863568	0.0837641	0.0984347
</S>	0.0516602	0.038762	0.025973	0.0206892	0.0136458	0.0110853	0.0102399	0.0101612	0.0092862	0.00979661	0.00721861	0.0068025	0.0077053	0.0043797	0.0118752	0.0359938	0.0376975	0.0428475	0.0438259	0.0382143	0.0351894	0.0203445	0.0307248	0.0289953	0.020542	0.0338249	0.0365727	0.0373583	0.0411816	0.0295025	0.0313206	0.0557078	0.0659621	0.0949138
