 	l	ε	ε	y	ε	ε	l	í	o	k	o	n	d	z	i	y	a	p	á	r	á	a	d	í	w	ó	i	s	á	a	l	a	í	m	ω	b	ώ	l	ω	</S>
depuis	0.0188019	0.0189187	0.0181828	0.0159492	0.0155784	0.0123778	0.0146949	0.0279598	0.0390601	0.0370791	0.0398962	0.0430246	0.0642176	0.0790331	0.0857868	0.0535043	0.0396227	0.0263276	0.0201376	0.0164218	0.0154418	0.0154529	0.00928301	0.0128358	0.00881872	0.00913531	0.0113473	0.01388	0.0101892	0.00962068	0.00920334	0.0146457	0.022878	0.0242124	0.024171	0.0202697	0.0186825	0.0228237	0.0219669	0.0185673
l'	0.0181653	0.0284286	0.0194517	0.0114512	0.00831513	0.00887037	0.0100736	0.00742858	0.00757288	0.0160707	0.0261668	0.0361941	0.0346994	0.0586942	0.0901742	0.101101	0.100159	0.0958726	0.0561819	0.0337672	0.0461382	0.02563	0.0218748	0.00863249	0.00775204	0.00603579	0.00766578	0.00774849	0.0122624	0.012167	0.009203	0.00821209	0.011242	0.00733256	0.0109961	0.0079992	0.00345923	0.00340822	0.00624369	0.00715896
arrivée	0.0521223	0.0460266	0.0256932	0.0278351	0.0575237	0.0491749	0.0407797	0.0314575	0.031196	0.0283524	0.0381368	0.030912	0.0321131	0.0258938	0.0267058	0.0290121	0.0227564	0.0344476	0.0385042	0.0230732	0.0225777	0.0140233	0.0209593	0.0278112	0.0230849	0.0205957	0.0191716	0.0103717	0.0114163	0.013137	0.00930539	0.0149441	0.0219101	0.0169858	0.0172729	0.0107581	0.00621422	0.00624443	0.0106146	0.0108852
du	0.0446315	0.0548321	0.0526316	0.0456572	0.0544121	0.0655706	0.0493381	0.0456642	0.0492162	0.0557371	0.0365954	0.037278	0.0219525	0.0159999	0.0200513	0.0247969	0.0174083	0.0332599	0.0298778	0.0224038	0.0258763	0.0118042	0.0263153	0.0159053	0.0185228	0.00994148	0.0133087	0.00449166	0.00676408	0.00235951	0.00662416	0.00881363	0.00836898	0.00842396	0.00857768	0.00738495	0.00629629	0.00655358	0.00856278	0.0177904
nouveau	0.0106459	0.00844243	0.0056475	0.00637252	0.00814144	0.00818334	0.0105061	0.0104708	0.00942269	0.00847995	0.0111419	0.011139	0.0101292	0.010879	0.0230188	0.0341763	0.0505388	0.0872158	0.0949153	0.0698003	0.075833	0.0726742	0.0472668	0.0389783	0.0121026	0.0172293	0.0163646	0.0219728	0.0221418	0.0210314	0.0205724	0.0134468	0.0210022	0.0175349	0.0212837	0.0182141	0.0125533	0.0109682	0.0164193	0.013143
chef	0.0161318	0.0235279	0.0248407	0.0278776	0.024793	0.0290795	0.0377533	0.0456078	0.0480996	0.0456067	0.0400203	0.0313402	0.0189851	0.0168071	0.0199577	0.0274193	0.0225256	0.0390911	0.0409767	0.044393	0.0545409	0.0277963	0.0494375	0.0232819	0.0234735	0.0169149	0.0177423	0.00590052	0.0179532	0.00797589	0.0182318	0.00898994	0.010101	0.00681694	0.00929338	0.00918383	0.0115698	0.0137007	0.0158431	0.0264187
le	0.0173714	0.0214664	0.0220702	0.0228252	0.0293991	0.0299703	0.0346209	0.0289547	0.0265053	0.0298812	0.025374	0.0194272	0.0148278	0.0114949	0.023425	0.0324066	0.0186426	0.0416615	0.0450241	0.0505201	0.036493	0.0382975	0.031159	0.034308	0.0249533	0.0200568	0.030472	0.0183205	0.0198685	0.0123329	0.0180199	0.0166561	0.0169125	0.0139862	0.0172571	0.0184927	0.0169883	0.0190314	0.0241047	0.026421
travail	0.0322984	0.0251226	0.0197786	0.0199161	0.0165625	0.012271	0.00714346	0.012144	0.0161884	0.0173907	0.027125	0.0245108	0.0211698	0.0229841	0.0354511	0.035055	0.0347103	0.0459759	0.0438699	0.0411913	0.0435362	0.0528216	0.0189468	0.0179888	0.0138734	0.0169356	0.0177459	0.0320723	0.0132	0.00940219	0.0115595	0.012863	0.0113645	0.014942	0.0113408	0.0162709	0.0269514	0.0370268	0.0431357	0.0671634
s'	0.0406964	0.0293672	0.0222929	0.0240286	0.0213034	0.017412	0.0102249	0.0134779	0.0167955	0.0162973	0.0253563	0.0200334	0.0179599	0.0211231	0.0358996	0.0347598	0.0363862	0.0518412	0.0485856	0.0362008	0.0479957	0.0425947	0.0334954	0.0251105	0.0296533	0.0232306	0.0263683	0.0262012	0.0174372	0.00627705	0.0153616	0.0087687	0.0110447	0.0135884	0.0128483	0.0156437	0.0158719	0.0213211	0.0231696	0.0439759
est	0.0922451	0.0506375	0.0350167	0.0217626	0.0180343	0.00992275	0.00998295	0.014111	0.0234577	0.0230957	0.0211694	0.0172573	0.0224307	0.0283642	0.0566041	0.0632024	0.0420074	0.0486875	0.0274797	0.034745	0.0267308	0.0300047	0.0129167	0.0124572	0.0115973	0.00975615	0.0135582	0.011354	0.00908039	0.00900189	0.00734445	0.0129636	0.0097112	0.0123634	0.00988986	0.0139074	0.0176355	0.0287162	0.0290828	0.0517146
