 	a	t	á	n	g	a	á	d	i	m	b	v	á	a	o	k	o	n	d	z	i	y	a	p	o	o	</S>
il	0.08872	0.0643147	0.0652252	0.0387964	0.0328815	0.0730121	0.052628	0.0560231	0.0256537	0.0226853	0.0255499	0.0245325	0.0271552	0.0319309	0.0310258	0.0357442	0.0361855	0.0345478	0.0493143	0.0546247	0.036756	0.0241138	0.0153223	0.0137654	0.00967679	0.0122026	0.0176124
y	0.0261395	0.0403337	0.0538411	0.0438231	0.0511039	0.0313992	0.062882	0.0425223	0.0559031	0.0499883	0.0580006	0.0306852	0.0178186	0.0179124	0.0166369	0.0168127	0.0348677	0.0706049	0.106181	0.0416753	0.0271724	0.0327034	0.0240608	0.0126767	0.0105653	0.0111164	0.0125734
a	0.0287879	0.0198537	0.0116294	0.0229438	0.0168676	0.00888805	0.0185311	0.0338072	0.0433032	0.0526525	0.0458706	0.0601949	0.0579184	0.0622553	0.0901643	0.0779008	0.0747432	0.0697888	0.0383681	0.0293489	0.0256353	0.0190159	0.015934	0.0180155	0.0157018	0.0201271	0.0217526
un	0.0225242	0.0223027	0.0243155	0.0237505	0.0260992	0.0196627	0.0211396	0.0164299	0.0179362	0.0208178	0.020606	0.0447329	0.0406675	0.0453416	0.0568808	0.0496251	0.0791734	0.0865677	0.0758405	0.0411151	0.0206958	0.0215546	0.0256046	0.0358748	0.0392346	0.0426206	0.0588861
deuil	0.0144133	0.0146304	0.0105079	0.0153584	0.0188837	0.0137589	0.0197725	0.0378888	0.0575008	0.0951103	0.0856724	0.105951	0.0618473	0.0607462	0.0544816	0.0686454	0.0491595	0.0447416	0.0329537	0.0245001	0.0174596	0.0165559	0.0149147	0.0161039	0.0167	0.0125462	0.0191962
chez	0.0174238	0.0166179	0.0150572	0.0185647	0.0188589	0.016299	0.0130518	0.016986	0.0210343	0.0268188	0.0314687	0.031862	0.0231497	0.0222131	0.0202914	0.0231024	0.0269873	0.0390689	0.0454537	0.0471159	0.0457644	0.0527117	0.0579417	0.067915	0.0825169	0.0847187	0.117006
le	0.0205937	0.0203592	0.0206634	0.023293	0.0207227	0.0222388	0.0271181	0.027001	0.0245324	0.030441	0.0294725	0.0272196	0.0187235	0.0203545	0.0170602	0.0172684	0.013964	0.0192093	0.0266486	0.0649218	0.0793103	0.0786157	0.0692378	0.0636723	0.0688544	0.0731407	0.0753631
chef	0.0233022	0.0228231	0.0279839	0.0314611	0.0271406	0.0307814	0.0329443	0.036513	0.0404176	0.0517332	0.0318145	0.0441221	0.021804	0.015839	0.0164425	0.0139147	0.0175732	0.0257629	0.0362533	0.0507798	0.0543697	0.05078	0.0508825	0.0456742	0.0528288	0.0617853	0.084273
du	0.0280266	0.029137	0.027559	0.0255984	0.0282635	0.0268104	0.0255995	0.0307975	0.0331289	0.0273006	0.0167962	0.0192705	0.0152343	0.0127588	0.0141427	0.0137212	0.0223418	0.054421	0.072358	0.0686585	0.0781943	0.0704619	0.0464169	0.0462578	0.0499841	0.0519416	0.0648191
village	0.0280551	0.0237893	0.0226021	0.0226126	0.0239859	0.0211484	0.0221331	0.0246627	0.0243484	0.0182386	0.00759119	0.0116084	0.00517768	0.0043861	0.00552399	0.00474135	0.00564194	0.00991284	0.018873	0.0477202	0.0683959	0.0833805	0.0936925	0.0717919	0.106671	0.120846	0.102469
</S>	0.0672559	0.0617521	0.0338512	0.0290057	0.0319568	0.031231	0.0277653	0.0240441	0.0169306	0.0119265	0.00908494	0.0106158	0.00963049	0.0103673	0.0100062	0.0135122	0.0135724	0.021644	0.0349831	0.0298887	0.0438515	0.0559371	0.0406771	0.0481949	0.0807508	0.0902541	0.14131
