 	o	y	í	b	h	á	b	ó	l	á	a	t	á	b	h	á	á	n	d	z	o	ó	m	ó	n	ω	ω	m	á	w	o	m	á	</S>
oyibha	0.00662369	0.0085014	0.0093902	0.0141581	0.0158705	0.0164373	0.0237918	0.0320007	0.0400043	0.044326	0.0432537	0.0536982	0.0484636	0.0585791	0.0668908	0.0468528	0.0428008	0.0385249	0.0326099	0.0347716	0.0276435	0.0208739	0.0145113	0.0231571	0.0225487	0.0227502	0.0180685	0.0171975	0.0236924	0.0252617	0.0171642	0.0301054	0.0256892	0.033787
est	0.113608	0.0657302	0.100147	0.0797361	0.0607961	0.0211304	0.0171167	0.0129336	0.0102705	0.00934073	0.0159331	0.0198046	0.0188062	0.0327402	0.0679296	0.0526272	0.0300159	0.036191	0.0152596	0.0199127	0.0309671	0.0310767	0.0228295	0.0168018	0.0151665	0.0129371	0.0139426	0.0118865	0.00991923	0.00771628	0.00448064	0.00645986	0.00880771	0.00697885
en	0.0769365	0.0714602	0.0557941	0.0291669	0.0390763	0.0159155	0.0172867	0.00891408	0.0114694	0.0151991	0.0177042	0.0197781	0.0202384	0.0265347	0.0113624	0.0128497	0.0188774	0.0184317	0.0173296	0.0258496	0.0279626	0.025828	0.0306427	0.0302903	0.0515937	0.0382651	0.0407002	0.0353087	0.030494	0.0307664	0.0317324	0.0423206	0.0274545	0.0264666
train	0.0749768	0.0433295	0.0420837	0.0391516	0.0376638	0.0372274	0.0195219	0.0148034	0.015567	0.0228231	0.0301353	0.0305504	0.0286054	0.0280366	0.0219048	0.0285999	0.0248184	0.0240254	0.0213185	0.0251628	0.0252669	0.0263533	0.0371357	0.0309531	0.0335201	0.0326405	0.0354828	0.0323024	0.0270278	0.0177827	0.0214675	0.0281782	0.0157123	0.0258711
de	0.0110095	0.0170675	0.0199775	0.0241684	0.0239734	0.0174672	0.0209473	0.0232941	0.0307308	0.0325086	0.0272695	0.0397762	0.056107	0.0303598	0.0192362	0.00942969	0.00599866	0.00649085	0.0105701	0.0151651	0.0142789	0.00959428	0.0223659	0.0222147	0.0373916	0.0400893	0.0391341	0.0616652	0.0325808	0.040021	0.038274	0.063068	0.0461873	0.0915876
prélever	0.0740262	0.0744932	0.0601437	0.0352908	0.0295591	0.0343661	0.0462082	0.0337105	0.0378453	0.0447662	0.0537575	0.0329568	0.0315874	0.0284115	0.0213646	0.0371516	0.0474711	0.0306235	0.0398248	0.0284766	0.0238892	0.0212915	0.0209172	0.0148743	0.0149539	0.0109628	0.0119736	0.0120099	0.00536279	0.00735099	0.00673818	0.00672614	0.00719069	0.013724
de	0.0609359	0.035356	0.0364539	0.0313829	0.0303574	0.0353705	0.0343067	0.0264511	0.0177699	0.0166658	0.01971	0.0120242	0.0103515	0.00891109	0.0109005	0.0178209	0.0222709	0.0283665	0.0513221	0.0405076	0.0349287	0.02857	0.0318353	0.0352829	0.0435589	0.0457487	0.0399987	0.0389944	0.021428	0.0160259	0.0135738	0.0271767	0.0159723	0.0596701
l'	0.0656524	0.0624633	0.0394337	0.0397207	0.0341685	0.0410284	0.0456493	0.0347465	0.0225332	0.019095	0.0209231	0.0215709	0.0177003	0.013737	0.0128457	0.0159305	0.0278344	0.0382285	0.0425114	0.0351214	0.0413684	0.0342765	0.023834	0.0238737	0.0213917	0.0180405	0.0177781	0.0149804	0.0151905	0.020386	0.0173993	0.0192316	0.0254843	0.0558707
arachide	0.0572727	0.0323282	0.0286172	0.0228662	0.0140854	0.00786311	0.00734889	0.00681601	0.00526342	0.00443548	0.00498607	0.00543784	0.00760697	0.00893861	0.00744532	0.0115318	0.0176153	0.0379519	0.058143	0.0427233	0.0461006	0.043637	0.0324141	0.0393098	0.0373437	0.0375304	0.0311176	0.0373309	0.0353624	0.0342563	0.0348108	0.0592327	0.0496584	0.0926184
comme	0.0892175	0.0784859	0.0605247	0.0527877	0.0486739	0.036522	0.035187	0.0221394	0.0180148	0.0106174	0.0106113	0.00641074	0.00770817	0.0069179	0.00658678	0.00912576	0.0124601	0.0133798	0.0139496	0.0171489	0.0173579	0.0164388	0.018331	0.0220212	0.0230703	0.0246354	0.0218888	0.0260762	0.0215432	0.0192238	0.0217659	0.0529097	0.0397665	0.118502
