 	o	b	i	a	y	a	n	ω	w	ó	l	á	a	s	i	á	o	s	á	á	b	í	s	í	p	ώ	ω	s	é	k	y	é	n	á	á	y	é	</S>
ton	0.00726969	0.00719556	0.0057772	0.00609354	0.00427599	0.00743707	0.0161741	0.0179905	0.0265266	0.0545694	0.0389378	0.0383085	0.0300803	0.0265237	0.0305176	0.0379675	0.0283664	0.0420315	0.0415906	0.0293921	0.0372608	0.0329227	0.030477	0.0318202	0.024424	0.0254764	0.022054	0.0210001	0.0198709	0.0204152	0.0161345	0.0108092	0.0224881	0.0292097	0.0362862	0.0419051	0.045942	0.0344784
ami-là	0.0393953	0.0574161	0.0517738	0.0788982	0.0690411	0.0643926	0.0848719	0.0287793	0.0273228	0.103284	0.039618	0.164755	0.0612879	0.0352848	0.0184489	0.0150763	0.00360003	0.00185098	0.00201943	0.00174323	0.00212675	0.00246166	0.0023321	0.00206448	0.00434371	0.00358725	0.00817728	0.00421776	0.0020516	0.00449109	0.00261807	0.00239827	0.0018066	0.0023469	0.00201292	0.000982721	0.00122122	0.00189968
va	0.0187474	0.0145278	0.011897	0.0187357	0.0164579	0.0353516	0.0324504	0.0465842	0.0227787	0.0211964	0.0348415	0.0208061	0.0120262	0.0113926	0.0167065	0.0263465	0.0289319	0.0563631	0.0897965	0.0854184	0.0630453	0.0571133	0.033644	0.0193452	0.0221262	0.0159974	0.0194772	0.0124828	0.0115357	0.0204234	0.0262842	0.0240537	0.0106827	0.015235	0.00635009	0.00765404	0.00785324	0.00534031
nous	0.0225009	0.017627	0.0198661	0.0246435	0.0277973	0.0321083	0.0298445	0.030198	0.0424484	0.0233147	0.0388428	0.0228317	0.033871	0.0279082	0.02669	0.0370132	0.0416369	0.0490187	0.0253072	0.0392309	0.0383874	0.0230691	0.0236609	0.0242885	0.0278645	0.026736	0.0215963	0.016102	0.0217648	0.0103003	0.0118604	0.0122337	0.0151044	0.0170925	0.0200859	0.0208793	0.0234232	0.0328516
chercher	0.0282663	0.0268289	0.0205535	0.0199537	0.0183393	0.0163674	0.0162496	0.0135882	0.0251062	0.0197334	0.0204449	0.0225307	0.0372383	0.0396929	0.0425795	0.0430844	0.0529461	0.0435187	0.0369557	0.0339087	0.037806	0.0318218	0.0235737	0.0302016	0.0296068	0.0144226	0.0195293	0.00918364	0.00999799	0.00444727	0.00811095	0.00971771	0.0143699	0.0211673	0.027987	0.0315713	0.0392728	0.0593259
des	0.00823629	0.0128563	0.0189776	0.0162358	0.0129496	0.0122013	0.00962961	0.00885503	0.0192007	0.0155202	0.028199	0.0266599	0.028314	0.0269829	0.0287431	0.028797	0.0334657	0.0250737	0.0246783	0.0302959	0.0314986	0.0395969	0.027462	0.0406225	0.0418319	0.0324208	0.0518705	0.0265714	0.0296889	0.0141221	0.0152871	0.0180655	0.027053	0.0318087	0.0349407	0.0365854	0.0406855	0.0440166
problèmes	0.0229013	0.0273563	0.0249001	0.0247817	0.0171923	0.0193066	0.0195606	0.0118829	0.0298904	0.0127992	0.012934	0.018982	0.0232538	0.0286647	0.029819	0.0294681	0.0338447	0.0261546	0.0118561	0.0216679	0.0215691	0.0305879	0.0330032	0.0278011	0.04601	0.0250601	0.0409035	0.028166	0.0200846	0.0398709	0.0246542	0.0254789	0.0288249	0.0237845	0.0222754	0.0276553	0.0341794	0.0528748
dans	0.0228519	0.023317	0.0271977	0.0320524	0.0197334	0.0240411	0.0280909	0.0131955	0.0188868	0.0137863	0.0109219	0.024668	0.0272006	0.0280917	0.028383	0.0231724	0.0215255	0.0173658	0.00930864	0.0211148	0.0254371	0.0295739	0.0367023	0.0363762	0.0315709	0.0283326	0.0338621	0.0153365	0.0129204	0.0131428	0.0158861	0.0297581	0.0391016	0.0326328	0.0343061	0.0313576	0.043933	0.0748646
ce	0.0491279	0.0345941	0.0282611	0.0243189	0.0219026	0.0219011	0.0146726	0.00832789	0.0170383	0.0163957	0.0322766	0.0199944	0.015367	0.0115756	0.0127179	0.0154422	0.0167466	0.0141876	0.00681138	0.028538	0.0414046	0.0432764	0.0480421	0.0332181	0.0297123	0.0261717	0.0318902	0.0246474	0.0235503	0.0224382	0.0155449	0.015249	0.0236981	0.0234742	0.0346466	0.0305704	0.0480997	0.0741685
quartier	0.0237069	0.0140327	0.011606	0.00994278	0.00665685	0.00534861	0.00468214	0.00264784	0.00333489	0.00416112	0.00760294	0.00860077	0.00984491	0.0114903	0.0131505	0.00925695	0.0106517	0.00520813	0.00259415	0.0114191	0.0201064	0.0338318	0.0506027	0.0309729	0.0466061	0.0433072	0.0394934	0.0418013	0.0223515	0.0223115	0.0381678	0.0484759	0.0714647	0.0507782	0.0652025	0.0509796	0.0770679	0.0705393
</S>	0.127035	0.0471027	0.0262403	0.0199608	0.0120576	0.00979256	0.00559325	0.00524968	0.002381	0.0065671	0.0102159	0.00873073	0.00978102	0.0092602	0.00962905	0.0076046	0.0121015	0.00915877	0.00537501	0.027246	0.0494027	0.047692	0.0658815	0.0316021	0.0363207	0.0289245	0.0258257	0.0185609	0.0212014	0.010971	0.0152479	0.0177117	0.0305286	0.0273176	0.0417711	0.0290296	0.0601718	0.0707567
