 	n	g	á	í	d	z	e	i	b	h	i	w	a	o	b	v	ú	r	á	o	t	á	a	k	a	á	m	ó	n	d	i	e	m	ó	ó	k	a	l	í	í	w	a	n	g	o	l	o	y	í	b	v	ú	n	u	</S>
je	0.134122	0.33902	0.240923	0.111677	0.0328485	0.0203288	0.00399695	0.00408921	0.00277138	0.0030182	0.0036362	0.00561049	0.00836535	0.00831773	0.00446542	0.00314165	0.00446835	0.00272189	0.00344645	0.00267834	0.00187751	0.00124975	0.000885912	0.00122141	0.000907959	0.00062274	0.000672367	0.000584217	0.000573591	0.000637835	0.000492484	0.000738573	0.00101536	0.000649881	0.000966627	0.00117662	0.00189914	0.00132438	0.0012576	0.00164492	0.00243636	0.0026374	0.00271184	0.00325333	0.00211002	0.00272775	0.00167748	0.00199009	0.00249171	0.00266546	0.0027073	0.00267863	0.0033902	0.0033421	0.00313423
l'	0.0875358	0.0271292	0.0221791	0.0304515	0.0398362	0.0222169	0.0200518	0.0211099	0.0454923	0.0471203	0.0450386	0.0308945	0.0498019	0.0435205	0.042128	0.0210379	0.0144913	0.0149453	0.0183848	0.0127282	0.0116457	0.0108565	0.00810228	0.0104304	0.0134266	0.00853791	0.00775293	0.00772238	0.00594231	0.0237568	0.0183591	0.00698939	0.016975	0.00474724	0.00912394	0.0190523	0.0159474	0.0168287	0.0260389	0.00883069	0.00689437	0.00388298	0.00255697	0.00448265	0.00911592	0.00796396	0.00594716	0.00468113	0.00439703	0.00442473	0.00556671	0.0043019	0.00642656	0.0101262	0.0120712
ai	0.0356073	0.0656771	0.0392287	0.0551934	0.0396231	0.0327776	0.0228263	0.0232618	0.0173864	0.0166391	0.0180061	0.043459	0.0289883	0.0101096	0.0104191	0.00914242	0.0112088	0.0108292	0.0133486	0.0187826	0.0229152	0.0188735	0.0140955	0.0138984	0.0114295	0.00941811	0.00692414	0.00849146	0.0112226	0.0182399	0.011983	0.00894415	0.017925	0.0202539	0.0134819	0.016191	0.0223034	0.0194885	0.00896713	0.0156139	0.0153166	0.00646988	0.00599648	0.00452127	0.0102921	0.0132981	0.0105476	0.00995403	0.0138349	0.0131519	0.0166877	0.0149326	0.0166395	0.0147747	0.0204078
perdu	0.0182738	0.0163483	0.0171479	0.0330998	0.0285151	0.0191625	0.0139945	0.0144217	0.012381	0.0110766	0.0136893	0.0246891	0.0184114	0.0123775	0.00965994	0.0107126	0.0125503	0.0155896	0.0109035	0.0161634	0.0178353	0.0217049	0.0237364	0.0190652	0.0229112	0.0147628	0.0322788	0.0249701	0.0233073	0.0222961	0.0383467	0.0398839	0.0317897	0.0246228	0.014386	0.019847	0.0211411	0.0150775	0.0220823	0.0131272	0.0136987	0.00798117	0.00826838	0.00656259	0.0114866	0.011578	0.00944473	0.0134545	0.0206613	0.0178717	0.0157199	0.0208282	0.016217	0.0166985	0.0171888
de	0.0125655	0.00756261	0.0049213	0.00650883	0.00760872	0.00910824	0.00661651	0.00699847	0.00710624	0.00584048	0.00539649	0.00618349	0.00466856	0.00619601	0.00832034	0.00776284	0.0194905	0.0155311	0.0192287	0.0249867	0.0229311	0.028989	0.0225361	0.0184353	0.0201184	0.015654	0.0285026	0.0189087	0.0201459	0.0256372	0.0345938	0.033211	0.0313792	0.0301269	0.0274492	0.0257429	0.0319514	0.0357999	0.0282329	0.0202034	0.0174165	0.0186558	0.00860845	0.00756187	0.0244084	0.0310842	0.0216498	0.0161268	0.023374	0.015478	0.0170691	0.0197705	0.0189951	0.0182409	0.02841
vue	0.0124395	0.0101406	0.00782611	0.00488477	0.00562615	0.00850601	0.0102127	0.00871802	0.00752276	0.00839054	0.0101909	0.00837171	0.00639312	0.00537223	0.00611579	0.00714686	0.0102716	0.0142402	0.0119832	0.0244805	0.0219481	0.0222277	0.0211318	0.0176703	0.0206404	0.0119785	0.0153328	0.0100519	0.0128619	0.0245618	0.018483	0.0144155	0.0222076	0.0287033	0.0191349	0.0161849	0.0290394	0.0289959	0.0159856	0.0156694	0.0223052	0.0107622	0.0144085	0.0102517	0.0236358	0.0451925	0.0324335	0.0387988	0.0487687	0.031501	0.0332929	0.0317826	0.0306491	0.0238262	0.0263334
quand	0.00941281	0.00498734	0.0043616	0.00350261	0.00523702	0.00680952	0.00749008	0.00914032	0.00899029	0.0134543	0.016587	0.0094228	0.00589563	0.00541203	0.00574281	0.00620531	0.00973783	0.0147132	0.0112136	0.0299788	0.0330337	0.0320427	0.0430651	0.0381799	0.0350967	0.0327915	0.0320819	0.0359511	0.0264983	0.0509446	0.0435265	0.0320985	0.0203417	0.0275635	0.0254333	0.0173904	0.0195382	0.02655	0.0184905	0.0141405	0.0105498	0.0090707	0.0131115	0.00931113	0.01669	0.0185957	0.0156796	0.0168194	0.0170495	0.0126726	0.0131132	0.0126464	0.0108709	0.0105985	0.0201673
il	0.0246984	0.0126737	0.0106134	0.0111304	0.0196623	0.0184007	0.0195178	0.0198195	0.0148351	0.014518	0.0138157	0.0109639	0.00932393	0.00800541	0.00840525	0.0078141	0.0130356	0.0153582	0.0119894	0.0193866	0.0220524	0.0259278	0.029994	0.0285882	0.0340996	0.0233884	0.0284836	0.0263853	0.0170277	0.0353538	0.024745	0.0172873	0.0119012	0.0165796	0.0177332	0.0181887	0.0213796	0.0274581	0.0181671	0.0131193	0.0177069	0.011386	0.0125146	0.0143897	0.011066	0.0139766	0.00975553	0.0129419	0.0120786	0.0126317	0.012931	0.0161595	0.0195006	0.0312749	0.0498587
a	0.0235667	0.0293755	0.0127379	0.0147665	0.0162974	0.00990698	0.00748829	0.00928975	0.0064542	0.00779184	0.00887876	0.00692588	0.00481868	0.00554507	0.00639491	0.00552818	0.0148758	0.016689	0.0131246	0.0163213	0.0174717	0.0193184	0.0180104	0.0172751	0.0200133	0.020622	0.0212299	0.0212202	0.0233746	0.0272	0.0257383	0.024314	0.0187855	0.0231391	0.0183583	0.0159253	0.0176574	0.0147227	0.0125327	0.0100421	0.0171728	0.0120371	0.0132166	0.0156672	0.0125047	0.0165766	0.0128196	0.0171434	0.0226197	0.0235243	0.0275124	0.0371778	0.0419287	0.0488147	0.0575561
amorcé	0.0210549	0.0302627	0.0145154	0.0145321	0.0146656	0.00741309	0.00535747	0.0060936	0.00522636	0.0053329	0.00619801	0.00486505	0.00430819	0.00629644	0.00757274	0.00712243	0.0161212	0.0166477	0.0149541	0.0163733	0.017252	0.0182727	0.0172939	0.0174978	0.0209093	0.0229516	0.024444	0.0229163	0.0268227	0.0320869	0.0361906	0.0295229	0.022192	0.0245302	0.019601	0.0168748	0.0181094	0.0165239	0.0161929	0.0096195	0.0136003	0.0100935	0.0106055	0.0123388	0.0126823	0.0153958	0.0112579	0.0146282	0.023536	0.0200341	0.0253244	0.0369263	0.0399515	0.0465627	0.052345
le	0.023894	0.0218471	0.0105706	0.0119505	0.010748	0.00835032	0.0056782	0.00615894	0.00441505	0.00237421	0.00289311	0.00204853	0.000668636	0.00158729	0.00221429	0.00161663	0.0077494	0.00573753	0.00550775	0.00662708	0.00739681	0.013593	0.0118681	0.0100755	0.0193495	0.0289467	0.0676147	0.0478359	0.0576029	0.0325543	0.0624269	0.0689174	0.0440153	0.051848	0.0278154	0.0199258	0.017431	0.0175252	0.0197341	0.0193853	0.0144473	0.0185775	0.0146123	0.0115645	0.015287	0.0150618	0.014303	0.014022	0.014956	0.0116681	0.0125046	0.0137791	0.0127513	0.0115863	0.0163801
virage	0.0492204	0.0520345	0.0439612	0.0525559	0.0401738	0.0222453	0.0140199	0.0140565	0.0131537	0.0126136	0.0155534	0.00886371	0.00774759	0.012444	0.0197503	0.0194393	0.0326358	0.0177162	0.0211902	0.017246	0.0154428	0.0140356	0.00970863	0.0113055	0.0141595	0.012664	0.0191159	0.0127877	0.0111616	0.0320032	0.0244916	0.00821729	0.012782	0.00991473	0.00844988	0.00709528	0.0119097	0.00896856	0.00793915	0.0063181	0.010895	0.00716391	0.00852293	0.0119875	0.00842773	0.0135867	0.0133612	0.0169631	0.0176196	0.0148728	0.0168544	0.0220754	0.0237765	0.0286816	0.0401196
