 	i	k	ώ	ώ	b	í	í	l	á	m	b	í	n	g	á	t	á	m	á	l	e	í	b	h	í	i	k	u	r	á	k	u	r	a	</S>
le	0.0619079	0.0568487	0.0168093	0.0152407	0.017917	0.0239689	0.0252531	0.0310318	0.0323784	0.0324741	0.0276694	0.0383005	0.0359911	0.037496	0.0431758	0.045947	0.0439352	0.0520736	0.0616411	0.0216564	0.0188976	0.0148514	0.0170547	0.013767	0.0101777	0.00812335	0.0132539	0.0203318	0.022522	0.0259252	0.0250142	0.0309786	0.0240719	0.0204706	0.0128442
manioc	0.0583242	0.0362114	0.0433586	0.0452186	0.0764853	0.0754466	0.101208	0.0345105	0.0189632	0.0247962	0.0164634	0.00950818	0.00930904	0.0102462	0.0221778	0.0231351	0.0369913	0.0270481	0.051572	0.0288286	0.0221751	0.0301841	0.0267086	0.0283144	0.0147265	0.0233538	0.0141273	0.0196253	0.0127257	0.0131929	0.0103332	0.0198798	0.00648966	0.00418715	0.00417454
que	0.0533734	0.0295885	0.0153534	0.00942192	0.00805337	0.00742019	0.00621598	0.00824411	0.00876871	0.00855839	0.00837512	0.017709	0.0259147	0.0365177	0.0323818	0.0639243	0.0616332	0.0888051	0.0969549	0.091012	0.0421209	0.0404705	0.0369868	0.033297	0.0105786	0.0186284	0.0158877	0.0193002	0.0187941	0.021552	0.0233405	0.0146604	0.0153546	0.00723764	0.00356475
ma	0.0198453	0.0140733	0.0179299	0.0259708	0.024698	0.0162124	0.016655	0.015716	0.0198024	0.0159589	0.0186666	0.033078	0.027895	0.0414554	0.0498283	0.0544189	0.0438945	0.0264453	0.0481332	0.0474467	0.0303694	0.0340075	0.0409449	0.0220303	0.00869884	0.016314	0.00778633	0.0143585	0.02084	0.0194898	0.0429864	0.017474	0.0457633	0.050472	0.0503409
tante	0.0283011	0.033954	0.0245832	0.0223175	0.0295194	0.0327581	0.0284796	0.0290681	0.0320274	0.0196134	0.0318178	0.0256878	0.0253654	0.0323207	0.0282585	0.0332192	0.0309637	0.0252029	0.0367746	0.0755683	0.0370521	0.0321692	0.0653612	0.0344975	0.0222205	0.0267477	0.0121102	0.012863	0.0150498	0.0125851	0.0176606	0.0104115	0.0165776	0.0198605	0.039033
paternelle	0.121597	0.0829258	0.0586131	0.0490046	0.0495716	0.0448728	0.0411686	0.0372886	0.0379903	0.035265	0.0404365	0.0384671	0.0255524	0.0212313	0.0141916	0.0130259	0.0137267	0.0146702	0.00976046	0.0276197	0.0186439	0.0127704	0.0299753	0.0188249	0.00805778	0.0196044	0.00634226	0.00663893	0.00780836	0.0061741	0.00959896	0.00559398	0.0101456	0.0163033	0.046539
a	0.117549	0.0992374	0.0671785	0.0509616	0.0378623	0.0328225	0.0412656	0.0363603	0.0457445	0.0419651	0.0446495	0.0359042	0.0246127	0.0226321	0.0204571	0.0132135	0.0128858	0.00937875	0.00835143	0.00742883	0.0130626	0.00783667	0.0145175	0.00995109	0.00765238	0.014113	0.00763324	0.00857799	0.00893099	0.00894098	0.0118406	0.00885973	0.0112719	0.0199964	0.0763544
préparer	0.074387	0.0503686	0.0357908	0.0293949	0.0298724	0.0321214	0.0289313	0.0273939	0.032449	0.0217383	0.0202623	0.0148657	0.0137739	0.0112211	0.00775943	0.00785114	0.00882077	0.0195496	0.0187418	0.0399594	0.0420553	0.0469814	0.0424455	0.025703	0.0364917	0.03567	0.0198737	0.0163531	0.0158016	0.0190228	0.018146	0.0176042	0.0202767	0.0250099	0.0933125
s'	0.106015	0.0816014	0.0551867	0.0363548	0.0282365	0.0230947	0.0213428	0.0206352	0.0228591	0.0185345	0.0145255	0.0142733	0.0139462	0.015986	0.0136358	0.0133014	0.0147037	0.0243105	0.0261768	0.0262429	0.0296692	0.0247134	0.0264286	0.0169524	0.0256271	0.0191629	0.0161314	0.00883337	0.00958982	0.0122898	0.0112261	0.011818	0.0133171	0.0231302	0.160148
est	0.0874312	0.0512417	0.0343655	0.030053	0.0279707	0.0159379	0.0114471	0.00743486	0.00709239	0.00543638	0.00564763	0.00704623	0.00811354	0.00710515	0.00629961	0.00729112	0.0084214	0.0145557	0.0116643	0.0411963	0.0327117	0.0400513	0.0541969	0.0351546	0.0465075	0.0691921	0.0218568	0.0249871	0.0285676	0.0231769	0.0303744	0.0180974	0.0278937	0.0446259	0.106854
refroidi	0.1108	0.0663169	0.0484115	0.031895	0.0181387	0.00853116	0.00677496	0.00550717	0.00598036	0.00522097	0.00491748	0.00658837	0.00727647	0.00578398	0.00502658	0.00676797	0.00856257	0.0190712	0.0195369	0.0453095	0.0420216	0.0399909	0.0421384	0.0279554	0.0360698	0.0366966	0.0158955	0.0210025	0.0257219	0.0274526	0.0317098	0.0301944	0.0338539	0.045853	0.107026
</S>	0.092273	0.0588392	0.045677	0.0373094	0.0278788	0.0167026	0.0143694	0.0120649	0.0104918	0.0070898	0.00603628	0.00695293	0.00659847	0.00504118	0.00440025	0.00583306	0.00630045	0.00738473	0.00839969	0.0248212	0.0322977	0.0326569	0.0500886	0.030694	0.0380796	0.052789	0.0176096	0.0234983	0.0306208	0.0247114	0.0343523	0.0217056	0.0332706	0.0490343	0.124127
