 	b	á	n	g	á	í	s	á	a	o	k	o	a	k	a	á	</S>
il	0.0180152	0.0370159	0.043858	0.075229	0.0786675	0.100777	0.11226	0.103801	0.101308	0.0795814	0.06229	0.0382923	0.0314794	0.0414281	0.0253562	0.0287736	0.0218685
n	0.158492	0.115355	0.089278	0.0696064	0.060265	0.0329896	0.0144454	0.0143363	0.0225702	0.0288991	0.0366375	0.0719003	0.0392257	0.0391415	0.0368171	0.0726788	0.0973619
'	0.249474	0.0673264	0.0405626	0.0208584	0.0217834	0.0209995	0.00942237	0.00909193	0.017642	0.0247839	0.0307253	0.0769635	0.0467738	0.0691344	0.0852175	0.131672	0.0775692
y	0.340694	0.181323	0.0679539	0.0495141	0.0374154	0.0218667	0.0101285	0.0107311	0.00702812	0.0100407	0.0134763	0.0289036	0.030615	0.0352493	0.0498549	0.0590076	0.0461978
en	0.112989	0.0739139	0.0740114	0.049408	0.0676181	0.0461598	0.0366749	0.0326141	0.0292023	0.033176	0.0382998	0.0514763	0.0384363	0.0555456	0.0718586	0.0931057	0.0955097
a	0.159588	0.137961	0.0965423	0.0710667	0.0677779	0.0369361	0.0361479	0.0197201	0.0287202	0.0257992	0.0294282	0.0538291	0.021917	0.0528826	0.0498456	0.0514491	0.0603888
pas	0.10565	0.050192	0.0439298	0.0444642	0.040656	0.03146	0.0261521	0.0210149	0.0162113	0.0188732	0.0217542	0.0461057	0.0534803	0.130993	0.101568	0.12368	0.123817
assez	0.10399	0.0604848	0.0358791	0.0380744	0.0321384	0.028128	0.0270313	0.0398053	0.0281157	0.0291906	0.0189051	0.0642407	0.0593382	0.14047	0.0655592	0.108671	0.119977
pour	0.0455094	0.0204581	0.0132849	0.0179875	0.021324	0.0356698	0.0280443	0.0273871	0.0359078	0.0347647	0.0329762	0.0456898	0.0762804	0.115999	0.13309	0.187386	0.12824
moi	0.16598	0.0844851	0.0563194	0.0396382	0.0244832	0.0231358	0.0417767	0.0379318	0.0574184	0.0397836	0.0197363	0.0538156	0.0861356	0.10237	0.0503464	0.0735061	0.0431382
</S>	0.261853	0.126388	0.0714275	0.0435839	0.047054	0.0367954	0.0320294	0.0301245	0.0305359	0.0284155	0.0256289	0.0385976	0.0481949	0.0430082	0.0437426	0.0511064	0.0415145
