 	a	p	i	r	i	m	á	á	k	y	έ	m	b	í	b	á	a	m	é	b	a	á	y	é	á	m	i	s	á	á	o	d	í	m	a	</S>
les	0.118425	0.0954813	0.042774	0.00984767	0.0140873	0.0149179	0.0270854	0.0322136	0.0374364	0.040812	0.0473461	0.0460499	0.0500795	0.0456962	0.0385222	0.0300177	0.0218497	0.0146411	0.0171118	0.0161937	0.0105569	0.01269	0.0122723	0.0127746	0.0105679	0.0129296	0.0124007	0.0120779	0.0178694	0.0190372	0.0166667	0.0165329	0.0196583	0.023986	0.0165208	0.0128701
lettres	0.0600227	0.0382329	0.0457182	0.0555055	0.0552904	0.0487895	0.0304813	0.0263157	0.0211194	0.0129676	0.0301595	0.0281782	0.0165063	0.0247416	0.0267961	0.0218126	0.0318806	0.0145587	0.0186719	0.0190836	0.0159089	0.0192706	0.0217109	0.0255766	0.0265656	0.0276204	0.0320921	0.0356908	0.0322304	0.0300899	0.0244691	0.0250632	0.0205977	0.0158002	0.0119814	0.00849968
qui	0.0339516	0.0297159	0.0322784	0.033063	0.0368198	0.0443234	0.0351972	0.0400468	0.031903	0.0238883	0.0413871	0.0320262	0.0257761	0.0204792	0.0207216	0.0195595	0.0286216	0.0324204	0.038174	0.0354814	0.0336467	0.0358869	0.0184009	0.0212902	0.0228273	0.0259256	0.0346053	0.026633	0.0260429	0.0335016	0.0300555	0.0115115	0.0104999	0.0098985	0.0109142	0.0125255
étaient	0.0106318	0.0100312	0.0139317	0.0226705	0.0316029	0.059382	0.0562684	0.0579933	0.0532756	0.0476705	0.0403514	0.0214564	0.0211383	0.0211127	0.0177525	0.0173441	0.0230958	0.0299323	0.0262495	0.0258963	0.0393456	0.0297221	0.0285467	0.0233352	0.0255647	0.0275311	0.0304391	0.0173134	0.0254628	0.0228741	0.0152508	0.0130445	0.020333	0.0172812	0.0224963	0.0336724
écrites	0.0245065	0.019853	0.0170198	0.0211368	0.0268753	0.0281885	0.0325687	0.0329855	0.0212622	0.0150021	0.0149927	0.0151554	0.0210611	0.0248976	0.0229734	0.0200822	0.023224	0.0281068	0.0346685	0.0416912	0.0380606	0.0376339	0.0327597	0.0313673	0.0347475	0.0344002	0.0205914	0.0377965	0.0373086	0.0332372	0.0380425	0.0232333	0.0241293	0.0275544	0.0221123	0.040774
sur	0.0585107	0.0549145	0.0438458	0.0538905	0.0676183	0.0668889	0.0556903	0.0877148	0.0605492	0.0378852	0.0355829	0.0292346	0.0322766	0.0293013	0.0256568	0.030655	0.0217158	0.027158	0.01224	0.0083816	0.0127912	0.012013	0.0121383	0.00894454	0.00887361	0.0095022	0.00783537	0.00586323	0.0051373	0.00502257	0.00505018	0.00388936	0.0076284	0.00797295	0.0136804	0.0339467
ce	0.043368	0.0305679	0.0169869	0.0173789	0.0224359	0.0250878	0.0226562	0.0235675	0.0257835	0.0258333	0.0266973	0.0337745	0.0440282	0.0545487	0.0430072	0.0433611	0.0380663	0.0303257	0.0209455	0.0184357	0.0199306	0.0230263	0.0249672	0.0245629	0.0194803	0.0279685	0.0304648	0.0222157	0.0194114	0.0177223	0.0181635	0.0147789	0.022795	0.0238575	0.0289398	0.0548592
mur	0.0158525	0.0140788	0.0106206	0.0132441	0.0208699	0.0192652	0.0258104	0.0267732	0.0217407	0.0177217	0.0162445	0.0165129	0.0175534	0.0178939	0.0204988	0.0183495	0.0187258	0.026263	0.0337842	0.0325249	0.0358808	0.0332373	0.0428833	0.0434618	0.0290626	0.0382467	0.0229781	0.0314756	0.0276469	0.0287248	0.0335678	0.0240023	0.0277397	0.0252113	0.0449898	0.106563
sont	0.034139	0.0324612	0.0302894	0.0350296	0.0395559	0.046042	0.049032	0.0460941	0.0373112	0.0269652	0.0193017	0.0162243	0.0192305	0.0175438	0.0204242	0.0213037	0.0221228	0.0563537	0.0495377	0.0244738	0.0353527	0.0215274	0.0297169	0.0216133	0.0060376	0.00560109	0.00748607	0.00602319	0.00713143	0.00795344	0.00996857	0.0135554	0.018175	0.0198897	0.0292236	0.117309
déjà	0.0247374	0.0199837	0.0263226	0.0218445	0.013798	0.0144278	0.00907938	0.00867604	0.00713268	0.00624582	0.00595648	0.00713363	0.00744097	0.00983751	0.00894925	0.0119781	0.0149969	0.0237339	0.0322108	0.0291072	0.0458092	0.0498143	0.0424051	0.0401288	0.035183	0.0254917	0.0174331	0.0220465	0.0221893	0.027734	0.0363688	0.0359704	0.051336	0.0601185	0.0732536	0.111125
effacées	0.018831	0.0148069	0.0193562	0.019887	0.0145878	0.0168712	0.0101172	0.00889246	0.0057828	0.00401859	0.00396162	0.00312395	0.00294208	0.0033574	0.00574065	0.00768764	0.0141704	0.0265681	0.0392023	0.0319019	0.0405791	0.054155	0.0371437	0.0368693	0.0288725	0.0145597	0.0166227	0.030069	0.0314024	0.0364917	0.0344087	0.0321761	0.0576742	0.0681982	0.0870381	0.121933
</S>	0.0444405	0.0374641	0.0343709	0.0321126	0.0237582	0.0253737	0.0167779	0.0115527	0.0077493	0.00674511	0.00619454	0.00610254	0.00688537	0.00776448	0.00816128	0.0089809	0.00921587	0.0143411	0.0191222	0.0134411	0.0167247	0.0294318	0.0283417	0.032384	0.0252397	0.025607	0.039638	0.03307	0.0329529	0.0311408	0.0342605	0.0275692	0.0440646	0.0566728	0.0647404	0.137608
