 	m	w	á	n	a	y	a	n	g	á	y	a	a	d	z	á	l	o	n	g	w	ε	n	d	z	ε	á	m	i	b	h	á	m	a	</S>
mon	0.00471194	0.00946929	0.0122377	0.0102515	0.0219147	0.010775	0.00856763	0.0105325	0.00967841	0.0148053	0.025838	0.0297707	0.0502077	0.0602198	0.0500186	0.051253	0.0619109	0.0529374	0.0528853	0.0325031	0.0200188	0.019295	0.0229945	0.026342	0.0249328	0.0254987	0.0248286	0.0267052	0.0338779	0.0328045	0.0431514	0.0310749	0.0236444	0.0308723	0.0334706
enfant	0.0136378	0.0270506	0.029509	0.0652172	0.117941	0.176724	0.247611	0.139632	0.0596858	0.0212333	0.0181372	0.00722425	0.00543559	0.00528205	0.0021335	0.00305503	0.0015729	0.00178723	0.0020033	0.00193401	0.00655681	0.00885995	0.00708921	0.00396946	0.00361979	0.0016809	0.00211114	0.00248471	0.00433214	0.00368994	0.00469962	0.00127434	0.00179977	0.000678166	0.000347583
qui	0.0191226	0.0271508	0.0217556	0.0195571	0.0116934	0.00695685	0.0124071	0.0116882	0.0311668	0.0268783	0.0361062	0.0360757	0.0322867	0.0225377	0.0313825	0.0444722	0.0501771	0.0556169	0.0693953	0.0500965	0.0254206	0.0208016	0.042744	0.0398163	0.0305156	0.0399857	0.0254944	0.0420882	0.0279502	0.018377	0.016371	0.0171786	0.0150283	0.0145939	0.007111
était	0.0119194	0.015462	0.0136113	0.00820298	0.0069399	0.0087526	0.00868359	0.0101667	0.0111392	0.0131431	0.0209385	0.015929	0.0294504	0.0174204	0.0297137	0.0271603	0.0228859	0.0220955	0.0288513	0.0440768	0.0245134	0.0268067	0.0213657	0.0203552	0.0315774	0.0331001	0.0307738	0.0418509	0.0497094	0.0521143	0.0646008	0.0674775	0.0851043	0.0444009	0.0397072
très	0.0342532	0.0253977	0.0204661	0.0147445	0.011591	0.0146786	0.0116988	0.0121264	0.014415	0.0132875	0.017292	0.0162856	0.0123154	0.0137687	0.0135614	0.0110577	0.012878	0.0142039	0.0182255	0.0347911	0.0433927	0.0605274	0.0469996	0.0496038	0.0522032	0.0540917	0.0408757	0.0359284	0.0240172	0.0296021	0.0367884	0.0450154	0.0536835	0.0339313	0.0563015
faible	0.0233097	0.0193884	0.019274	0.0169837	0.0194268	0.0209664	0.0171851	0.0206987	0.0209195	0.0153071	0.0229999	0.0229246	0.0249347	0.023317	0.0169849	0.0123527	0.01417	0.0144644	0.0161149	0.0235924	0.0179647	0.0236512	0.0201113	0.0247318	0.0378549	0.0368871	0.0445736	0.0323352	0.048477	0.0507728	0.0602076	0.0325169	0.070305	0.0366268	0.0776688
est	0.0364601	0.0239696	0.0264073	0.0222362	0.0163327	0.0175355	0.0160921	0.021711	0.0236029	0.0306977	0.0341676	0.0332277	0.0221709	0.0146116	0.0186889	0.0116258	0.0115539	0.0135943	0.0154043	0.0307034	0.0411271	0.0543318	0.0461108	0.0466798	0.0393328	0.033914	0.0222023	0.0251285	0.0227998	0.0365828	0.0430172	0.0183864	0.0383873	0.0306716	0.0605342
devenu	0.0380763	0.0364585	0.0375559	0.0267233	0.0192742	0.0340517	0.0215467	0.0182612	0.016777	0.0140383	0.0177201	0.0189856	0.0159355	0.0132768	0.0217326	0.0113479	0.0124679	0.0153919	0.0168213	0.0266613	0.0279462	0.0437753	0.0360428	0.035961	0.0282874	0.0321738	0.0186461	0.0184722	0.0151183	0.0175684	0.0420648	0.0189505	0.0479477	0.059965	0.123977
fort	0.0639436	0.0390637	0.0359395	0.0233314	0.0133458	0.0182564	0.0118081	0.0100215	0.00865235	0.00649645	0.00729994	0.0100457	0.0108472	0.00925911	0.0153264	0.00965939	0.00941116	0.0117595	0.0120993	0.0160419	0.0140194	0.0203327	0.0171184	0.0197445	0.0209131	0.0216272	0.0149294	0.0156512	0.0337005	0.0357842	0.072308	0.0661958	0.0924772	0.0952126	0.117377
</S>	0.0459728	0.0391427	0.0427078	0.038721	0.0186913	0.0196209	0.0189301	0.0190901	0.0208233	0.0146281	0.0162732	0.00952716	0.0100448	0.00972137	0.0120685	0.00963054	0.00913421	0.00968147	0.0105545	0.0204887	0.033322	0.0488204	0.0287361	0.0292583	0.0332453	0.0317909	0.0386117	0.0369085	0.0315836	0.0260655	0.0379546	0.0412315	0.046231	0.0580594	0.0827287
