 	a	b	i	a	á	b	ε	r	i	w	a	t	s	i	n	a	w	a	a	d	í	p	ω	m	b	ω	</S>
ses	0.108355	0.055403	0.0213247	0.0126504	0.0152522	0.0112039	0.0112839	0.0154363	0.0114666	0.0103759	0.0110021	0.0156207	0.0115671	0.0141332	0.0169528	0.0154879	0.0183083	0.0324432	0.0360389	0.0506538	0.0642938	0.0878061	0.0963715	0.0797805	0.0779585	0.0641321	0.0346972
amis	0.123394	0.200839	0.39342	0.0888176	0.0952198	0.0329505	0.0190706	0.00931026	0.00432299	0.00542247	0.0032603	0.00242897	0.00261096	0.000952202	0.000606856	0.000401504	0.00041587	0.000263968	0.000517064	0.000597483	0.000825887	0.00179834	0.00813736	0.00140488	0.00136905	0.000503817	0.00113816
l'	0.134855	0.0717277	0.118316	0.0756044	0.0466048	0.0256149	0.0153551	0.0154122	0.0136543	0.048159	0.0294897	0.0193166	0.0379626	0.0268346	0.0299523	0.0456558	0.0270402	0.0231764	0.0159507	0.0183563	0.0161767	0.0151155	0.0265181	0.0194637	0.0282914	0.0257341	0.0296613
on	0.0581019	0.0499833	0.0559824	0.0524186	0.0587816	0.0598563	0.0477317	0.0449605	0.0351342	0.0544503	0.0461936	0.0490315	0.0489331	0.0328656	0.0381817	0.0344419	0.032122	0.0357844	0.0502206	0.0276275	0.016803	0.0229731	0.00845397	0.00874714	0.0091751	0.00766771	0.0133773
tapé	0.0207862	0.0215388	0.0223073	0.0215609	0.0213354	0.0235309	0.0232775	0.0283553	0.0419876	0.052194	0.0699757	0.0381981	0.0560999	0.0352018	0.0377778	0.0429041	0.0459854	0.0678001	0.0669817	0.0339302	0.0341649	0.0283662	0.0207234	0.0278803	0.0329001	0.0336561	0.0505805
parce	0.0526888	0.0417397	0.0286746	0.0435818	0.0443161	0.0482289	0.0478885	0.0536147	0.0505267	0.0473107	0.0363301	0.020599	0.0284879	0.017079	0.0165685	0.0152758	0.0146834	0.0258984	0.027352	0.0334312	0.0368918	0.0349538	0.0384436	0.0389917	0.0395053	0.04324	0.073698
qu'	0.0279457	0.0206497	0.0201903	0.0197622	0.0189486	0.0188951	0.0185026	0.022712	0.0198701	0.0370235	0.0209572	0.0211801	0.0243944	0.0218828	0.0242145	0.0312724	0.0340509	0.0620641	0.0487338	0.0867057	0.0698765	0.0514991	0.054514	0.0464257	0.0602055	0.0588886	0.0586349
il	0.0229151	0.0191754	0.0213603	0.0184695	0.0189959	0.0208353	0.0328687	0.0330064	0.0353873	0.0312474	0.0168927	0.0137425	0.0121937	0.01657	0.0181897	0.0229567	0.0215659	0.0407701	0.0427878	0.0676509	0.0608219	0.0508389	0.0564809	0.0649294	0.0703774	0.0704543	0.0985158
est	0.14212	0.0805028	0.0735716	0.0590285	0.0564061	0.0534845	0.0394995	0.0455544	0.0250363	0.0317777	0.0162981	0.0113204	0.0134399	0.00828709	0.0109339	0.0077885	0.0190655	0.0123445	0.0151191	0.0124635	0.0122127	0.0113306	0.0283148	0.0269266	0.0451746	0.0356433	0.106356
faible	0.0447388	0.0349626	0.0320343	0.0326778	0.0305922	0.0267425	0.0174403	0.0164903	0.0120034	0.0120803	0.00799395	0.00548754	0.00555537	0.00345323	0.00642694	0.00778561	0.0202807	0.0237133	0.0275931	0.021632	0.0265757	0.0223917	0.0505406	0.0597842	0.119191	0.115995	0.215838
</S>	0.0203775	0.017123	0.0174415	0.0198832	0.0188021	0.0215523	0.0203768	0.0135014	0.0127068	0.00926085	0.00641264	0.00345739	0.00429586	0.0033194	0.00619279	0.0122836	0.0260032	0.048314	0.0842365	0.0656238	0.0840935	0.0566089	0.0592683	0.0885943	0.1158	0.0859904	0.0784801
