 	b	á	a	á	k	w	ε	r	i	o	l	o	n	d	ó	m	í	p	a	s	a	a	l	á	b	á	y	á	</S>
ils	0.100873	0.227235	0.191222	0.136288	0.056306	0.012168	0.00728328	0.00809917	0.0103113	0.0218623	0.0218351	0.0225377	0.0146036	0.0137618	0.0112809	0.00877872	0.00414974	0.00460163	0.0100385	0.00562589	0.00656955	0.00835228	0.0128002	0.0102101	0.0150739	0.0156549	0.0145338	0.0139406	0.0140023
ont	0.016457	0.0201223	0.0279556	0.0237383	0.0208853	0.0310639	0.0408993	0.0607934	0.0645791	0.0605338	0.0631872	0.0692558	0.0601766	0.0485736	0.03859	0.0303997	0.0412516	0.0225948	0.0285084	0.0351645	0.033306	0.0503314	0.035864	0.0198112	0.0162147	0.0106833	0.0154856	0.00890108	0.00467258
coupé	0.0341691	0.0309456	0.0295371	0.0373051	0.0196648	0.036087	0.0187458	0.0152341	0.0135807	0.0188513	0.0308836	0.0343378	0.0460673	0.0382607	0.0456981	0.0306043	0.0332752	0.0433567	0.0669303	0.0581058	0.0525577	0.063275	0.0590231	0.0362765	0.032903	0.0263555	0.0183832	0.0149722	0.0146132
l'	0.0134341	0.0154147	0.0178295	0.0120273	0.0108934	0.0261588	0.0234324	0.0249927	0.0272578	0.0309759	0.0319965	0.0390288	0.0463223	0.0401551	0.0545888	0.029849	0.0382343	0.0419091	0.0620014	0.0690215	0.054053	0.0434098	0.0325811	0.0389248	0.0396012	0.0403282	0.0379401	0.0271095	0.0305284
arbre	0.0152408	0.0147992	0.014736	0.0136343	0.0146365	0.0197432	0.0208309	0.0263911	0.0332879	0.0316424	0.033077	0.0291026	0.0259941	0.0171153	0.0242692	0.0295394	0.0369755	0.0511732	0.0674028	0.057251	0.0523988	0.0571952	0.0427518	0.0397146	0.0473017	0.0413529	0.0424589	0.047228	0.0527557
olondo	0.00436235	0.00505967	0.00563464	0.00566081	0.00674968	0.00936648	0.0080194	0.0106733	0.0115324	0.0134519	0.0133528	0.0187983	0.0245955	0.028577	0.0453119	0.0459533	0.0617845	0.103255	0.092719	0.079913	0.0799174	0.0585897	0.0398447	0.0374212	0.0320419	0.0341863	0.040435	0.0386404	0.0441522
pour	0.0122737	0.0112967	0.0100843	0.0115352	0.0132374	0.013458	0.0157739	0.0203134	0.0263162	0.0206226	0.0205142	0.0273045	0.0303209	0.034691	0.0591597	0.0780992	0.0649035	0.0663836	0.0422894	0.0390396	0.042442	0.0369775	0.0407018	0.0351155	0.0388009	0.0331381	0.0393767	0.0474268	0.0684036
faire	0.025565	0.0247703	0.0234882	0.0242928	0.0252856	0.0267284	0.0271516	0.0247999	0.0196353	0.0101857	0.00893241	0.0108993	0.0126664	0.0136019	0.0236433	0.0286026	0.0331406	0.0379729	0.0227889	0.0368579	0.049654	0.052618	0.0515178	0.0416011	0.0619321	0.0559992	0.0557725	0.0808081	0.0890883
des	0.0269371	0.022607	0.0219923	0.0223063	0.0214057	0.0238573	0.0219174	0.0146468	0.0123176	0.00879921	0.00846708	0.0118195	0.0132385	0.0173001	0.0267188	0.025755	0.0206419	0.0331888	0.0216744	0.0315482	0.0323237	0.0444947	0.0667658	0.058755	0.0705355	0.075241	0.0772501	0.0811388	0.0863564
planches	0.0233759	0.0175182	0.0231044	0.017909	0.0129918	0.0133227	0.0117296	0.0101287	0.00943319	0.00658398	0.00664979	0.00962629	0.0128867	0.0121786	0.0140226	0.0224667	0.0302731	0.0646656	0.0380731	0.0360934	0.0432327	0.0400989	0.0382592	0.0362074	0.0467812	0.055164	0.0829588	0.105303	0.158961
</S>	0.027818	0.0248299	0.0266641	0.0260057	0.0284759	0.0333026	0.0301314	0.0269528	0.0190186	0.00901145	0.00805412	0.00980873	0.0105095	0.0077611	0.00776836	0.0103677	0.0161199	0.0335881	0.0205286	0.0377629	0.0384944	0.055332	0.0475265	0.0423647	0.0641475	0.0697536	0.064252	0.0919052	0.111745
