 	w	a	b	ó	l	á	a	l	é	á	i	b	í	a	m	ó	m	ώ	ω	</S>
il	0.0815288	0.121993	0.170664	0.205561	0.224213	0.0995513	0.0539312	0.011291	0.0028708	0.00272086	0.0020238	0.001518	0.00175823	0.00391994	0.00402922	0.00291766	0.00301099	0.00286066	0.00252107	0.00111562
grimpe	0.00925975	0.00691416	0.00892139	0.0094853	0.00788701	0.0050974	0.00606915	0.0110646	0.0527386	0.144705	0.241653	0.171756	0.124157	0.0695402	0.0492787	0.0340098	0.0175702	0.00748666	0.00973819	0.012668
sur	0.0158896	0.0149178	0.0123824	0.0145903	0.0188249	0.0225392	0.0193024	0.0584584	0.0880287	0.0939027	0.0602983	0.0503874	0.0644204	0.0729584	0.0633075	0.0771399	0.0727923	0.0742147	0.0666033	0.0390412
un	0.0189961	0.0306869	0.0364592	0.0437135	0.0602912	0.064592	0.0501486	0.025482	0.0246717	0.0394517	0.0337207	0.0330392	0.0488367	0.0379545	0.0356912	0.044998	0.0717373	0.0832926	0.112817	0.10342
palmier	0.00534117	0.00519847	0.00545097	0.0066195	0.00890194	0.0108242	0.00726951	0.00748439	0.0134734	0.020095	0.0216967	0.0210644	0.0438193	0.0316498	0.0550424	0.0822007	0.122546	0.167361	0.140302	0.22366
à	0.0123878	0.0132887	0.0164704	0.00936363	0.00979167	0.0102324	0.00620442	0.0104164	0.01226	0.0171523	0.0155509	0.0186022	0.0394208	0.0906464	0.103866	0.114669	0.124181	0.124265	0.119514	0.131716
l'	0.0225315	0.026667	0.031453	0.0270017	0.0298879	0.0277632	0.0288767	0.0295691	0.0306418	0.0314238	0.0288519	0.0264444	0.0311683	0.0587036	0.0701836	0.076584	0.086218	0.0961761	0.0882244	0.15163
aide	0.016976	0.016836	0.0186601	0.018118	0.0194357	0.0183525	0.0184219	0.0145583	0.0140923	0.0157302	0.0261576	0.0366297	0.0743971	0.0820799	0.0666225	0.0637833	0.104137	0.122888	0.121476	0.130648
d'	0.0167093	0.0148999	0.0106939	0.0108979	0.00856951	0.0114848	0.0174596	0.0211109	0.0355033	0.0316269	0.0325287	0.0358541	0.047072	0.0585447	0.0756065	0.101436	0.112775	0.116647	0.116378	0.124202
une	0.0285268	0.028895	0.0223056	0.0236741	0.0172287	0.0245647	0.0323055	0.0289961	0.031555	0.0209827	0.028653	0.02743	0.0352477	0.0644191	0.0713331	0.0663177	0.0812557	0.102259	0.119825	0.144226
ceinture	0.013082	0.0113154	0.00854283	0.0102662	0.00635222	0.010925	0.00994234	0.0152619	0.0232142	0.0220524	0.0334979	0.0472322	0.0787095	0.0971043	0.0812892	0.0820663	0.0971621	0.111088	0.117179	0.123718
de	0.0235801	0.0114906	0.0106069	0.0061489	0.00806342	0.00820935	0.00457882	0.0142545	0.024164	0.0313674	0.0308515	0.038381	0.0581233	0.0774712	0.0684538	0.117336	0.0944279	0.113959	0.126786	0.131746
corde	0.0196733	0.0159054	0.0209051	0.0188144	0.021074	0.0275679	0.0121491	0.0158763	0.0249037	0.0391498	0.0293846	0.0515103	0.0588671	0.0903069	0.079063	0.0853007	0.0805305	0.11146	0.0911964	0.106362
ou	0.0249587	0.0205176	0.0212355	0.0192516	0.0178234	0.024511	0.0140022	0.0169099	0.0211411	0.0311104	0.0278721	0.0400036	0.0329038	0.0570337	0.056763	0.0939782	0.121381	0.114355	0.0795854	0.164663
de	0.0128673	0.0109225	0.0142123	0.0144013	0.0122532	0.0183766	0.00929307	0.00939042	0.0155507	0.0332127	0.0312065	0.0430597	0.0428252	0.0840552	0.0680756	0.0977753	0.108229	0.115757	0.0905154	0.168021
liane	0.0139237	0.00763592	0.00842962	0.00522384	0.00398557	0.00530303	0.00501377	0.0121111	0.0180635	0.0382298	0.0305854	0.0379063	0.0536889	0.0917887	0.0854208	0.106955	0.0906417	0.115939	0.120062	0.149092
</S>	0.0152148	0.00832545	0.00891019	0.00611293	0.00469782	0.00583334	0.00515445	0.0174546	0.0251977	0.0332931	0.0433748	0.0497575	0.0725399	0.129522	0.0782477	0.0788149	0.0666787	0.0893244	0.125816	0.13573
