 	o	k	u	b	h	a	b	ó	l	á	a	t	u	á	o	y	í	y	i	á	</S>
le	0.0112785	0.0155788	0.0209937	0.0381577	0.0542206	0.0502293	0.0324204	0.070108	0.0566168	0.059676	0.059188	0.0629026	0.0748355	0.063438	0.0521306	0.0579383	0.0590236	0.0498015	0.04903	0.0387914	0.0236405
forgeron	0.0174526	0.0443736	0.0262778	0.0532395	0.0295604	0.0249577	0.0552608	0.0942833	0.123841	0.114544	0.158907	0.0791232	0.0469033	0.0488477	0.0264718	0.0246105	0.018511	0.00719361	0.00193043	0.00273481	0.000975595
est	0.0333627	0.0446087	0.0464891	0.0471631	0.0631372	0.0879145	0.137532	0.115125	0.0927897	0.0714332	0.0685998	0.0281251	0.0220768	0.0260643	0.023254	0.0180177	0.0151744	0.0201881	0.00787151	0.0178002	0.0132731
en	0.0627312	0.0648474	0.0761162	0.080794	0.132622	0.0973228	0.0509854	0.0535917	0.0361684	0.0239018	0.0150379	0.0209868	0.0211409	0.0184834	0.0327251	0.0493858	0.0391136	0.0351249	0.0148201	0.0251767	0.0489237
train	0.0317535	0.0348521	0.0283854	0.0288119	0.0331084	0.0398454	0.058438	0.083925	0.0740066	0.0709587	0.0562377	0.0438845	0.0311815	0.060085	0.0771548	0.0746963	0.0445678	0.040767	0.0173167	0.0347454	0.0352783
de	0.0383854	0.0438914	0.0263303	0.0278751	0.0487598	0.0434276	0.0261823	0.0741908	0.0779893	0.0677075	0.100084	0.0531345	0.0621076	0.0192204	0.00941755	0.0114487	0.0170625	0.0256377	0.0205061	0.0404583	0.166183
fabriquer	0.0588378	0.0478774	0.0293717	0.0241898	0.028846	0.0350114	0.0537538	0.0593176	0.0842774	0.0867761	0.0842427	0.0701359	0.0335799	0.0215794	0.0341466	0.0474039	0.0503681	0.0354964	0.0265479	0.0304172	0.0578229
la	0.090348	0.0650498	0.0472544	0.0407909	0.0433672	0.0416981	0.0497734	0.0413027	0.0303538	0.027394	0.0187825	0.0134497	0.0135358	0.0254001	0.0671699	0.065387	0.0562948	0.0551632	0.0437105	0.0473704	0.116404
pointe	0.0654637	0.0534078	0.0393468	0.0282883	0.0232741	0.0232662	0.0295019	0.0305482	0.0263491	0.0191082	0.0172368	0.0153876	0.0112841	0.0156425	0.0302795	0.0603519	0.0529358	0.0921731	0.0320322	0.0967098	0.237412
du	0.230413	0.146696	0.0883432	0.038069	0.0268485	0.0273698	0.0415248	0.0346754	0.0237702	0.0222739	0.0194363	0.00929434	0.00618131	0.00410212	0.00309873	0.00268021	0.00342671	0.0172933	0.00602735	0.0445122	0.203964
fer	0.153952	0.0666759	0.0416408	0.0302172	0.0277001	0.0235408	0.017628	0.0159797	0.00862402	0.00861435	0.00585162	0.00969355	0.0119968	0.0126249	0.0157715	0.0223211	0.0265665	0.0661659	0.0144648	0.0930862	0.326885
de	0.124721	0.0945646	0.0683055	0.0379446	0.0357039	0.0340783	0.0313023	0.0253066	0.0154331	0.013926	0.00913263	0.00473075	0.00378202	0.00464298	0.00666787	0.00955105	0.0194957	0.0404585	0.026143	0.0777925	0.316317
la	0.0755193	0.0620356	0.0558548	0.0500129	0.042871	0.0263582	0.0165546	0.0142428	0.00830236	0.00849959	0.00738583	0.00570856	0.00479415	0.00458396	0.0105576	0.0283249	0.0512436	0.086279	0.110311	0.110627	0.219934
houe	0.0542335	0.0387183	0.0328909	0.0258524	0.0153834	0.0112095	0.00722936	0.00652666	0.00380834	0.00380669	0.00348749	0.00444106	0.00400181	0.00472017	0.00452724	0.0163123	0.040654	0.116442	0.115885	0.168274	0.321596
</S>	0.0900114	0.0604587	0.0404273	0.0378505	0.0303189	0.0287895	0.0271191	0.0230306	0.0198203	0.0164941	0.0110741	0.0109074	0.00779947	0.0089809	0.00581129	0.00757457	0.00980592	0.0276235	0.0155949	0.0595726	0.460935
