 	b	o	b	á	a	b	έ	r	έ	w	á	i	d	i	b	h	i	i	</S>
on	0.0407756	0.0268563	0.0368902	0.0598782	0.0722631	0.0810747	0.0816442	0.0803534	0.0419623	0.030542	0.0290727	0.032935	0.032737	0.0563743	0.137306	0.0446971	0.0677112	0.0272202	0.0197069
lui	0.0694191	0.095212	0.109507	0.111316	0.121887	0.075964	0.122603	0.0853413	0.0614004	0.0319756	0.0174087	0.0223711	0.0125097	0.00654907	0.0104443	0.00301844	0.00733866	0.00951549	0.0262187
fait	0.0516421	0.0432905	0.0155925	0.0117688	0.013786	0.016263	0.0123519	0.0173946	0.0386742	0.0518829	0.0490604	0.0878446	0.110825	0.0662528	0.083561	0.118837	0.0944002	0.0730181	0.0435538
des	0.0251719	0.0218089	0.0141736	0.0132235	0.0147101	0.0154039	0.0147051	0.0184336	0.0340335	0.0590491	0.131893	0.150484	0.166037	0.127224	0.0391191	0.0372781	0.0372369	0.0236842	0.0563301
massages	0.0698696	0.0477963	0.0395466	0.0298406	0.0362488	0.0371843	0.0338416	0.0403197	0.0396943	0.0400587	0.0395569	0.0687933	0.0758952	0.0567693	0.0720684	0.0574934	0.0628501	0.0557037	0.0964691
à	0.0399188	0.0282629	0.0328467	0.0282773	0.02926	0.0284523	0.0247184	0.0350386	0.04432	0.041687	0.0341073	0.0506422	0.0384157	0.0331158	0.040718	0.0820328	0.102135	0.118629	0.167422
l'	0.03063	0.027005	0.0200121	0.0200177	0.0211713	0.0270783	0.0231304	0.022819	0.0354566	0.0368087	0.0438559	0.0758099	0.0578104	0.0531548	0.0566478	0.0680691	0.112506	0.122478	0.14554
eau	0.0475788	0.0356934	0.0292246	0.0286974	0.0311549	0.0351725	0.0274368	0.0230802	0.0306493	0.0311399	0.063607	0.0710685	0.0559554	0.0723618	0.0713978	0.0581954	0.0728743	0.0828503	0.131862
chaude	0.0429122	0.0319776	0.0256105	0.021451	0.0230904	0.0193648	0.017067	0.0175463	0.023839	0.0226218	0.0489963	0.0642248	0.050544	0.0782708	0.103429	0.11054	0.0964012	0.0763802	0.125733
</S>	0.0552006	0.0400563	0.0387787	0.040444	0.0411079	0.0326393	0.0277945	0.0304892	0.0289256	0.0258624	0.0374497	0.0395448	0.0369898	0.0393843	0.0622095	0.0670325	0.102502	0.119404	0.134185
