 	w	a	l	á	a	k	a	n	y	á	á	m	í	f	ú	n	d	ú	b	v	ú	a	</S>
il	0.0381122	0.190478	0.245453	0.275643	0.180813	0.0206544	0.00962414	0.0099752	0.00607329	0.00303166	0.00267365	0.000558493	0.00154668	0.00331537	0.00232696	0.00237629	0.0019408	0.00170604	0.00119761	0.000734838	0.000725695	0.000678913	0.00036038
se	0.0191213	0.0155982	0.0127028	0.0122508	0.0178357	0.0412608	0.0294253	0.032129	0.0504502	0.0808181	0.122274	0.153034	0.191667	0.117237	0.0240559	0.018639	0.0191717	0.00608724	0.0041531	0.00489415	0.00458573	0.00805511	0.0145541
contorsionne	0.0290979	0.0332635	0.0315326	0.034649	0.0338883	0.0495461	0.0469435	0.0358229	0.0264583	0.0316155	0.0535412	0.0505526	0.0785118	0.0446278	0.0464661	0.0309205	0.0328171	0.0507275	0.0438819	0.051717	0.047165	0.0489939	0.0672601
à	0.0396715	0.0516826	0.0394896	0.0572652	0.0441657	0.0278702	0.0198807	0.0291984	0.0343306	0.0391123	0.0506233	0.0675112	0.0798969	0.0691445	0.0705485	0.034159	0.0307203	0.0208951	0.0105969	0.0274539	0.0381161	0.0510694	0.0665983
cause	0.00755203	0.0126533	0.0127274	0.0127997	0.0136621	0.0220827	0.0246907	0.0486314	0.0483228	0.0470735	0.045031	0.0360859	0.0342194	0.0328827	0.0602308	0.0639776	0.0576775	0.0581244	0.0466763	0.0739382	0.0817169	0.0663396	0.0929039
des	0.0111469	0.00954694	0.00921555	0.00788516	0.00965051	0.0132879	0.0157635	0.0209356	0.0189173	0.0199878	0.0190685	0.0280156	0.0251441	0.0346552	0.0455851	0.0655032	0.0786374	0.0767259	0.0681014	0.089104	0.0875456	0.108179	0.137398
maux	0.017789	0.0218151	0.0232003	0.0216362	0.0264243	0.0439109	0.0355405	0.0315457	0.0269691	0.0191481	0.0166748	0.0142086	0.0141962	0.0198216	0.0358827	0.0610921	0.0630721	0.0691595	0.0710797	0.0821941	0.0841619	0.0880262	0.112452
de	0.022566	0.0280397	0.0303517	0.0257705	0.0348527	0.0568719	0.0559145	0.0478576	0.0440173	0.0339188	0.0321831	0.0333231	0.028662	0.0465037	0.0481885	0.0447521	0.0661854	0.0469449	0.0334297	0.0453479	0.0405105	0.0526942	0.101114
ventre	0.0172215	0.0138496	0.0155414	0.0160076	0.0166014	0.0167822	0.0167392	0.0168514	0.0186262	0.0183176	0.0153058	0.0140043	0.0165054	0.0185083	0.0202488	0.0319221	0.0514713	0.0882894	0.100491	0.113745	0.106798	0.118981	0.137192
</S>	0.0187071	0.0106087	0.0121115	0.014909	0.0217645	0.0239826	0.0166518	0.0225008	0.0201859	0.0158184	0.0115571	0.00942321	0.0146095	0.0143333	0.0197335	0.0481084	0.0530968	0.0601483	0.0783721	0.105053	0.11758	0.12033	0.170414
