 	w	a	á	d	í	n	g	i	r	i	i	p	f	ú	t	a	m	o	k	í	n	g	í	</S>
il	0.0476151	0.136084	0.360843	0.231569	0.0612559	0.0277019	0.0175043	0.0397717	0.0396104	0.0155443	0.00165361	0.001167	0.00129026	0.00124593	0.00170163	0.00168195	0.00151034	0.00173283	0.00184157	0.00197499	0.00198881	0.00188072	0.00191223	0.000918187
a	0.0359323	0.0236323	0.0172898	0.0186908	0.0374878	0.045849	0.0403562	0.0278275	0.0271334	0.0699521	0.113398	0.187305	0.12157	0.0645038	0.0787341	0.0262409	0.013998	0.0150778	0.00420093	0.00574637	0.00341471	0.00361432	0.00609942	0.0119452
enroulé	0.0178631	0.0327067	0.035819	0.0311802	0.0460279	0.0272598	0.0283421	0.0169884	0.0211377	0.0330692	0.0561529	0.0819522	0.0857155	0.103379	0.0905273	0.0450562	0.0274088	0.0273754	0.0269809	0.0299014	0.0283985	0.0284014	0.0378331	0.0405228
le	0.00855556	0.00946533	0.00936249	0.0159593	0.0259812	0.0293864	0.0353319	0.0352668	0.0326979	0.0372091	0.0479459	0.0693452	0.0856757	0.105032	0.0670692	0.0476646	0.063733	0.0580749	0.0563823	0.0419149	0.0330745	0.037548	0.0230899	0.0242342
pagne	0.0101444	0.018043	0.0240734	0.0287183	0.0387802	0.035118	0.0504702	0.0355014	0.0311638	0.0390814	0.0551071	0.0553151	0.0520933	0.0483329	0.0441882	0.0415241	0.0403266	0.0391526	0.0445895	0.0459508	0.0456108	0.0514696	0.0474287	0.0778168
autour	0.0100065	0.0165374	0.0243441	0.0231742	0.026375	0.0168548	0.0155927	0.0132225	0.0125378	0.011992	0.0189269	0.0185477	0.0212696	0.0549792	0.0442766	0.0635601	0.0694496	0.0615315	0.0722553	0.0771429	0.0667692	0.0880849	0.0668573	0.105712
de	0.0218855	0.0240247	0.0318421	0.0184104	0.0211839	0.0203218	0.0281456	0.0281204	0.0282308	0.0238308	0.024787	0.0259634	0.0178127	0.0146475	0.0204873	0.0328607	0.0653058	0.0664371	0.0732091	0.0792582	0.0767292	0.0829589	0.0711335	0.102414
son	0.0252733	0.0269361	0.0371326	0.0303585	0.0281649	0.0212814	0.0223675	0.0218997	0.0218272	0.0216923	0.0202313	0.0202975	0.0157968	0.0144803	0.025067	0.045224	0.0709924	0.0737895	0.069464	0.0737539	0.0771133	0.0803442	0.0762844	0.0802279
cou	0.0142449	0.00902931	0.0118176	0.0113941	0.0126436	0.0249369	0.0376483	0.0317975	0.0263939	0.0199573	0.0198604	0.0205819	0.0176179	0.0158405	0.0258679	0.0289445	0.0346476	0.0455532	0.0631139	0.0699341	0.100468	0.0962167	0.119016	0.142475
</S>	0.0257832	0.0225481	0.0189296	0.0326458	0.0336757	0.0342188	0.0349221	0.0401667	0.041157	0.0227758	0.0177137	0.016814	0.0136115	0.0120426	0.0151199	0.027049	0.0411837	0.0575234	0.0474851	0.0471321	0.0828734	0.0849796	0.0926165	0.137033
