 	o	t	ω	m	b	í	l	i	m	ó	ó	d	z	w	é	e	b	ω	n	g	ω	ó	m	i	s	έ	l	ε	</S>
le	0.0142545	0.020181	0.0172799	0.013086	0.0122275	0.0108269	0.0213206	0.0283213	0.0409088	0.050989	0.0557061	0.0305066	0.049227	0.0743201	0.0660794	0.0595496	0.049235	0.0305382	0.0420189	0.0418359	0.0398095	0.021601	0.0246262	0.0224047	0.0231235	0.0242898	0.0298153	0.0332346	0.052683
camion	0.0189868	0.0276959	0.031068	0.0192685	0.029991	0.0289223	0.0381444	0.113672	0.136199	0.135658	0.104862	0.0879689	0.0308191	0.0167615	0.0100699	0.00758611	0.00690048	0.00797206	0.00692959	0.0100532	0.0229597	0.0262752	0.0236691	0.0216328	0.0179909	0.00788094	0.00573839	0.0026038	0.00172073
qui	0.105414	0.0609042	0.0389423	0.0256654	0.00833468	0.0102299	0.0122686	0.00582442	0.00358667	0.00454067	0.00380269	0.00990265	0.0120843	0.014982	0.0345142	0.0811518	0.072719	0.0726602	0.081739	0.0772213	0.0847227	0.0450846	0.0461475	0.0327994	0.023602	0.0118738	0.0096427	0.00633948	0.00329985
est	0.0436135	0.0423948	0.0481982	0.064359	0.0451986	0.0521855	0.0528264	0.0711018	0.0335958	0.0443151	0.0497425	0.0336781	0.0468104	0.0489439	0.0536267	0.0317748	0.0193507	0.0270733	0.0177346	0.0168886	0.0138653	0.0194061	0.0198628	0.0131576	0.0119573	0.0143759	0.013431	0.0197118	0.03082
parti	0.0772022	0.0495076	0.0392824	0.0452514	0.0522267	0.0443267	0.038094	0.0296733	0.015344	0.0185833	0.0177607	0.0275275	0.0378926	0.0468889	0.0185155	0.0192865	0.0093477	0.0223165	0.0189027	0.0241976	0.0353881	0.0381246	0.0344231	0.0325832	0.0355024	0.0346951	0.0444288	0.037435	0.055292
pour	0.0306776	0.0376241	0.0427076	0.0552346	0.0679255	0.0695882	0.0658046	0.0669521	0.0466037	0.0426214	0.0396144	0.0310099	0.0288741	0.025585	0.00366636	0.00571011	0.00337834	0.00798939	0.00687594	0.00778964	0.0117892	0.0226722	0.0214849	0.0229395	0.0205843	0.0245102	0.0344385	0.0466782	0.108671
boundji	0.0331926	0.033808	0.0360053	0.038491	0.0440056	0.0534492	0.0399757	0.0356151	0.0205952	0.0201519	0.015822	0.0170105	0.0251116	0.0268429	0.0187721	0.014654	0.0124872	0.0271985	0.0164888	0.0200234	0.0239794	0.0420469	0.0400907	0.0363727	0.032871	0.0372273	0.0537702	0.0635986	0.120343
est	0.133836	0.0797519	0.0601044	0.048939	0.0298431	0.0192629	0.0191136	0.0175883	0.0157995	0.0111499	0.00786196	0.00829874	0.00742834	0.0125065	0.00922833	0.0226902	0.0324476	0.0375535	0.0312313	0.0368576	0.0176163	0.0210065	0.0271311	0.0260001	0.0259125	0.0367216	0.0422918	0.0608759	0.100951
déjà	0.163473	0.0854204	0.0449011	0.0244287	0.00860789	0.00492166	0.00814089	0.00692246	0.00712733	0.00570416	0.00591425	0.00475501	0.00522502	0.0102959	0.00915915	0.0126135	0.0216963	0.0313261	0.0258402	0.0420515	0.0133458	0.0169911	0.022665	0.0255147	0.0284835	0.0547634	0.073771	0.0934127	0.142528
loin	0.0682641	0.0484476	0.03924	0.0276206	0.0167383	0.0138599	0.0150452	0.0119893	0.0120494	0.0110787	0.0111676	0.0121717	0.0108166	0.00770564	0.00471219	0.00667059	0.00976934	0.0222155	0.0226447	0.0498661	0.0144172	0.0197409	0.0207038	0.0232698	0.0273443	0.077272	0.106944	0.146043	0.142192
</S>	0.0604896	0.0453705	0.0403417	0.0404753	0.0454587	0.0445894	0.0389042	0.0358019	0.0144654	0.0115577	0.00928343	0.011914	0.013786	0.0184862	0.0223489	0.0269321	0.0257128	0.0282925	0.0191029	0.0208545	0.0118185	0.0161767	0.0171598	0.0208091	0.0219606	0.0522278	0.0679169	0.0993428	0.11842
