 	o	y	ú	r	u	w	ó	á	w	o	s	i	a	w	ú	r	a	m	á	m	b	í	a	m	í	m	b	ώ	n	d	ω	</S>
cette	0.0109971	0.00970322	0.00990285	0.00568328	0.00772658	0.00889529	0.0140885	0.0212028	0.0409261	0.034559	0.0496354	0.0578563	0.0638504	0.0466583	0.0360657	0.0219971	0.0140571	0.0280716	0.0364078	0.0339332	0.058416	0.0404819	0.0545112	0.0356955	0.0289205	0.028028	0.0261492	0.0182967	0.0251801	0.0334168	0.0334661	0.0652201
femme	0.0464722	0.123855	0.155896	0.108368	0.0590131	0.0280411	0.047589	0.0340315	0.0270514	0.0237955	0.052279	0.0420402	0.0476847	0.014079	0.0862048	0.0128739	0.0243909	0.0103713	0.00255963	0.00446133	0.00203555	0.00254836	0.00662224	0.00394017	0.0054249	0.00388937	0.00362747	0.00728349	0.00652247	0.00452471	0.00192198	0.000601334
a	0.0610411	0.0269326	0.00974324	0.0109651	0.00757171	0.0197071	0.0180453	0.0141143	0.0121956	0.0138287	0.0162279	0.0197249	0.033303	0.0282222	0.059084	0.0754832	0.062849	0.0454277	0.0360685	0.0781256	0.0292573	0.0383116	0.0530102	0.0347061	0.0332603	0.0428526	0.0293242	0.0226148	0.016339	0.0216993	0.0178558	0.0121082
oint	0.0179047	0.0160425	0.0293115	0.0478559	0.0463473	0.0238555	0.0463813	0.0397045	0.0399036	0.0208706	0.0215507	0.0274802	0.0221469	0.0252099	0.0359462	0.064287	0.0524486	0.0482043	0.0402642	0.0420247	0.0453753	0.0334176	0.0211178	0.0252225	0.0153805	0.0139183	0.0095862	0.0130673	0.0123155	0.0314129	0.0215195	0.0499264
ses	0.0210236	0.0209626	0.0291373	0.0480415	0.051049	0.038191	0.0411893	0.0435316	0.0573849	0.0364295	0.0366638	0.0397777	0.0353929	0.0427526	0.0427685	0.0413322	0.0426671	0.0438982	0.0243787	0.0309322	0.0259208	0.0231368	0.0183462	0.0203276	0.0143179	0.0148083	0.0107816	0.0148292	0.0102274	0.0272756	0.0192625	0.033262
mollets	0.0617294	0.0344669	0.0284071	0.0442364	0.0315218	0.0297408	0.0324353	0.062002	0.053307	0.0336216	0.05016	0.0271642	0.0195046	0.0443367	0.0278199	0.00997235	0.00625536	0.00656833	0.00627011	0.00797316	0.0122499	0.0148715	0.0197903	0.0271031	0.0355797	0.0444508	0.0402468	0.0552873	0.045093	0.0325833	0.027721	0.0275303
d'	0.0350878	0.0288229	0.0227734	0.0226765	0.0217926	0.0275879	0.0273495	0.0282706	0.0320568	0.0275544	0.0266584	0.0237617	0.0311945	0.02837	0.0321859	0.0332302	0.0336239	0.0456696	0.0351147	0.0228756	0.0429048	0.0348106	0.0274021	0.0328764	0.0255227	0.0240839	0.038803	0.0306767	0.0429833	0.0227952	0.0428567	0.0476275
huile	0.0374362	0.0148681	0.0140984	0.0141996	0.0138656	0.0142828	0.0149895	0.0195758	0.023945	0.0199749	0.0163416	0.0149159	0.0162158	0.0249281	0.0257359	0.0376257	0.0494149	0.0389794	0.029126	0.023758	0.0225114	0.0198553	0.0239744	0.0208437	0.0235169	0.0202082	0.0370714	0.0384351	0.0561416	0.0599539	0.09382	0.119391
de	0.115828	0.0901728	0.092872	0.0648123	0.0639687	0.0385397	0.0228734	0.0318485	0.047822	0.0267666	0.0241915	0.0108463	0.0229144	0.0333275	0.0425478	0.0213666	0.0267937	0.0222481	0.0166758	0.0165104	0.0138676	0.0121547	0.00796001	0.00884834	0.00788256	0.00887514	0.00994883	0.00890537	0.0124349	0.00870997	0.0146515	0.0528348
palme	0.0731786	0.0288175	0.02464	0.0207157	0.013243	0.00950779	0.0110997	0.0122943	0.00967398	0.00717264	0.00579391	0.0085066	0.0086054	0.00701563	0.022942	0.0266977	0.0325752	0.0362894	0.031949	0.0174859	0.0232516	0.016868	0.0170856	0.0174268	0.0224167	0.0157498	0.0406717	0.042702	0.0715653	0.0801342	0.108597	0.135328
</S>	0.135555	0.0513428	0.0388974	0.0357705	0.0175849	0.0193824	0.0153179	0.0118982	0.00981684	0.0108252	0.00877044	0.00989752	0.0124448	0.0186674	0.0474243	0.0323	0.0162282	0.0283763	0.013203	0.00905483	0.0142306	0.0108441	0.0110885	0.0105337	0.0108752	0.00965677	0.0274284	0.0298197	0.0393493	0.0421916	0.0925736	0.158651
