 	b	o	l	a	ó	k	a	b	h	i	n	g	á	e	s	ε	n	g	í	y	á	y	a	a	</S>
ma	0.0255815	0.0124803	0.0146558	0.0258187	0.0228343	0.0588002	0.10647	0.0871273	0.103041	0.074669	0.0639433	0.0410155	0.0324491	0.0472761	0.0327701	0.0191618	0.0217258	0.0346509	0.0310269	0.0229844	0.0384023	0.0244446	0.0231824	0.0187224	0.0167659
soeur	0.171306	0.12874	0.11313	0.0622097	0.114254	0.0222273	0.0156419	0.0163049	0.0196754	0.0237828	0.0205531	0.0189905	0.0571663	0.0561454	0.0351866	0.0193183	0.0242467	0.0375389	0.018531	0.00586617	0.00788232	0.00634305	0.00182309	0.00177575	0.00136072
m'	0.123313	0.0638104	0.0591384	0.0631575	0.0471085	0.0353278	0.0526003	0.0356889	0.0234923	0.0286497	0.0353935	0.0350099	0.0474878	0.0474236	0.0269031	0.0140477	0.0213211	0.102897	0.0309394	0.0315108	0.0254874	0.0124667	0.0118931	0.0122145	0.0127175
a	0.123693	0.122581	0.110532	0.123925	0.0852784	0.0430641	0.0439133	0.0441242	0.0353378	0.0430881	0.0242548	0.0194461	0.0164587	0.0260333	0.0199672	0.0181289	0.0120699	0.0111854	0.00764267	0.00816509	0.0086003	0.00912012	0.00821708	0.0107221	0.0244512
offert	0.127433	0.0435122	0.0573542	0.0548396	0.0497945	0.0455104	0.0460186	0.0371408	0.0330851	0.0289493	0.0253897	0.0270074	0.0276874	0.0237983	0.032436	0.0417068	0.056242	0.0351098	0.0282792	0.0188131	0.0210089	0.0208914	0.0288633	0.0277638	0.0613651
un	0.0485966	0.0307786	0.0253655	0.0293742	0.0323121	0.0484129	0.0461216	0.045679	0.0379396	0.0343273	0.0330107	0.0339583	0.0332007	0.0268338	0.0278482	0.041707	0.044376	0.036056	0.0389014	0.0346147	0.0418161	0.0333095	0.0281671	0.0593616	0.107932
gros	0.052871	0.025867	0.0372962	0.0407224	0.0410376	0.0314535	0.0262977	0.0230166	0.0181087	0.0168451	0.0153592	0.0119313	0.00994554	0.018301	0.0268557	0.0457738	0.0562425	0.0540118	0.0621321	0.0616773	0.0680403	0.0658625	0.0679043	0.0560943	0.0663528
paquet	0.029586	0.0236619	0.0223233	0.0248219	0.0237917	0.0390459	0.0422689	0.0360832	0.0318246	0.0292504	0.0264829	0.0167053	0.0144988	0.0334401	0.0470633	0.0505668	0.0407678	0.0226124	0.0330023	0.0300975	0.0304476	0.0298985	0.0465874	0.119358	0.155813
de	0.0553723	0.0525446	0.0587477	0.0563303	0.0404233	0.0486733	0.0432293	0.0278234	0.0164335	0.0125471	0.0118302	0.0103988	0.0110733	0.0152084	0.0129108	0.0131668	0.0223537	0.0167381	0.0226621	0.0305843	0.0344228	0.0463728	0.0564659	0.126268	0.157419
feuilles	0.0698001	0.0522863	0.0619324	0.0550504	0.0294797	0.0169232	0.0107402	0.00834584	0.0038125	0.00264189	0.0026404	0.00281657	0.00347178	0.00409732	0.0062252	0.00967614	0.0260543	0.0279952	0.0454273	0.059434	0.0446773	0.0452785	0.0847115	0.159816	0.166666
de	0.0691871	0.0654493	0.0766513	0.073676	0.054778	0.0505059	0.0393871	0.0251869	0.0123655	0.00710418	0.00617691	0.00538115	0.00581309	0.00953725	0.0145833	0.0229078	0.0360113	0.0181221	0.0180379	0.0305975	0.0214388	0.0213522	0.043421	0.112227	0.160101
manioc	0.0693866	0.0346609	0.0370482	0.0322636	0.0208727	0.0134323	0.011376	0.00859161	0.00638959	0.00462262	0.00450864	0.00504849	0.00670332	0.0068005	0.0160797	0.022595	0.0444108	0.0504206	0.064565	0.0699867	0.0467154	0.0503506	0.101692	0.118384	0.153095
</S>	0.0878781	0.0418295	0.0447657	0.0382969	0.0214376	0.0176638	0.0113033	0.0063908	0.00409484	0.0032027	0.00299907	0.00296034	0.00302406	0.00525932	0.0124676	0.0251688	0.0446529	0.0378565	0.0439255	0.0544665	0.043434	0.0503005	0.0947851	0.129447	0.17239
