 	b	á	a	á	b	h	é	m	b	i	k	ó	l	i	t	s	i	i	n	a	á	p	f	é	s	á	a	t	s	á	a	b	v	ú	s	á	</S>
ils	0.0455878	0.135374	0.154442	0.107365	0.0908017	0.0650122	0.0550468	0.0157341	0.0333483	0.0212289	0.0151589	0.0167685	0.0143711	0.00944767	0.0119541	0.00796504	0.00892513	0.0091767	0.00538505	0.0043522	0.00632817	0.00785951	0.00786267	0.0125247	0.0111385	0.0124873	0.0137755	0.0115506	0.00901715	0.00949462	0.0102447	0.0124298	0.00964412	0.00719182	0.0100683	0.011289	0.00964804
ont	0.015887	0.0139878	0.0252593	0.0167402	0.0133517	0.0365299	0.0385422	0.0522677	0.0705778	0.0781757	0.0997142	0.0892164	0.0829708	0.0513573	0.0351376	0.029666	0.0346197	0.0329701	0.0140535	0.00920157	0.00656383	0.00792606	0.0101568	0.0116214	0.0116107	0.0123037	0.0112832	0.0104867	0.0155758	0.010945	0.0115716	0.00744963	0.00947575	0.00900471	0.00807296	0.00361846	0.00210731
marché	0.0306702	0.0297099	0.0382134	0.0315188	0.0250902	0.0293201	0.01417	0.0160828	0.0178418	0.0177995	0.0210713	0.0216057	0.0231695	0.0194542	0.0300825	0.0231585	0.0260029	0.0172172	0.0177751	0.015799	0.0212183	0.0249112	0.0287794	0.0336293	0.0291567	0.0369202	0.0312875	0.0447336	0.0504244	0.0487557	0.0424	0.0478293	0.0422563	0.018932	0.0135226	0.0099073	0.00958379
toute	0.0107279	0.0146224	0.0175314	0.0139534	0.0110911	0.0157647	0.0147678	0.0119867	0.0107143	0.0098367	0.006965	0.0103818	0.0119986	0.0150744	0.018973	0.0169721	0.0179248	0.0356603	0.0357438	0.0368559	0.0267013	0.026728	0.0281054	0.0267536	0.0346857	0.0344632	0.0452892	0.051546	0.0664331	0.0630083	0.0586428	0.0676132	0.0524864	0.0350937	0.0200865	0.0140763	0.0107414
la	0.0151289	0.0112381	0.0104859	0.0101405	0.00746025	0.011918	0.021517	0.0249236	0.0326558	0.035868	0.0374815	0.0353567	0.0331925	0.0436134	0.0506646	0.0448099	0.0371601	0.0539297	0.0333444	0.0365188	0.0271073	0.0234858	0.0205939	0.0200602	0.0231929	0.0257995	0.0238527	0.0211186	0.0294956	0.0371292	0.0214191	0.0270898	0.0203182	0.0220946	0.0188608	0.020687	0.0302872
nuit	0.01783	0.0116271	0.0092414	0.00723115	0.00592966	0.00775565	0.012818	0.0131307	0.0274512	0.0300006	0.0332878	0.027347	0.0275558	0.0357953	0.0395196	0.0308458	0.0373754	0.0568908	0.0410497	0.0486832	0.0557681	0.0538681	0.0368358	0.0221315	0.0219983	0.0267619	0.0185685	0.0205056	0.0224186	0.0245348	0.017932	0.0223446	0.0221218	0.0297589	0.0198799	0.0291296	0.0340762
et	0.0103078	0.0091152	0.00853181	0.00767095	0.00860461	0.0145358	0.0164794	0.0174118	0.0295582	0.0349849	0.044265	0.0343866	0.0299541	0.0399083	0.0315486	0.0268358	0.0214036	0.0284204	0.0211105	0.0242559	0.0240243	0.0263468	0.0258311	0.0249308	0.0279649	0.027304	0.0253545	0.0262673	0.0232349	0.0307149	0.0274056	0.0250546	0.0330793	0.0305347	0.0310884	0.0545351	0.0770393
son	0.0192358	0.010494	0.0109062	0.00885579	0.0100924	0.0151629	0.022476	0.0295539	0.0308423	0.0360658	0.0430169	0.0329482	0.0327753	0.0334699	0.0319518	0.0336372	0.0249104	0.0239283	0.0192019	0.0238283	0.0257177	0.0193976	0.0221169	0.0229868	0.0225882	0.021201	0.0209536	0.0202681	0.0184797	0.0210558	0.021872	0.0288232	0.0331711	0.034149	0.0457048	0.0597724	0.0683889
arrivés	0.011963	0.00570735	0.00538589	0.00446569	0.00354052	0.0032422	0.00239461	0.00375582	0.00586117	0.00723669	0.0113205	0.00970389	0.00691996	0.0139158	0.0131667	0.0240941	0.0159271	0.0322274	0.0203913	0.0356933	0.0386757	0.0565134	0.0567131	0.0483358	0.0410237	0.0476914	0.0376943	0.0452147	0.040044	0.0401293	0.0407533	0.0300909	0.0266667	0.0406946	0.050078	0.0512797	0.0714887
à	0.0241148	0.0109439	0.009329	0.00760737	0.00596693	0.00420489	0.00306056	0.00462953	0.00515867	0.00685672	0.00804299	0.00968321	0.00822914	0.0112448	0.0126639	0.017769	0.0168494	0.0375213	0.037455	0.0576142	0.0515967	0.0513164	0.049383	0.0311288	0.0298574	0.0384794	0.0360802	0.0371834	0.0380355	0.0287888	0.034184	0.0233647	0.0238622	0.0491609	0.0506724	0.0554057	0.072555
