 	k	o	b	h	á	s	i	n	g	a	w	ó	b	a	á	ó	k	ó	r	a	m	b	ó	s	i	m	í	b	v	ú	a	d	í	</S>
prend	0.0124382	0.0150014	0.0203937	0.0245248	0.0319005	0.02701	0.0481497	0.0359185	0.0386921	0.0474944	0.0517307	0.0574477	0.0433435	0.0543654	0.070715	0.0505	0.0509817	0.0363502	0.0399935	0.0218339	0.0222104	0.0185393	0.0298985	0.01925	0.0257918	0.014234	0.0139397	0.0116732	0.00992876	0.0100714	0.00834685	0.0144157	0.0130513	0.00986436
cette	0.0454623	0.0353954	0.0256841	0.0406252	0.052925	0.0347992	0.0277874	0.0356804	0.0273926	0.0222457	0.0216511	0.0206345	0.0442584	0.0411366	0.0670058	0.0688705	0.0736861	0.0763568	0.0662746	0.0303896	0.0242167	0.0142416	0.00495207	0.0107393	0.0109305	0.014644	0.00880939	0.012175	0.00770737	0.00605771	0.00685404	0.00330233	0.00308294	0.0140258
corde	0.0939225	0.0750032	0.0711524	0.0545029	0.0390977	0.0342404	0.0380059	0.0356165	0.0332741	0.0292765	0.0273636	0.0216212	0.0116462	0.00967652	0.00752964	0.019491	0.0288053	0.019734	0.0333541	0.0348295	0.026475	0.0438295	0.0412088	0.032138	0.0205915	0.0204095	0.0172153	0.0165789	0.00969734	0.0130485	0.00981475	0.0109702	0.00892197	0.0109576
et	0.033434	0.0297325	0.0319466	0.0327021	0.0453474	0.0465766	0.0424257	0.0489777	0.0354567	0.0228186	0.0134148	0.0194889	0.014417	0.0179571	0.0194529	0.0337919	0.0344284	0.0422218	0.0495973	0.041302	0.0339021	0.0332533	0.0352731	0.0502229	0.0318843	0.0230339	0.0153209	0.018164	0.0145843	0.011976	0.00956202	0.0109661	0.0146551	0.0417123
attache	0.0253867	0.0253738	0.0335394	0.0370921	0.033852	0.0425378	0.0364422	0.041733	0.0410053	0.0404356	0.0410613	0.038737	0.0311626	0.0360722	0.030107	0.032616	0.0291697	0.0259484	0.0342767	0.0276425	0.0185328	0.0128485	0.0132828	0.0237768	0.0109904	0.0123808	0.0122651	0.0136629	0.0117591	0.0125659	0.0211879	0.0270449	0.0372029	0.088308
le	0.0121363	0.0091383	0.00870321	0.00906174	0.00836882	0.00798706	0.00874026	0.00699365	0.0074285	0.00470957	0.00497281	0.00369144	0.00521773	0.0104724	0.0158846	0.0182569	0.0307704	0.0384447	0.0337891	0.0503384	0.0392059	0.0563308	0.099984	0.0656095	0.0858865	0.0365613	0.0538325	0.0445041	0.0416209	0.029934	0.032261	0.033955	0.0413388	0.0438695
cabri	0.0418603	0.0290432	0.0222867	0.0214912	0.0182838	0.0217001	0.0130474	0.0140858	0.0130441	0.0161564	0.0156601	0.0162558	0.0147057	0.0169078	0.0180815	0.0166903	0.0243384	0.0298461	0.0379173	0.0327396	0.0255052	0.0268004	0.0198548	0.0501585	0.0256707	0.0282341	0.0353916	0.0458009	0.0403565	0.0372845	0.0582332	0.0492618	0.0570653	0.066241
à	0.0388166	0.0302689	0.0267042	0.0233318	0.0164561	0.0228321	0.0268011	0.0446465	0.037827	0.0251435	0.0171133	0.0169002	0.0188193	0.0321783	0.0214183	0.0253139	0.0306454	0.0321489	0.0225931	0.0224387	0.0168916	0.0279404	0.0292127	0.0572176	0.0266199	0.0315567	0.0249063	0.0349094	0.0533411	0.0293888	0.0337163	0.0178991	0.0274824	0.0565206
ce	0.0695381	0.0516844	0.0374546	0.02944	0.0188439	0.02273	0.0121999	0.0084659	0.0093306	0.00617576	0.00496794	0.00462718	0.00491924	0.00588273	0.00484474	0.00684172	0.00739327	0.0123641	0.0224839	0.01981	0.0248263	0.0335724	0.0205409	0.027932	0.034386	0.0334896	0.0489918	0.0527092	0.0545709	0.0361302	0.0526893	0.0546848	0.0710728	0.0944059
poteau	0.0674474	0.0442364	0.0310381	0.0188281	0.0118568	0.0104256	0.0083113	0.00772441	0.00748971	0.00643926	0.00535186	0.00481423	0.00644405	0.0081235	0.00743127	0.0116487	0.0100553	0.0174327	0.021264	0.0184772	0.0251587	0.0384642	0.0291722	0.032124	0.0349976	0.0422565	0.0380295	0.0405337	0.044092	0.0345344	0.061986	0.0641098	0.0749725	0.114729
</S>	0.0520094	0.0438072	0.0366124	0.025994	0.016887	0.0151079	0.0148468	0.0185753	0.0172608	0.0142392	0.0113961	0.0097925	0.0121017	0.0123615	0.0076305	0.0106066	0.00893604	0.013603	0.0211509	0.022407	0.0265231	0.0347935	0.0298894	0.0313653	0.0525087	0.0443585	0.0321958	0.0290686	0.0338133	0.0175914	0.0306695	0.0378779	0.0721799	0.141839
