 	n	g	á	í	d	i	i	l	e	n	d	u	b	h	u	l	i	í	t	í	n	d	í	n	ω	n	g	á	</S>
j'	0.0711132	0.381979	0.188741	0.106808	0.0892769	0.0301624	0.0181291	0.00381638	0.00206121	0.00222825	0.00293494	0.00645711	0.00850174	0.0108087	0.0106371	0.0107242	0.00943895	0.0048374	0.00430031	0.00394493	0.00414803	0.00479331	0.00466694	0.00371758	0.00329216	0.00316973	0.00297392	0.00317021	0.00316636
ai	0.0730145	0.0250734	0.0851844	0.0924857	0.135961	0.0482229	0.0301149	0.0800383	0.0768881	0.0360306	0.0642102	0.0587154	0.0186046	0.0133834	0.0137764	0.0125232	0.00868562	0.00988508	0.0106808	0.00557894	0.00771257	0.00491979	0.00472694	0.00805325	0.00798556	0.00759247	0.00358742	0.0195314	0.0368333
reçu	0.0449227	0.0366732	0.0237686	0.048562	0.0763119	0.0417703	0.0421194	0.0210793	0.0226415	0.0243817	0.0346981	0.0410558	0.0389685	0.0287063	0.0613018	0.0545652	0.0293049	0.0261991	0.0190902	0.023448	0.0195102	0.0265338	0.0236024	0.022727	0.0282657	0.0423969	0.0402919	0.0345464	0.0225571
la	0.0370487	0.0655311	0.0503219	0.0420809	0.03251	0.0311094	0.0191382	0.0149805	0.0218176	0.0224931	0.0234987	0.0261585	0.0346191	0.0310973	0.0208846	0.0152686	0.0131926	0.0255127	0.0362907	0.0654237	0.0572841	0.0704498	0.0614219	0.0359338	0.0335427	0.0275867	0.0260438	0.0280945	0.0306649
lettre	0.0155806	0.0199513	0.0212463	0.01965	0.0219211	0.0199123	0.0186562	0.0286664	0.0335279	0.038095	0.0390196	0.0440752	0.02549	0.0195052	0.0276792	0.0340346	0.0462011	0.0484216	0.0426733	0.070099	0.0454882	0.0629466	0.0584603	0.0280491	0.0310818	0.0224548	0.0213678	0.0343314	0.061414
que	0.0116751	0.00481684	0.00614265	0.00696714	0.00701194	0.00609021	0.0102641	0.0311684	0.0286434	0.0320884	0.0268229	0.0269795	0.0226647	0.020527	0.0184686	0.0229765	0.0249108	0.0308392	0.0328355	0.055221	0.0332613	0.0393213	0.0549508	0.0580102	0.0718889	0.0728445	0.0686242	0.0832479	0.0907371
tu	0.0535135	0.0342276	0.0191656	0.0102547	0.0135307	0.0168208	0.0271196	0.0582053	0.0479721	0.0333819	0.0288211	0.0304285	0.0250139	0.0198627	0.0158924	0.0149479	0.00944545	0.0185543	0.0246617	0.0506256	0.0372709	0.0402447	0.0421877	0.0268999	0.0309193	0.0395157	0.0421319	0.0518919	0.136493
m'	0.0865075	0.0207312	0.0151594	0.00976641	0.0103967	0.0186469	0.0139987	0.0207916	0.0242616	0.0215354	0.0199775	0.0208056	0.0179323	0.0211642	0.0214056	0.0244151	0.0207814	0.0179944	0.0151197	0.0211624	0.0171627	0.0203813	0.0416358	0.0676471	0.0744304	0.0774357	0.0602128	0.0891852	0.109355
as	0.170032	0.0782926	0.0286724	0.0082972	0.0140677	0.0186201	0.0227273	0.0275097	0.0375212	0.0223294	0.0229556	0.0286961	0.02136	0.0329196	0.0227902	0.0214902	0.0163582	0.0175553	0.012991	0.015329	0.0136894	0.0135333	0.0165772	0.0289071	0.0377639	0.0462486	0.0583485	0.0697303	0.0746864
envoyée	0.188692	0.101403	0.0252984	0.0130275	0.0227354	0.0186776	0.0192322	0.0165759	0.0193057	0.0157116	0.0192092	0.0208035	0.0188535	0.022731	0.0226107	0.0247898	0.0236503	0.0181138	0.0157027	0.0153355	0.0136861	0.0136333	0.0156224	0.0296355	0.0370131	0.0467144	0.0573576	0.0665454	0.077333
</S>	0.0815334	0.0503783	0.0349674	0.0170913	0.0194529	0.0418447	0.0458365	0.019465	0.0224723	0.0176173	0.0210325	0.0208896	0.0215954	0.0231035	0.0125843	0.0102801	0.00470824	0.00726368	0.0102601	0.0183782	0.0187021	0.0211189	0.0245832	0.0347942	0.0449341	0.0497646	0.0676561	0.0903854	0.147306
