 	o	y	ú	r	u	w	ó	a	b	o	n	g	o	m	í	s	a	b	h	i	á	m	i	f	ú	ú	s	a	</S>
les	0.0599219	0.0175031	0.0224698	0.0109321	0.0130495	0.0116905	0.00931547	0.0130933	0.0263586	0.0183868	0.0182288	0.0250437	0.0325501	0.0429134	0.0246129	0.0375808	0.0504283	0.0510401	0.0422456	0.0304817	0.0252978	0.0266118	0.0303945	0.0428014	0.0375915	0.054798	0.0751819	0.08345	0.0660266
jointures	0.0698268	0.0481743	0.0736409	0.0882615	0.106497	0.0730817	0.0761351	0.0394534	0.0175398	0.0149722	0.0104643	0.0130356	0.0493171	0.045532	0.0308429	0.0178342	0.0184139	0.0188683	0.00587764	0.0166228	0.00985257	0.0365868	0.032372	0.0228241	0.0227371	0.0220076	0.0103711	0.00513415	0.00372308
de	0.047771	0.0366577	0.0358472	0.0595732	0.0675088	0.052115	0.0323518	0.0241031	0.0119525	0.0104437	0.015249	0.0115099	0.0200777	0.0201952	0.0214422	0.0356649	0.0450861	0.0332181	0.0401346	0.0516182	0.0692795	0.0421057	0.0383461	0.0357167	0.03069	0.0428182	0.0231123	0.0226939	0.0227178
doigts	0.0152782	0.0151775	0.0320334	0.0360053	0.0513497	0.0460963	0.0545259	0.0275203	0.0345506	0.0348392	0.0312928	0.033272	0.0613949	0.0373988	0.0454123	0.0446367	0.0486014	0.0611156	0.0423723	0.0410627	0.0309667	0.0187007	0.018931	0.0215088	0.0251237	0.0219235	0.0186168	0.0232505	0.0270422
de	0.0445304	0.0342564	0.0429666	0.0400927	0.0230537	0.021495	0.0110015	0.0105447	0.0109204	0.00965289	0.01282	0.0175242	0.0258005	0.0366236	0.0461516	0.050521	0.0452948	0.054409	0.0532912	0.0461152	0.0361514	0.030845	0.027693	0.0368819	0.0334466	0.0352947	0.0358377	0.0462411	0.0805432
cette	0.0143785	0.0127193	0.0153968	0.0141734	0.0139041	0.00987201	0.0120298	0.0137199	0.0215995	0.0250782	0.0407901	0.0306524	0.0515875	0.0424253	0.0581181	0.0489617	0.0463843	0.0586918	0.0501219	0.0565474	0.0550747	0.0506567	0.0398196	0.0452741	0.0375385	0.0279682	0.0296513	0.0337362	0.0431286
femme	0.0343452	0.0324317	0.036998	0.0337272	0.0291146	0.027094	0.0204291	0.0227936	0.0193762	0.0232592	0.0333111	0.0162331	0.0354692	0.0274732	0.0288943	0.0350439	0.0316216	0.0329371	0.0237314	0.0332588	0.0359302	0.0477996	0.0488896	0.0405459	0.0519919	0.0369114	0.0311007	0.0465972	0.082691
se	0.037117	0.0181183	0.0229921	0.0186586	0.0186495	0.0157123	0.0165508	0.0172906	0.0142107	0.0161111	0.0224037	0.01479	0.0277865	0.0230738	0.0324133	0.0326556	0.0342967	0.0424343	0.033	0.0593189	0.0677763	0.0745754	0.0563021	0.0477589	0.048776	0.0400869	0.034714	0.0417847	0.0706418
sont	0.0531812	0.0355877	0.0333941	0.0334115	0.0318231	0.0191499	0.016541	0.00988915	0.00989562	0.0111098	0.0181697	0.0157133	0.0245226	0.0289158	0.0341442	0.0384528	0.0377557	0.0363703	0.0390109	0.0267478	0.0213585	0.034707	0.0460085	0.0291819	0.049163	0.0503201	0.0447132	0.0679505	0.102811
enflées	0.0673987	0.0402537	0.0378936	0.0281598	0.0165104	0.0141298	0.012951	0.0105062	0.00947582	0.0100758	0.010309	0.00943281	0.0149464	0.0136099	0.0183194	0.0337891	0.0426974	0.0487836	0.0427539	0.0323403	0.0324592	0.040525	0.0492732	0.040141	0.0468141	0.0490856	0.0484034	0.0650161	0.113946
</S>	0.0859814	0.0612842	0.0599714	0.0400008	0.0179517	0.0167347	0.00838314	0.00847252	0.00867281	0.00957722	0.0121059	0.0114077	0.0164344	0.014114	0.0159024	0.0295925	0.0290543	0.0317132	0.0493075	0.0433238	0.0470979	0.0209123	0.0281717	0.0343208	0.0375203	0.0449693	0.0501346	0.0627834	0.104104
