 	b	e	a	t	s	á	á	n	y	i	l	á	a	b	h	í	n	y	á	a	b	έ	ε	o	b	o	s	ó	b	í	p	έ	ε	l	á	m	w	á	n	a	</S>
beatsanyi	0.00906138	0.00674899	0.00814713	0.00717227	0.011837	0.0140618	0.00993145	0.0295596	0.0323379	0.0241486	0.0375142	0.0394044	0.0656561	0.12409	0.111602	0.069738	0.0414023	0.0495028	0.0310267	0.0219636	0.0156916	0.0151551	0.00853366	0.0108353	0.00570203	0.00496333	0.00467847	0.00505759	0.0074692	0.007894	0.0142915	0.0178007	0.020386	0.0154325	0.0148077	0.0153745	0.0133081	0.018855	0.0160659	0.0112543	0.0115376
presse	0.0440659	0.0811941	0.055143	0.0610693	0.0797672	0.0349832	0.0144481	0.0239874	0.0120545	0.0103773	0.0130894	0.0058575	0.0078689	0.0092955	0.00755231	0.0132458	0.0186727	0.0214363	0.0206434	0.0186563	0.0207858	0.0152306	0.0168078	0.0209756	0.027699	0.0246476	0.0372843	0.0307021	0.0275162	0.0310108	0.0331183	0.0240054	0.0230838	0.0182954	0.0163046	0.0145633	0.0155975	0.0174276	0.0168093	0.0108757	0.00385124
les	0.0474712	0.0532264	0.0219609	0.0177906	0.0140554	0.0232959	0.0435349	0.0337231	0.0322554	0.0370622	0.0292944	0.0193778	0.0204964	0.0192843	0.015911	0.0175896	0.0185848	0.0192008	0.042422	0.0524523	0.0374699	0.0278194	0.0190704	0.0275632	0.0485849	0.0203081	0.0249144	0.0275721	0.0173054	0.0201643	0.0229907	0.0218293	0.0211004	0.0163289	0.0157499	0.0129609	0.00737416	0.010346	0.00925796	0.00809782	0.00420269
mamelles	0.0199214	0.0287955	0.020536	0.0186542	0.0207996	0.0163508	0.0182761	0.0223445	0.0223269	0.0274289	0.0226566	0.0173144	0.0205791	0.0228656	0.0195845	0.0213176	0.0268503	0.0356135	0.049428	0.0395831	0.0324214	0.0347962	0.0243655	0.0461031	0.0482716	0.0413053	0.0426599	0.0490989	0.0318046	0.0298344	0.0188293	0.018265	0.0163302	0.0145057	0.0100411	0.0140253	0.0041804	0.00541121	0.00603786	0.0076409	0.0128459
avant	0.0766654	0.0554686	0.0421621	0.0341788	0.0193138	0.0135517	0.023792	0.0180269	0.0170883	0.0264038	0.01904	0.0178717	0.0118726	0.0115462	0.0112059	0.00860767	0.0099146	0.0123666	0.0211401	0.0193738	0.0223601	0.0327499	0.0236129	0.0189208	0.0338961	0.0391281	0.0386702	0.0375643	0.0293626	0.030703	0.015287	0.0214955	0.0198001	0.0324377	0.0165898	0.0371978	0.00878792	0.0189802	0.0126946	0.0139298	0.0262412
de	0.0142535	0.0177886	0.0195899	0.0243382	0.0366918	0.0416993	0.0408978	0.0346362	0.0510273	0.0407061	0.0418328	0.0411219	0.0352515	0.0320687	0.0270467	0.0194551	0.0144008	0.0150605	0.0180128	0.0194433	0.0156552	0.0135183	0.0108225	0.0121277	0.0135959	0.013347	0.016581	0.0165891	0.0243715	0.026945	0.0220904	0.0225161	0.0237533	0.0205492	0.0298168	0.0390598	0.0158858	0.0205184	0.0171524	0.0162858	0.0234959
faire	0.0227557	0.0216864	0.0173788	0.0174502	0.0234827	0.0244961	0.0210072	0.0181	0.0170258	0.0172707	0.0155892	0.0117635	0.0138741	0.0140441	0.0125231	0.0122566	0.0123561	0.0148437	0.0160941	0.0141059	0.0233792	0.026441	0.0316102	0.0317806	0.0343925	0.0359576	0.0361006	0.0371321	0.0371092	0.0319535	0.0357438	0.0298091	0.0330561	0.0300362	0.029443	0.0367655	0.0155515	0.0245964	0.0287595	0.0294941	0.0427838
têter	0.0290796	0.0249799	0.020788	0.0222597	0.0177423	0.0167046	0.0156019	0.0111231	0.00962478	0.0127276	0.00967336	0.00738607	0.00687244	0.00811739	0.00853845	0.00855821	0.00896249	0.00731666	0.0111996	0.0124869	0.0179652	0.0195233	0.0272067	0.0284722	0.0315772	0.0342548	0.0363806	0.0378054	0.0402237	0.042243	0.0383931	0.0343862	0.036611	0.0378033	0.0346584	0.0366255	0.0333639	0.0383843	0.0360588	0.041711	0.0466094
l'	0.0334957	0.0280461	0.0158948	0.0127576	0.0115636	0.00660483	0.0087999	0.00685696	0.00926721	0.00916071	0.0077208	0.00763976	0.0077118	0.00669588	0.00573682	0.00522765	0.00549475	0.00445349	0.005382	0.00669772	0.0108578	0.0146989	0.0221122	0.0203402	0.0210352	0.0293541	0.0322897	0.0327833	0.043324	0.0494054	0.048843	0.0317962	0.0402497	0.0412186	0.0350288	0.043094	0.0278813	0.0403442	0.0416313	0.0534589	0.115045
enfant	0.0245543	0.0217034	0.0169582	0.0106349	0.0080084	0.00409087	0.00429689	0.00437029	0.00478179	0.005383	0.00446298	0.0041514	0.00387457	0.00351014	0.00352149	0.00340998	0.0042696	0.00241273	0.00553924	0.00729429	0.011286	0.0116141	0.0155186	0.0153058	0.0145975	0.0195247	0.0219184	0.0235937	0.036584	0.0426045	0.0411394	0.0347924	0.0397266	0.0433289	0.0292941	0.0409964	0.0394206	0.0520646	0.0714919	0.0859408	0.162028
</S>	0.0409742	0.0305756	0.0221597	0.015152	0.0126164	0.00976913	0.00639753	0.00551259	0.00516372	0.00557678	0.00419916	0.0032792	0.00290237	0.00262711	0.00271084	0.0026663	0.00373264	0.00271089	0.00414234	0.00431149	0.00903492	0.0100601	0.0134869	0.015969	0.01775	0.0248368	0.0266337	0.0313086	0.0337996	0.0271157	0.0421663	0.0321469	0.0402741	0.0491565	0.0354945	0.0370337	0.0511293	0.0673941	0.0604393	0.0773157	0.110274
