 	p	á	r	á	a	d	í	a	b	a	a	l	a	y	ú	r	u	b	á	a	k	y	á	l	e	k	ώ	ώ	l	i	n	d	é	e	e	p	ω	ω	</S>
de	0.0125224	0.0213986	0.0329903	0.0314499	0.0258982	0.0247516	0.0307342	0.0265059	0.0133926	0.00902001	0.0109657	0.0121798	0.014899	0.0239404	0.0198653	0.0381116	0.0180702	0.0790548	0.0908056	0.0714892	0.121179	0.038844	0.0210467	0.0255944	0.0181986	0.0180334	0.0183249	0.0183828	0.00844884	0.0115731	0.010568	0.0130135	0.0146801	0.00839696	0.00857049	0.00948289	0.00851509	0.00743834	0.011664
nos	0.0480723	0.0345518	0.035981	0.0396296	0.0321078	0.0362894	0.0462618	0.0335567	0.0419667	0.0356266	0.0770738	0.039824	0.0589874	0.0223536	0.0282189	0.0190053	0.0194906	0.0152149	0.0110131	0.00914276	0.0142349	0.0104885	0.00975926	0.00874547	0.0146191	0.00920509	0.0175519	0.0233141	0.0116204	0.0118444	0.0165039	0.0193294	0.0239872	0.0320641	0.0287893	0.016269	0.0133155	0.0149985	0.0189919
jours	0.0435698	0.0286129	0.0234521	0.0276242	0.0290169	0.0454992	0.047156	0.0726704	0.0589521	0.0524077	0.0706849	0.0350634	0.057727	0.0377186	0.0326381	0.0265169	0.0182923	0.0225965	0.0110426	0.0107759	0.0144122	0.021868	0.0223466	0.0149919	0.0142239	0.00754152	0.00876237	0.0078812	0.00789109	0.00823593	0.013124	0.0162792	0.00778665	0.0142357	0.0139854	0.00895402	0.011146	0.0121579	0.0221589
les	0.0223649	0.0242928	0.0299821	0.032912	0.0137762	0.0208496	0.0176869	0.0243694	0.0196757	0.0263665	0.0289612	0.0282375	0.0376465	0.0364604	0.0294721	0.0252227	0.0341182	0.0280461	0.0457338	0.0320402	0.0326293	0.0401953	0.0420111	0.0184618	0.0287226	0.0162961	0.0176885	0.0166438	0.0155406	0.0151249	0.0224575	0.0220611	0.0156346	0.0433227	0.02631	0.0130964	0.0151781	0.016588	0.0238226
garçons	0.0120203	0.0211027	0.0253718	0.0279299	0.0209137	0.0304062	0.0360249	0.0310103	0.0364951	0.0396875	0.0328051	0.0483498	0.0515614	0.0528937	0.0528416	0.0438391	0.0504573	0.0404259	0.0277801	0.0279809	0.0284424	0.0341842	0.0456798	0.0292036	0.0144265	0.0195792	0.013818	0.00997974	0.00896349	0.00898981	0.00667715	0.00823702	0.00798795	0.0109955	0.00520416	0.00453965	0.00663606	0.0112074	0.0153513
et	0.0205434	0.0134801	0.012472	0.0124293	0.0123681	0.0136329	0.0132303	0.0161086	0.0176604	0.0190904	0.0234548	0.0265639	0.0253108	0.023671	0.0196938	0.0129817	0.0117021	0.0114791	0.0087789	0.0069268	0.0103508	0.0116709	0.0173144	0.0178784	0.0216855	0.0314937	0.0304481	0.0297619	0.0434877	0.0367901	0.0312715	0.0370998	0.0372951	0.0508294	0.0421878	0.0387772	0.0570452	0.065057	0.0679768
les	0.0204226	0.0132673	0.0149273	0.0138901	0.0158896	0.0143292	0.0165778	0.0266934	0.0356988	0.0377599	0.0410471	0.0430963	0.0338001	0.0331296	0.031241	0.0191912	0.0203408	0.0165813	0.0119872	0.0115159	0.0168944	0.0176286	0.0226124	0.0213104	0.0218149	0.0288898	0.0209821	0.0172546	0.0240972	0.022458	0.020226	0.0220831	0.0267919	0.0287444	0.0311757	0.0310822	0.034919	0.0428256	0.0768236
filles	0.0286664	0.0185979	0.0173294	0.0181174	0.0202119	0.0188877	0.0231871	0.0175765	0.0150442	0.0110268	0.0102856	0.0108573	0.0126239	0.0117281	0.00957685	0.0085942	0.0129373	0.0121696	0.0147017	0.0111226	0.0098003	0.0135598	0.0161386	0.0182802	0.0204334	0.0331556	0.0390426	0.0336296	0.0392113	0.0449624	0.0434099	0.0379197	0.0468538	0.050457	0.0442073	0.0454903	0.0495131	0.0534924	0.0572004
étudient	0.0313692	0.0184183	0.0166983	0.0184129	0.0197293	0.0214958	0.0242397	0.0168613	0.0128684	0.00938309	0.0102642	0.0124144	0.0149746	0.0157113	0.0145365	0.0193735	0.0207103	0.0180669	0.0212448	0.0160766	0.0144384	0.0166185	0.01712	0.0174421	0.0206621	0.0311342	0.0348742	0.0314965	0.0368734	0.0423588	0.0400721	0.0375384	0.0454917	0.0498094	0.0480212	0.0410659	0.0404499	0.0366366	0.0450474
dans	0.0381646	0.02073	0.0224808	0.0252531	0.0303121	0.0316619	0.0258328	0.0270075	0.0412221	0.0390781	0.0577466	0.037669	0.0206221	0.0166658	0.0227679	0.0125326	0.0151618	0.0104439	0.0117898	0.00903108	0.0117824	0.00860081	0.0100458	0.0100609	0.0173653	0.0186221	0.0165126	0.0175866	0.0287271	0.0262596	0.021946	0.018295	0.0282574	0.0295211	0.0427183	0.0401384	0.0455426	0.0428055	0.0490388
une	0.0543368	0.021708	0.0169261	0.0186488	0.0256832	0.0255805	0.0199533	0.0251348	0.02759	0.0202015	0.0389667	0.0241438	0.0117127	0.0116244	0.00971084	0.00702755	0.0178324	0.0141618	0.0112077	0.00930588	0.00892726	0.00931569	0.0120604	0.0111707	0.0176389	0.0246551	0.0295814	0.0253669	0.043303	0.0382773	0.0372421	0.0416136	0.0331157	0.0302413	0.0428524	0.0404905	0.0432695	0.0472533	0.0521681
même	0.0282694	0.0154791	0.0121044	0.014076	0.01523	0.0143316	0.0190955	0.0120126	0.0105228	0.0101399	0.0151631	0.0123911	0.0142351	0.0102168	0.0127564	0.012933	0.0182198	0.0127038	0.01102	0.00942432	0.00760307	0.00794939	0.00747592	0.0113776	0.00990464	0.0181087	0.0237261	0.0296231	0.0213665	0.0396828	0.0325418	0.0376783	0.0520084	0.0603535	0.0554514	0.0726219	0.0595177	0.0837283	0.0889562
école	0.0293327	0.0163612	0.0151597	0.0154649	0.0165803	0.0162629	0.0199207	0.0163084	0.0176758	0.0148999	0.0239792	0.0154801	0.0150845	0.00976434	0.0148266	0.0107364	0.0115223	0.00791834	0.00947978	0.00628904	0.0067535	0.00692754	0.00784939	0.00850126	0.0143424	0.0185636	0.0192709	0.036659	0.0260873	0.045416	0.0458965	0.044677	0.0560165	0.0664488	0.048412	0.0542059	0.0476078	0.0569893	0.086328
</S>	0.0285954	0.0172975	0.0211545	0.0244752	0.0286006	0.0296908	0.0265271	0.0247972	0.0348782	0.0229994	0.0308279	0.0198317	0.0148469	0.0115007	0.0123716	0.00691775	0.0132657	0.0107855	0.0117089	0.0101208	0.00953944	0.00862284	0.00753823	0.00860822	0.0123505	0.0197122	0.0207393	0.0235952	0.0288362	0.0361555	0.0325756	0.0311322	0.051992	0.0429514	0.0509826	0.0505086	0.0535682	0.0547566	0.0546419
