 	a	p	f	é	é	b	á	a	d	ú	u	s	á	i	d	u	n	ú	w	á	r	e	b	í	a	í	d	i	a	n	d	z	i	m	b	á	</S>
les	0.0715557	0.104672	0.0827479	0.0797675	0.0416187	0.0347034	0.0327108	0.0288884	0.0306726	0.0272487	0.0218861	0.0215207	0.020237	0.0249406	0.0283839	0.0272557	0.02954	0.0410444	0.028968	0.00872746	0.00848827	0.00725062	0.010395	0.00342755	0.0065422	0.00822405	0.0138391	0.00819984	0.00746579	0.0128452	0.0186202	0.0199636	0.0224465	0.0191928	0.0180554	0.0161707	0.0117841
jeunes	0.0374098	0.0307984	0.0450269	0.0524828	0.109732	0.0901739	0.0537343	0.0433285	0.0549756	0.0611862	0.0338461	0.0162249	0.0198446	0.0516868	0.026455	0.0319085	0.0191231	0.0111706	0.0071225	0.0126616	0.00763504	0.00708284	0.00524442	0.008047	0.00539509	0.00840511	0.00592318	0.00690642	0.00775451	0.0134114	0.0162824	0.0120556	0.0280313	0.0198543	0.0210829	0.0106934	0.00730286
gens	0.0690858	0.0365916	0.0357944	0.031213	0.026654	0.0325203	0.0418061	0.0559281	0.0785856	0.0719103	0.0490134	0.0601518	0.0582836	0.0615224	0.02755	0.0260588	0.0256007	0.0130524	0.0209016	0.00759837	0.00878347	0.00374053	0.00510043	0.00446004	0.00465261	0.00317595	0.00432618	0.00406874	0.00778629	0.00753773	0.0137654	0.0215518	0.0251434	0.0235852	0.0120251	0.0123375	0.00813699
assassinent	0.0218277	0.0193979	0.0228338	0.0288775	0.022502	0.0295559	0.0311061	0.0358701	0.0409755	0.0346701	0.0365311	0.0363545	0.0383464	0.039221	0.0212914	0.0210975	0.0172057	0.0225307	0.00762059	0.0181011	0.0243299	0.0215057	0.0154658	0.0181827	0.0181151	0.020736	0.0188942	0.0164452	0.0427391	0.034169	0.0321374	0.041677	0.0196261	0.0451174	0.0241852	0.0280873	0.0326704
les	0.0335454	0.0310854	0.0371359	0.0348543	0.0253479	0.0202537	0.0201563	0.0209806	0.0216961	0.020084	0.0172165	0.0212554	0.0277386	0.0176993	0.0189312	0.0247798	0.0237805	0.0271946	0.0273236	0.0187115	0.0385233	0.0318222	0.0483202	0.0351059	0.0333649	0.0324124	0.038975	0.0400327	0.0297301	0.0234662	0.0136388	0.0115588	0.0108214	0.0116925	0.0147609	0.0161426	0.0798616
vieillards	0.0245071	0.0236418	0.0271208	0.0255684	0.0249082	0.0226358	0.0226173	0.0267107	0.0188693	0.0189989	0.0202578	0.0243847	0.0187624	0.0279861	0.0214319	0.0201878	0.0126674	0.0354138	0.0120257	0.0240868	0.0352308	0.0247982	0.0228005	0.0202899	0.0160732	0.012585	0.0179803	0.0100629	0.0216759	0.0197842	0.0255917	0.0364626	0.0280669	0.0477864	0.0488677	0.0651782	0.0939829
sous	0.0177271	0.0135684	0.012635	0.0168331	0.022812	0.0313476	0.03212	0.0386101	0.0377697	0.0405364	0.039014	0.042837	0.0376326	0.0354669	0.0373654	0.0376919	0.0500338	0.0529356	0.0183826	0.0624624	0.0461993	0.0352031	0.0201982	0.0192932	0.0160553	0.00911369	0.00804998	0.00690183	0.00979057	0.00755634	0.00539192	0.0205808	0.0059423	0.0211799	0.0185215	0.0239814	0.0482594
prétexte	0.0115544	0.00882299	0.00758402	0.0101067	0.013139	0.0182579	0.0176246	0.0202034	0.0257183	0.028105	0.0286876	0.0349782	0.0412822	0.03665	0.0457502	0.0409771	0.0537017	0.0435916	0.0407455	0.0551622	0.0626072	0.0332597	0.0342239	0.0253596	0.0246614	0.0234018	0.0228471	0.0242577	0.0144131	0.0148402	0.0106532	0.0144775	0.0101351	0.0182622	0.0197748	0.0224023	0.041781
que	0.0124976	0.0129875	0.0216584	0.0213384	0.0161718	0.00933149	0.00633453	0.00573526	0.0065035	0.00683762	0.00737753	0.00864005	0.0103357	0.0105468	0.013657	0.0154103	0.0166239	0.0262446	0.0154505	0.0311318	0.0498595	0.0302018	0.0419424	0.0368505	0.0275266	0.0285472	0.0334096	0.0338407	0.0257472	0.0366475	0.0242276	0.0264924	0.0239837	0.0460685	0.0601422	0.0650171	0.134681
ceux-ci	0.0411212	0.02356	0.0347375	0.0311563	0.0315667	0.0304493	0.0310567	0.0313145	0.0271431	0.0223942	0.012737	0.0173813	0.0154561	0.0126267	0.010878	0.00943531	0.014216	0.0123359	0.0139573	0.0177854	0.024757	0.0234247	0.0327648	0.0401098	0.0424549	0.055521	0.0542721	0.0564368	0.0384269	0.0308833	0.0108233	0.0130155	0.0127789	0.0157908	0.0164864	0.0223929	0.0683526
sont	0.0391232	0.0228548	0.0356145	0.0341736	0.031795	0.0380467	0.036149	0.0311623	0.0321011	0.0257426	0.0223396	0.0256718	0.0246904	0.0211712	0.0176748	0.0133255	0.0113488	0.00904277	0.0116682	0.00951058	0.0164653	0.0173588	0.0205455	0.0210344	0.0252539	0.0325364	0.0371633	0.0338784	0.0273108	0.03183	0.0132314	0.0215549	0.0161322	0.0331054	0.0268067	0.0388859	0.0937002
des	0.0783638	0.0597821	0.0773026	0.0743204	0.0455011	0.0192693	0.0150031	0.0116107	0.0140089	0.0172993	0.0193495	0.0131774	0.0137053	0.0113208	0.0162729	0.0102458	0.01045	0.0191728	0.00633802	0.0227534	0.0263519	0.0201097	0.0163139	0.0217171	0.0160861	0.0136033	0.0148904	0.0130637	0.0129	0.0111668	0.00470075	0.0103692	0.00677655	0.0148184	0.0199165	0.0420527	0.179916
sorciers	0.0515504	0.0424523	0.0453826	0.0437939	0.0229246	0.00608047	0.00479799	0.00422763	0.00476122	0.00669138	0.00807534	0.00682809	0.00730225	0.00848027	0.0180403	0.0156002	0.0119653	0.0284168	0.00830401	0.0207511	0.0325214	0.0205923	0.0160116	0.0188149	0.0138557	0.00984527	0.013918	0.0118961	0.0154701	0.0177179	0.0179322	0.0266505	0.0216307	0.0388428	0.0604432	0.0869578	0.210473
</S>	0.0936255	0.0673281	0.0889895	0.0906755	0.0487375	0.0138263	0.00944985	0.00995794	0.00722806	0.00790888	0.00971948	0.00917416	0.00743826	0.00683804	0.0101794	0.00905824	0.00747577	0.0180503	0.0062806	0.0117611	0.0178175	0.011237	0.0110333	0.0148156	0.00986018	0.0081071	0.0106408	0.00912171	0.0125186	0.0139879	0.0116323	0.020004	0.0144901	0.0313738	0.0403977	0.0603868	0.168873
