 	k	á	s	i	y	é	k	ú	ú	é	d	í	o	k	y	ε	m	i	m	á	b	v	ú	a	b	í	f	ú	n	d	ú	</S>
les	0.0468738	0.0797746	0.0284694	0.0357234	0.0425787	0.0272347	0.0221839	0.0252691	0.0371664	0.0441188	0.0607398	0.0564699	0.0454357	0.0409713	0.0412417	0.0286962	0.0234461	0.0313733	0.0279095	0.0283945	0.0279431	0.0220286	0.0225313	0.0167654	0.0152906	0.0132746	0.0121513	0.0125354	0.0182241	0.0176572	0.0254662	0.0220613
feuilles	0.0639231	0.0387591	0.0328557	0.0524264	0.106574	0.0619842	0.0392893	0.0140962	0.0105573	0.016947	0.0342484	0.0471805	0.0493402	0.0490239	0.0206316	0.0336558	0.0269189	0.0364386	0.0168662	0.0250949	0.0172306	0.0195619	0.0360075	0.0218369	0.0296854	0.0298153	0.0200201	0.0160527	0.0112253	0.0106183	0.00567171	0.00546283
de	0.108454	0.0331721	0.0202122	0.0160671	0.0181041	0.0213763	0.0229243	0.0215129	0.0234397	0.023823	0.0305771	0.0232411	0.0305267	0.0441208	0.047544	0.0515842	0.0387334	0.0625737	0.0394065	0.0493369	0.0381648	0.0252006	0.0380383	0.0313366	0.0197091	0.0220043	0.0205221	0.0204217	0.0131247	0.0136121	0.0205618	0.0105735
l'	0.0161768	0.0199153	0.0306583	0.0434599	0.049063	0.0454878	0.0378554	0.0341824	0.0318696	0.0499291	0.0215605	0.0198313	0.023084	0.0253389	0.0223761	0.0262973	0.0231829	0.0258189	0.0279537	0.0261769	0.0347723	0.0368283	0.0287745	0.0279709	0.0377588	0.0287249	0.0346583	0.0328981	0.027868	0.0364156	0.0381297	0.0349822
arbuste	0.0383974	0.0279696	0.0284913	0.0304373	0.0364903	0.0304544	0.0237879	0.013051	0.013823	0.0110114	0.0168383	0.0131048	0.0215352	0.0346762	0.0389983	0.0491002	0.0501926	0.0508728	0.0408671	0.0392442	0.0326058	0.0320241	0.0337924	0.032475	0.0257355	0.0317109	0.033594	0.0312426	0.0316316	0.0309033	0.0303248	0.0446167
grimpant	0.0420342	0.0368046	0.0274182	0.0300981	0.0296808	0.0326187	0.0250774	0.0222034	0.0191905	0.0164255	0.0163598	0.0155714	0.0215233	0.0316103	0.0299334	0.0221194	0.0276237	0.0209463	0.0266762	0.0262805	0.0226428	0.0236835	0.0274368	0.0262678	0.0248588	0.0354975	0.0311688	0.0445745	0.0450714	0.0560141	0.0521849	0.0904033
ekuu	0.0382609	0.0457178	0.0291655	0.0380163	0.0303406	0.0323332	0.0258358	0.0206455	0.016861	0.0164069	0.00825124	0.0107197	0.0145339	0.0197844	0.0172235	0.0162113	0.0314662	0.0210624	0.0153981	0.0201972	0.0193828	0.0229573	0.0201409	0.0243345	0.0203162	0.0431544	0.0490118	0.0627908	0.0329311	0.0622166	0.0687146	0.105617
sont	0.0248277	0.0324753	0.027001	0.0366615	0.0373145	0.0380424	0.0289849	0.021655	0.0211251	0.024644	0.0145089	0.00957935	0.0124676	0.0204557	0.0195151	0.0183747	0.0258128	0.0245711	0.0177341	0.0197263	0.0216234	0.0254423	0.0166764	0.0213723	0.0221973	0.0291619	0.038724	0.0472313	0.0375646	0.0685167	0.0681119	0.127901
utilisées	0.0320392	0.0842044	0.0442875	0.0624999	0.0437392	0.0401147	0.0352183	0.0239188	0.0151725	0.0143764	0.00630333	0.00996919	0.0107685	0.00787605	0.00687755	0.00690902	0.0111475	0.0118924	0.014663	0.0172585	0.0211625	0.0237465	0.0241363	0.0254179	0.0249352	0.0273668	0.0265723	0.0331586	0.0346923	0.046673	0.0880915	0.124811
comme	0.0438103	0.0378548	0.0264746	0.0167294	0.0128354	0.00745502	0.00421627	0.00184943	0.00142286	0.0018649	0.00157405	0.00241157	0.00489328	0.00932378	0.0119064	0.0119641	0.014403	0.0130938	0.0138761	0.023411	0.0290283	0.0385432	0.0289534	0.0403202	0.0547281	0.0686574	0.069255	0.0816198	0.058458	0.0634409	0.100925	0.1047
remède	0.0571322	0.0524635	0.04129	0.0218666	0.0123173	0.00592768	0.00287961	0.00169897	0.0016918	0.00230483	0.0025588	0.00300483	0.00423948	0.00999218	0.00862255	0.0084668	0.00889197	0.00675597	0.00793368	0.00875077	0.00992407	0.0123937	0.0119685	0.0134113	0.029	0.0391362	0.0649048	0.0852417	0.0722477	0.0923239	0.149109	0.151549
aux	0.0585553	0.0507087	0.0424133	0.0261812	0.0167215	0.00910081	0.00408336	0.00165615	0.00162709	0.00168676	0.001745	0.00189011	0.00349314	0.00832128	0.00841208	0.00798775	0.00947729	0.00896977	0.0120179	0.0172485	0.0236928	0.0344657	0.0285026	0.03229	0.0562377	0.0474145	0.062397	0.0658333	0.0549159	0.0609911	0.0946486	0.146314
maux	0.0902594	0.0690753	0.0375424	0.0253766	0.0146447	0.00665026	0.00376286	0.00249747	0.00271816	0.00342873	0.00392622	0.00420672	0.00669062	0.0101626	0.00961266	0.0113091	0.0144318	0.0137018	0.0166044	0.0181985	0.0227047	0.0235074	0.0179312	0.0200481	0.0249726	0.020395	0.0411724	0.045435	0.0495476	0.0639689	0.144992	0.160524
de	0.0576573	0.0599765	0.0410563	0.0389353	0.033008	0.0187432	0.00960343	0.00613693	0.00577107	0.0053736	0.00477698	0.00514726	0.00719429	0.0087894	0.00975976	0.00861477	0.013325	0.0144769	0.0186015	0.0200898	0.0238309	0.0205161	0.0210467	0.0274063	0.0291427	0.0254663	0.0421054	0.0542927	0.0767056	0.0763103	0.103745	0.112395
ventre	0.0324669	0.0295986	0.0268809	0.0274321	0.0269737	0.0150048	0.00814149	0.0058935	0.00711765	0.00577545	0.00548157	0.00402408	0.00517804	0.00647996	0.0064863	0.00558793	0.00742281	0.0106209	0.0143632	0.0147963	0.0194116	0.019214	0.0223674	0.0245085	0.0388502	0.0358868	0.0496034	0.0749282	0.0939046	0.0795727	0.115937	0.16009
</S>	0.0329824	0.0333657	0.0275701	0.0378057	0.0377057	0.0238298	0.0114624	0.00658874	0.00769142	0.00998696	0.00718592	0.00766722	0.0108558	0.0134401	0.0121459	0.0121585	0.0146871	0.0182379	0.0194045	0.0240995	0.0271885	0.0251285	0.0235127	0.0263094	0.033478	0.0279402	0.0575449	0.0536369	0.0641904	0.074237	0.0877031	0.130259
