 	n	g	á	l	a	k	y	é	n	á	n	d	z	á	l	é	m	ó	b	v	á	r	e	n	d	z	á	á	p	á	b	h	a	l	í	i	k	y	é	n	á	m	i	t	s	á	b	h	a	</S>
j'	0.0916209	0.143427	0.135576	0.110602	0.0427311	0.0205168	0.015917	0.0155611	0.0189073	0.0166821	0.0163222	0.00971942	0.00994464	0.00912	0.00987732	0.009153	0.00747187	0.00784054	0.00676694	0.00709501	0.0065635	0.00339744	0.00363095	0.00346492	0.00439374	0.00488811	0.00218768	0.00165607	0.00304242	0.00595492	0.00640385	0.00645208	0.00465665	0.00584702	0.00790366	0.00778105	0.0125125	0.0146143	0.0210649	0.0146975	0.0133389	0.0122319	0.0151395	0.0139633	0.0160343	0.0193528	0.0210161	0.019121	0.0103879	0.0134485
avais	0.0485572	0.0196894	0.0175928	0.0191358	0.0271898	0.0328487	0.0437697	0.0437903	0.0444903	0.0446811	0.0359331	0.0380777	0.0250387	0.0308734	0.0312546	0.025913	0.0276162	0.0286273	0.0292118	0.0407223	0.0329743	0.0201478	0.0217164	0.0142422	0.0264731	0.0278252	0.0226562	0.0201963	0.0175007	0.0149976	0.0163822	0.0150683	0.0120985	0.0115826	0.00897658	0.0050385	0.00440876	0.00123934	0.0025052	0.0021921	0.00323665	0.00435752	0.00333124	0.00555657	0.00672069	0.00430791	0.00371549	0.00267521	0.00348394	0.00937976
traversé	0.00913212	0.0168179	0.0271738	0.020307	0.0287224	0.0309376	0.0403446	0.0137615	0.0163278	0.0274786	0.0239853	0.0324194	0.0261273	0.031084	0.0299279	0.0356817	0.0318748	0.0402872	0.0285394	0.0326355	0.0167443	0.0179751	0.0170063	0.0164766	0.0139892	0.0196874	0.0194493	0.0325435	0.0209641	0.0151387	0.0114694	0.0119862	0.00983979	0.0114731	0.0111405	0.0128781	0.00820374	0.0113678	0.00971143	0.0101625	0.0129045	0.0110345	0.0257764	0.0251454	0.0156764	0.0222739	0.0201207	0.0127094	0.00587489	0.00671131
le	0.0255185	0.0127863	0.00480784	0.00480396	0.00703672	0.00797919	0.00907202	0.0137121	0.0132612	0.0125585	0.014083	0.0251893	0.035646	0.0394553	0.0356494	0.0371227	0.0299764	0.0352597	0.03685	0.0609446	0.0321888	0.023402	0.0286521	0.0159926	0.0183911	0.0140678	0.0105976	0.0104706	0.0133224	0.0145124	0.0135928	0.014725	0.0197929	0.0191819	0.017948	0.0286086	0.0192034	0.0200086	0.0141006	0.0142969	0.0200638	0.0104295	0.0114752	0.0113341	0.0100153	0.0079336	0.0102168	0.0173356	0.033902	0.0425251
fleuve	0.00334835	0.00175245	0.00161314	0.00280374	0.00451031	0.00488842	0.00886299	0.00831664	0.0119515	0.0150373	0.0102157	0.0137307	0.0134743	0.017174	0.0117282	0.0130383	0.0136727	0.0155681	0.0144291	0.0183057	0.0165817	0.0167449	0.0203714	0.0339	0.0333267	0.040649	0.0303636	0.0238675	0.0243629	0.0364384	0.0375442	0.0345703	0.0172467	0.0285611	0.0115812	0.0156317	0.0262907	0.0380482	0.0421879	0.0452073	0.0286322	0.0339924	0.0218702	0.0210291	0.0189849	0.0163576	0.0164608	0.0179371	0.0141157	0.0327228
en	0.00816711	0.0020299	0.00202032	0.00221357	0.00412697	0.00516245	0.0103291	0.0168132	0.0213344	0.022072	0.0164058	0.025484	0.0272786	0.0322354	0.021488	0.0254964	0.0236264	0.0270134	0.0283401	0.0343276	0.0283865	0.0286992	0.0307955	0.0248858	0.0309661	0.0228891	0.0231948	0.0209855	0.0155624	0.0142275	0.0126068	0.0133155	0.012003	0.0107491	0.00935042	0.0146202	0.0132156	0.0138153	0.0135809	0.0169581	0.0144943	0.0175124	0.0243853	0.0269824	0.026497	0.021625	0.0236745	0.0311958	0.0362729	0.0505884
pirogue	0.00704486	0.00507554	0.00549038	0.00655577	0.00532535	0.00357518	0.00542953	0.00576301	0.00806645	0.00910579	0.00932018	0.0121189	0.010657	0.0122989	0.00964863	0.0099902	0.0114509	0.0108619	0.0120032	0.0109828	0.0149509	0.0192673	0.0211483	0.0317627	0.0314467	0.0348017	0.0367895	0.0386563	0.0407478	0.0327155	0.0349938	0.0369627	0.0333294	0.0360715	0.0258187	0.0230699	0.0296533	0.0253661	0.046046	0.0280676	0.0275147	0.0205031	0.0158702	0.00917549	0.0104536	0.00903202	0.0126505	0.0158199	0.0325948	0.0539556
aujourd'	0.0138638	0.0149319	0.0155621	0.0179806	0.0115174	0.00845144	0.0109229	0.00983475	0.0131655	0.01561	0.0119719	0.0152064	0.014722	0.0156694	0.0149196	0.0162119	0.0179558	0.0191675	0.0189855	0.0196168	0.0232751	0.0262287	0.0255607	0.0356911	0.0215092	0.0255899	0.0203883	0.0200479	0.0263169	0.0172702	0.0206337	0.0249767	0.0260622	0.0340826	0.0410835	0.0244343	0.0323633	0.0231312	0.0384701	0.0163939	0.0137174	0.010964	0.0150767	0.0158439	0.0156941	0.0161781	0.0145657	0.0143792	0.0199055	0.0438988
hui	0.0159982	0.0125297	0.0118442	0.0114503	0.0106746	0.00741124	0.00727401	0.00729164	0.00855091	0.010211	0.0059506	0.00591631	0.00737497	0.00725648	0.00673451	0.00922314	0.0102704	0.0142555	0.0132442	0.0186542	0.0196834	0.0285074	0.0306849	0.0268453	0.0316767	0.0273853	0.0303466	0.0357824	0.0319672	0.0254362	0.0238377	0.0266987	0.0243043	0.0280879	0.0227125	0.0244571	0.0227371	0.0138785	0.0168565	0.00836957	0.011995	0.0103817	0.0177767	0.014794	0.0182057	0.0166276	0.0214934	0.0287331	0.0580917	0.0995297
je	0.0250111	0.012961	0.0119444	0.0115272	0.0136855	0.0130795	0.0136502	0.0139958	0.0171474	0.0148409	0.0107736	0.00942374	0.0114112	0.0106388	0.00941096	0.0108297	0.0102155	0.0132424	0.0109147	0.0167782	0.0117448	0.0190619	0.0271923	0.0233201	0.0284194	0.0238678	0.0257521	0.0273059	0.022426	0.0254319	0.0193615	0.0213935	0.0241019	0.0230523	0.0183026	0.0206285	0.0175719	0.0114294	0.0121219	0.0127428	0.0110604	0.011626	0.0224763	0.0237505	0.0300581	0.037467	0.0316943	0.0384577	0.045251	0.0714484
