 	w	a	á	y	á	n	g	i	s	i	b	e	a	b	í	d	z	á	a	p	e	n	á	b	i	a	í	s	έ	m	b	í	</S>
elle	0.0632509	0.162489	0.217509	0.242214	0.105254	0.0423185	0.0225895	0.0310597	0.0200058	0.0219849	0.00557162	0.00402156	0.00336667	0.00365625	0.00218429	0.00170084	0.00222365	0.00309815	0.00255993	0.00273001	0.00255972	0.00196275	0.00236033	0.00381333	0.00315197	0.00576254	0.00487899	0.00438018	0.00293083	0.00245121	0.00220089	0.00217175	0.00158714
a	0.0346268	0.0184966	0.0185649	0.0316769	0.0305384	0.0343778	0.0217045	0.085571	0.0542341	0.071355	0.0696936	0.0578015	0.0317896	0.0357401	0.0363709	0.0381623	0.0286681	0.0283335	0.0281946	0.0267616	0.0398486	0.0414792	0.0423151	0.0223844	0.0154078	0.00707691	0.0103078	0.00742002	0.00548394	0.00511116	0.0040585	0.00566731	0.0107775
réchauffé	0.0138811	0.0208734	0.0217218	0.0240953	0.0163004	0.0220103	0.0163779	0.0256574	0.0168348	0.0205333	0.0140626	0.0201364	0.0303331	0.048628	0.071003	0.0420717	0.0316733	0.0390215	0.0628283	0.0620756	0.0521524	0.0602026	0.0490533	0.0313415	0.0291782	0.0106696	0.0199853	0.0185709	0.0221909	0.0230697	0.0223141	0.0242422	0.01691
la	0.0141999	0.0138314	0.012179	0.0118503	0.0139014	0.00862452	0.0108314	0.0118521	0.0113908	0.0109139	0.0114037	0.0185097	0.0138712	0.0136507	0.0245438	0.0334753	0.0422863	0.0331684	0.0297504	0.0284546	0.0316891	0.0446175	0.0531967	0.0412797	0.0410468	0.0320303	0.0444754	0.0436699	0.0664845	0.0542184	0.039851	0.0372398	0.101512
nourriture	0.00771105	0.0122599	0.0106844	0.00986908	0.0095532	0.0137373	0.00999386	0.0203362	0.00942518	0.00702675	0.0104559	0.0134039	0.0122343	0.0177755	0.033656	0.0461949	0.0548706	0.0499526	0.0688192	0.0478335	0.0593286	0.0524937	0.044946	0.0278374	0.0443622	0.030414	0.0285696	0.0297127	0.0241009	0.0260196	0.0354132	0.0447778	0.086231
de	0.0147848	0.0106161	0.00811187	0.00631955	0.00638315	0.00533962	0.00621198	0.00990612	0.00737559	0.00572329	0.0070837	0.009504	0.0100977	0.0197613	0.0270603	0.0377116	0.047101	0.0548529	0.0638438	0.0676672	0.0408535	0.0381358	0.029716	0.0288253	0.0364656	0.016492	0.0282873	0.0280812	0.0504167	0.0619955	0.0553625	0.06852	0.0913932
peur	0.00965912	0.00769821	0.00583193	0.00642962	0.00667894	0.00849681	0.00679862	0.0147382	0.0189813	0.0133148	0.0111963	0.0102717	0.00949006	0.00996728	0.0166441	0.0210254	0.0316756	0.023672	0.0289965	0.0388495	0.044474	0.0266918	0.0234723	0.0311448	0.0328898	0.0261688	0.0277599	0.0309569	0.0502214	0.0622669	0.0899314	0.0949693	0.158636
que	0.0117196	0.0111497	0.00858335	0.00905948	0.00811419	0.0113104	0.00973134	0.0145255	0.013931	0.0085718	0.00660439	0.00714442	0.00893802	0.00833527	0.0128234	0.0172133	0.0224902	0.0195232	0.0304874	0.0376192	0.0460704	0.0223052	0.0183135	0.0337629	0.0311729	0.0320069	0.0315114	0.0535518	0.0743394	0.0825023	0.0716398	0.0643969	0.160551
celle-ci	0.0171971	0.0156079	0.0244759	0.0208944	0.0186366	0.0159105	0.0153394	0.0147314	0.0134356	0.00939185	0.00757819	0.00845426	0.0101572	0.00828038	0.0111383	0.0128217	0.0121413	0.0137387	0.0186019	0.0209184	0.0096753	0.0114425	0.0108738	0.0196185	0.0180655	0.0155215	0.0261536	0.0381159	0.0782205	0.11791	0.118821	0.100843	0.145288
ne	0.019465	0.0173716	0.0184619	0.0180697	0.0113459	0.0116713	0.0130872	0.0149388	0.00964172	0.00921739	0.0172099	0.0183996	0.0138566	0.010913	0.0155404	0.0204767	0.0184584	0.0148402	0.0142748	0.0106188	0.0100036	0.0128009	0.012645	0.0154805	0.0203771	0.0190424	0.0235063	0.0260066	0.0414763	0.100747	0.123176	0.119088	0.177791
pourrisse	0.0183354	0.0180455	0.0177105	0.0179936	0.0132873	0.0135335	0.0140358	0.011291	0.00993212	0.00814779	0.00983795	0.0108374	0.00989556	0.00854943	0.0107551	0.0165825	0.0145397	0.0163351	0.0227535	0.0221977	0.0216458	0.0152776	0.0140121	0.0204731	0.0188438	0.0204618	0.0246933	0.0431955	0.080186	0.10853	0.089873	0.0721075	0.186104
</S>	0.0219177	0.0217259	0.0255365	0.0227223	0.0204597	0.0218391	0.0215544	0.0185087	0.0166248	0.0122442	0.0105817	0.0116577	0.0201774	0.0146287	0.0205008	0.0271764	0.0287671	0.0317337	0.0384673	0.0354928	0.017437	0.0188901	0.0242324	0.0218587	0.0233705	0.0188104	0.0257597	0.0240687	0.033029	0.0570402	0.0651766	0.0693564	0.158653
