 	m	b	ω	m	ω	á	m	i	d	í	n	g	í	l	á	i	b	v	ú	a	l	í	í	l	é	í	n	g	á	o	l	ó	m	i	</S>
le	0.00960569	0.0143765	0.0159409	0.0169725	0.0184826	0.0192764	0.0249033	0.0261102	0.0302799	0.0220977	0.0397188	0.0515434	0.0487379	0.0817379	0.0559071	0.0495686	0.0235262	0.019693	0.0147774	0.0145102	0.0185413	0.0176532	0.0175538	0.0202938	0.0225874	0.0243134	0.033858	0.0377334	0.0330055	0.0274453	0.0342813	0.0268589	0.0362009	0.0257337	0.0261738
py	0.0322324	0.0436388	0.117942	0.102674	0.0870873	0.079261	0.0586934	0.0362174	0.0623546	0.0270793	0.0352402	0.0241044	0.0274457	0.0331294	0.0312873	0.024711	0.015195	0.00889435	0.0121754	0.00946386	0.00496023	0.00214445	0.00489372	0.00611823	0.00467418	0.00380449	0.00597784	0.00311204	0.00736867	0.0430306	0.00864862	0.0163976	0.00921367	0.00668577	0.00414303
thon	0.0428866	0.038592	0.0338221	0.0296351	0.0199002	0.0171266	0.019343	0.0144022	0.0178593	0.00995018	0.012665	0.0119534	0.00649113	0.0133388	0.0233824	0.0366426	0.0471542	0.0214973	0.0246246	0.0248046	0.0214392	0.0187312	0.0268202	0.0388137	0.0715736	0.0643169	0.0664262	0.0519018	0.0292245	0.0267342	0.0203853	0.018166	0.013224	0.0271872	0.0389847
s'	0.0219419	0.0398894	0.0546833	0.0569305	0.0597887	0.0490362	0.056085	0.0594719	0.0412613	0.0247195	0.0200348	0.0201665	0.0122475	0.0117928	0.0113821	0.0182228	0.0282705	0.0265363	0.0357397	0.0334711	0.0254275	0.0219189	0.0178556	0.0167609	0.0126594	0.0104696	0.0100021	0.0122725	0.00933273	0.0157006	0.0212693	0.022463	0.0278879	0.0220136	0.0722947
est	0.0943638	0.0558125	0.030106	0.0212043	0.0140176	0.0111598	0.00949317	0.00977438	0.00954472	0.00819174	0.00909314	0.010662	0.0108035	0.0181276	0.0250204	0.0389679	0.0629565	0.0628632	0.0721502	0.0621934	0.0470694	0.0581141	0.0483146	0.0257552	0.0192186	0.0186272	0.009928	0.0140191	0.00756804	0.00819322	0.0130582	0.0142411	0.0148925	0.0134542	0.0510407
enroulé	0.068808	0.0449209	0.034561	0.0351554	0.0264888	0.0264528	0.0234176	0.0199006	0.0135718	0.00657841	0.0072574	0.00829773	0.00973261	0.0095632	0.0122957	0.0218053	0.0364053	0.0544043	0.070963	0.0811162	0.0301581	0.0182133	0.039333	0.021571	0.0386453	0.0265092	0.0380861	0.0168704	0.0117656	0.0341259	0.00974812	0.0228603	0.0166806	0.017478	0.046259
autour	0.0635986	0.0617403	0.0527322	0.0509781	0.0509657	0.0527116	0.0478292	0.0339411	0.0356577	0.0292337	0.0265616	0.0194339	0.0196039	0.0282125	0.0162483	0.0171395	0.0161142	0.0215086	0.036734	0.0454008	0.0207334	0.0257022	0.0340557	0.0165869	0.0233587	0.018418	0.0215489	0.0113652	0.00824606	0.0219162	0.00824908	0.013696	0.0109385	0.0105439	0.0282958
de	0.0509782	0.0348096	0.0285933	0.0298202	0.0246114	0.0259005	0.0255539	0.0278121	0.019982	0.0227356	0.0221557	0.0164515	0.00872478	0.0111313	0.0136847	0.0245853	0.042629	0.0487943	0.0419242	0.0359891	0.0224105	0.0213354	0.020279	0.0208727	0.0174648	0.0158443	0.0246977	0.0213289	0.0233723	0.0306046	0.0319328	0.0417551	0.044659	0.0342123	0.0723638
l'	0.0674514	0.0412626	0.0331775	0.0256924	0.0154152	0.0109263	0.00818738	0.00746369	0.00599025	0.0042255	0.00493608	0.00428925	0.00398257	0.0058759	0.00789382	0.0106819	0.023793	0.0327245	0.0304758	0.0273227	0.0262166	0.0181733	0.0207054	0.0318214	0.0240118	0.0229881	0.030035	0.0296757	0.0349623	0.0497583	0.0630842	0.061435	0.0507815	0.0653935	0.0991902
arbre	0.0969449	0.0791561	0.0455719	0.0239043	0.0175992	0.00906705	0.00415557	0.00357471	0.0033957	0.00631984	0.0055122	0.00446684	0.00322477	0.00683619	0.004305	0.0100211	0.0250699	0.0412102	0.0503801	0.0457783	0.0158833	0.00723128	0.0137459	0.0145697	0.0177204	0.0268724	0.0607097	0.0324652	0.0262608	0.0343236	0.0308682	0.0346232	0.0325383	0.039257	0.126437
sur	0.140687	0.0843807	0.0531581	0.0350783	0.0227831	0.01155	0.0061159	0.00303378	0.00278994	0.00321331	0.00284181	0.00194171	0.00136484	0.00377918	0.00314843	0.00467951	0.0122795	0.0131834	0.0141196	0.0109319	0.00974516	0.00576627	0.0116864	0.0177354	0.0178082	0.023584	0.040366	0.0339901	0.0152372	0.0202371	0.0298976	0.0317262	0.0438679	0.0564214	0.210871
lequel	0.0690529	0.0651894	0.0511436	0.0399219	0.0306545	0.022917	0.0184851	0.0157198	0.0128433	0.00866192	0.00966825	0.00664924	0.00425752	0.00405646	0.0030445	0.00433569	0.00892833	0.011033	0.0150683	0.0167412	0.0117498	0.0114094	0.0144872	0.020095	0.0248841	0.0179653	0.0363724	0.0222187	0.0253751	0.0291339	0.0358791	0.0358122	0.0559665	0.0586041	0.181676
mon	0.0831443	0.0483659	0.0389714	0.0305488	0.0206815	0.0130502	0.00868575	0.00517274	0.0043339	0.00497667	0.00443422	0.0037476	0.00423024	0.00526326	0.00530258	0.0050279	0.00893177	0.0112134	0.0124218	0.0149684	0.016775	0.0182865	0.0246381	0.0351717	0.032321	0.0321953	0.0355294	0.0394529	0.0314229	0.0376269	0.0603825	0.0610134	0.0599268	0.0624907	0.119295
mari	0.0984935	0.0465788	0.0230704	0.0154568	0.0111999	0.00711753	0.00446988	0.00334426	0.00211446	0.00201691	0.0020245	0.00291638	0.00407547	0.00784067	0.00938956	0.00945845	0.0190528	0.0185731	0.0151377	0.0121029	0.0124085	0.0117178	0.0126572	0.021289	0.0185634	0.0204115	0.0336908	0.0342453	0.0249959	0.0361458	0.0539431	0.0653026	0.0683298	0.066082	0.205783
a	0.0586374	0.0303734	0.0185418	0.013067	0.0104264	0.00789014	0.00927238	0.00652852	0.00512313	0.00401011	0.00331357	0.00237567	0.00407506	0.0063761	0.00483546	0.00497203	0.0123461	0.0154314	0.0174504	0.0187884	0.0220257	0.0267373	0.0309142	0.0388815	0.0385131	0.0348874	0.05701	0.0461652	0.0351495	0.0305545	0.0464862	0.0537665	0.0664467	0.0729592	0.145668
grimpé	0.0849986	0.0411651	0.0274962	0.0206657	0.0160873	0.0130628	0.016232	0.00877018	0.00624908	0.00563651	0.00450456	0.00501466	0.00788987	0.0115817	0.00990804	0.00662371	0.00793584	0.00721427	0.00651441	0.00716108	0.00765177	0.00522905	0.00959026	0.0208335	0.0263267	0.020368	0.0392819	0.0415175	0.0396678	0.0542037	0.0687137	0.0893776	0.0872162	0.0828469	0.0924636
</S>	0.0206984	0.016885	0.0194142	0.0231332	0.0273911	0.0384097	0.0563008	0.074093	0.0721395	0.0656112	0.060802	0.0333249	0.0266612	0.0178086	0.0195881	0.0160245	0.0141186	0.0141175	0.0139796	0.0179766	0.0158887	0.0194218	0.0194279	0.0170355	0.0169859	0.0134736	0.0146786	0.0198578	0.0155205	0.0217558	0.0332242	0.0378267	0.0448043	0.0303449	0.0312761
