 	i	k	y	έ	s	e	l	á	n	d	z	ω	i	á	d	z	á	o	k	u	m	a	m	b	o	l	o	s	á	m	b	o	n	g	a	</S>
le	0.0170196	0.0156644	0.00840405	0.00803767	0.0144686	0.0182354	0.0217916	0.0299708	0.030959	0.0316818	0.0362551	0.0396258	0.0653555	0.0732493	0.102852	0.0626577	0.0383191	0.0273868	0.0131743	0.0119085	0.0107669	0.0201635	0.0247601	0.0268556	0.0308319	0.0300565	0.0134393	0.0173693	0.0165135	0.0172778	0.0196245	0.020824	0.0227157	0.0232791	0.0236026	0.0149026
dépécage	0.0383423	0.0723008	0.113498	0.0886098	0.199708	0.160902	0.0431572	0.0368089	0.0430682	0.065821	0.0290074	0.0131463	0.00740651	0.00745443	0.00581466	0.00302506	0.00239583	0.00245908	0.00150605	0.00181597	0.00314917	0.00245632	0.00230836	0.0014903	0.00729902	0.00594379	0.0121467	0.0116464	0.0046605	0.00493672	0.00195322	0.00229853	0.00196047	0.000552338	0.00066417	0.00028534
d'	0.0704789	0.0852079	0.0660824	0.0268073	0.0568395	0.0481039	0.0359331	0.0364148	0.0316731	0.0394368	0.0208706	0.0115526	0.0122599	0.0242585	0.0241179	0.0334332	0.0427735	0.0415298	0.0225742	0.0346083	0.0235838	0.0243607	0.0186634	0.0212542	0.014802	0.0131022	0.011034	0.0138718	0.0185429	0.0206971	0.0202158	0.012197	0.00701891	0.00320777	0.00557447	0.00691713
un	0.0203588	0.0417453	0.0554059	0.050379	0.0473009	0.0381193	0.0379794	0.0338822	0.0409372	0.0308925	0.0317248	0.02714	0.0374484	0.0368881	0.0305687	0.0279442	0.0328283	0.0400591	0.0442054	0.0466389	0.0363402	0.0274251	0.0190963	0.0186656	0.0111544	0.00836431	0.00994382	0.00932682	0.0101391	0.00988454	0.0116938	0.00961346	0.0103225	0.00871477	0.0186793	0.0281897
éléphant	0.025419	0.0275024	0.0362277	0.0249341	0.0340594	0.0239134	0.0244262	0.0231492	0.0208301	0.0286864	0.0165364	0.0140838	0.0150706	0.0195683	0.0285685	0.0317882	0.0274487	0.0347449	0.0237763	0.0306599	0.0416192	0.032512	0.0340218	0.0276929	0.0407412	0.0346893	0.0311303	0.033913	0.0431071	0.0453884	0.025978	0.0157881	0.0165616	0.0062982	0.0227011	0.0364642
était	0.101085	0.0493537	0.0236808	0.0143403	0.0198826	0.0307408	0.0281733	0.0338125	0.0360681	0.0540094	0.0537638	0.0283168	0.025114	0.0338445	0.0238868	0.033967	0.0418598	0.0515682	0.0375634	0.0385003	0.0330546	0.0244931	0.0193725	0.0221071	0.0163644	0.0162428	0.0139865	0.0108361	0.0141551	0.0156823	0.00958555	0.00729774	0.00627626	0.00266299	0.0106081	0.0177443
un	0.081316	0.0454021	0.0302234	0.0233537	0.0234861	0.0448422	0.0256489	0.0182041	0.0146485	0.0163528	0.027307	0.0144752	0.0123776	0.0175311	0.0155075	0.0235544	0.0368562	0.0350568	0.0310987	0.043283	0.0388797	0.0524913	0.0477707	0.0479421	0.0357931	0.0325085	0.0223254	0.0148962	0.0188392	0.0244241	0.0125049	0.0126434	0.0104747	0.00406096	0.017776	0.0261441
grand	0.158345	0.0959128	0.0585803	0.0415456	0.0452781	0.0804392	0.0373187	0.0200451	0.0171006	0.017341	0.0329709	0.0210526	0.0168344	0.0327731	0.0306776	0.0353405	0.0436545	0.0360024	0.0141678	0.0227024	0.0119315	0.0181065	0.00999673	0.0116234	0.00735322	0.00663483	0.00555309	0.00557544	0.0062919	0.0103567	0.0100882	0.00779562	0.00884147	0.00342903	0.00776299	0.0105768
événement	0.166125	0.120474	0.0751347	0.0508912	0.0380198	0.0497723	0.0369251	0.0281973	0.0312971	0.0361095	0.0594213	0.0383509	0.0296696	0.0377984	0.0193682	0.0185071	0.018178	0.019823	0.00966542	0.0127988	0.00876897	0.010322	0.0055173	0.00689936	0.00461808	0.00352964	0.00380488	0.004083	0.00415912	0.00674633	0.00595816	0.00496922	0.00572753	0.0019464	0.00668386	0.0197395
à	0.0526736	0.0413328	0.0369086	0.0457599	0.050924	0.0535912	0.0540729	0.0369457	0.0284253	0.0165115	0.0187098	0.0180132	0.0191619	0.0254557	0.0231253	0.0248677	0.0238911	0.0273339	0.0199968	0.0303149	0.0387134	0.036426	0.0310195	0.0263912	0.0288989	0.0167057	0.0141876	0.0131138	0.0140997	0.0231183	0.0132834	0.0168546	0.0127263	0.00465545	0.022698	0.0390924
mbonga	0.0428055	0.0273892	0.018762	0.0199028	0.0127805	0.0128536	0.00996603	0.00621414	0.00482013	0.00303938	0.00465148	0.00654309	0.00767534	0.0078546	0.0101525	0.0111064	0.0236973	0.0275392	0.0366042	0.0308451	0.0384715	0.0393328	0.0358145	0.028668	0.0361554	0.0376681	0.0345426	0.0356127	0.0339227	0.0345227	0.0303906	0.0368977	0.0355696	0.0242901	0.0782617	0.114677
</S>	0.0804946	0.0465885	0.0233231	0.0210616	0.0148853	0.0141468	0.0090204	0.00543754	0.00405033	0.00282031	0.00255914	0.00375052	0.00447085	0.0046977	0.00804823	0.011312	0.015645	0.0149986	0.0187414	0.0147447	0.0169445	0.018739	0.0167668	0.0166011	0.0149223	0.0179014	0.0161877	0.0205604	0.0251289	0.0225671	0.0347693	0.0354035	0.0433587	0.0618182	0.0982833	0.219251
