 	i	b	a	r	a	b	ó	l	á	a	b	í	n	á	k	y	e	b	h	é	k	y	e	b	h	é	</S>
ibara	0.0314763	0.0396596	0.0236501	0.025383	0.0251598	0.0251767	0.0389967	0.0512755	0.0617585	0.0643535	0.0856554	0.0712787	0.0579236	0.043929	0.0351015	0.0376476	0.0278401	0.0218254	0.0282992	0.0216256	0.0229073	0.0235512	0.0232945	0.0373545	0.0302599	0.0267901	0.0178266
est	0.130122	0.0902096	0.153983	0.0664131	0.0925752	0.0492547	0.0506947	0.0284426	0.0525823	0.0545316	0.0399171	0.0461622	0.0447881	0.0222886	0.0286955	0.00513254	0.00472357	0.00388184	0.00485872	0.00320225	0.0031519	0.0039442	0.00496334	0.00515502	0.00393636	0.00310854	0.00328055
en	0.100448	0.0601433	0.0331282	0.0253705	0.0284531	0.0423068	0.0391888	0.0443235	0.0543412	0.0296204	0.0439698	0.0360856	0.0268995	0.0311221	0.0444318	0.0554211	0.0432651	0.0369423	0.0473723	0.0372806	0.0264804	0.0238721	0.0197585	0.0215301	0.0161664	0.0183097	0.013769
train	0.0454489	0.0201773	0.0162581	0.0201109	0.0238599	0.0617861	0.0719693	0.0337526	0.0264358	0.0195276	0.0541729	0.0363181	0.0393322	0.0509877	0.0841693	0.041685	0.0398032	0.047062	0.0474513	0.0428968	0.0319282	0.0231253	0.0212894	0.0211996	0.019678	0.0285312	0.0310432
de	0.0446124	0.0484543	0.0423982	0.0284248	0.0230867	0.0210193	0.0174034	0.0313901	0.0345268	0.0566099	0.0373933	0.0451608	0.0204871	0.0202732	0.00921324	0.018551	0.0203976	0.0189601	0.0169374	0.0201387	0.0208446	0.0227442	0.031187	0.0437286	0.0537123	0.0586472	0.193698
danser	0.0401457	0.0229732	0.0272528	0.0140402	0.0155917	0.0182518	0.0147891	0.0123448	0.00722586	0.00794973	0.0166986	0.0213275	0.0270866	0.0436538	0.0427787	0.0575803	0.0650345	0.0781081	0.0733957	0.0608926	0.065767	0.0496841	0.0340331	0.0271171	0.033344	0.0389936	0.0839397
le	0.0392218	0.0334651	0.0402098	0.0325294	0.0376908	0.0424185	0.0277595	0.0205745	0.00945143	0.00845117	0.0129684	0.0174121	0.0158051	0.0204705	0.0158758	0.023305	0.0219288	0.0188975	0.0255883	0.0350357	0.0438385	0.0477915	0.0565224	0.0653089	0.0751982	0.0788228	0.133458
kyebe-	0.0232063	0.019047	0.0226353	0.0174494	0.0157681	0.0192925	0.0128227	0.00786429	0.00449111	0.00500651	0.00734531	0.0101465	0.0116912	0.0144207	0.0147308	0.0201279	0.0214875	0.0301816	0.0423325	0.0458488	0.0632871	0.0766801	0.0716259	0.0774797	0.101827	0.0992244	0.14398
kyebe	0.0286243	0.0262113	0.0297403	0.015106	0.0148209	0.0100617	0.00593976	0.00381755	0.00470008	0.00777988	0.00554431	0.00908175	0.00462152	0.00582053	0.0068613	0.0113512	0.00972037	0.0105183	0.0182392	0.0215241	0.0332087	0.0453794	0.0767866	0.0983888	0.111747	0.143483	0.240922
</S>	0.0392159	0.0365533	0.0343947	0.0249207	0.0235258	0.0236115	0.0150238	0.00728095	0.00614044	0.00840308	0.00934108	0.0197329	0.0161654	0.0208185	0.0172148	0.0286387	0.0256737	0.027124	0.0294891	0.0271931	0.0409428	0.0394141	0.0466078	0.0513565	0.071526	0.0884834	0.221208
