 	n	g	á	í	k	w	e	r	i	e	t	á	b	h	e	y	ó	t	s	o	t	s	o	l	o	m	í	b	ω	n	g	ω	l	é	w	ώ	m	b	ω	y	á	d	z	a	n	g	é	</S>
j'	0.181833	0.166062	0.173023	0.0931811	0.0417198	0.0090899	0.00660552	0.00255818	0.00474289	0.00882233	0.00867224	0.00652634	0.0115899	0.0120232	0.0133205	0.0124551	0.0107993	0.00815426	0.00662203	0.00846495	0.00770697	0.00674921	0.00662746	0.00577808	0.00668056	0.00664637	0.00792996	0.00436296	0.00523273	0.00494982	0.00378332	0.00554791	0.00506115	0.00818938	0.0100262	0.00920764	0.00904436	0.00739295	0.00862532	0.00996822	0.00965791	0.00783235	0.00633825	0.00936457	0.00820326	0.01087	0.0108066	0.0111503
ai	0.0544205	0.0278796	0.0313246	0.0178679	0.0100897	0.0239747	0.0467622	0.0667953	0.0282822	0.0319667	0.0703766	0.0853993	0.0510674	0.0274492	0.023211	0.0127558	0.0117408	0.0150684	0.0118696	0.0249284	0.0164103	0.0221978	0.0186331	0.0221495	0.0176441	0.0188654	0.0152488	0.00998376	0.00856291	0.0129808	0.0117724	0.0158116	0.00968517	0.0172592	0.00994287	0.00842891	0.00513429	0.00415058	0.00480938	0.00723599	0.0108816	0.00397688	0.00828903	0.00450658	0.00357953	0.0039953	0.00971125	0.0249231
coupé	0.00823776	0.0129286	0.00795163	0.0124238	0.0138023	0.0174951	0.026625	0.0375977	0.028583	0.0212174	0.0132775	0.0201947	0.0162695	0.0203399	0.0280411	0.0403048	0.0526407	0.0333331	0.0398728	0.0319409	0.0365295	0.049738	0.0228435	0.0209675	0.0214971	0.0249156	0.0327114	0.031154	0.0271207	0.0258581	0.0254998	0.0245377	0.0118344	0.0140115	0.0108495	0.0150192	0.00951308	0.00884203	0.00995016	0.00897827	0.00678603	0.00917317	0.0104766	0.0128064	0.0112075	0.0116234	0.0153114	0.00716726
une	0.017748	0.0117866	0.00724627	0.00841629	0.0120358	0.0206933	0.0279525	0.0459908	0.019132	0.0160563	0.0141662	0.0151267	0.018064	0.0279299	0.0394151	0.0416335	0.0361814	0.0522378	0.031493	0.0357779	0.0268187	0.0268833	0.0247404	0.0247822	0.0195555	0.0190905	0.0194992	0.020501	0.012962	0.0140925	0.0178637	0.0172263	0.0197541	0.0163629	0.0142116	0.0173496	0.00971575	0.0155178	0.0114628	0.0103518	0.0100293	0.0131601	0.0129324	0.0157805	0.0175869	0.0202017	0.0243986	0.0280857
branche	0.00392958	0.00230027	0.00202894	0.00517983	0.0103044	0.0123538	0.0140889	0.0193566	0.0170398	0.012316	0.00965387	0.0146321	0.013192	0.0123327	0.0110326	0.010881	0.0113536	0.0118603	0.0155165	0.0166851	0.020025	0.034642	0.0335247	0.0316736	0.0464797	0.0407989	0.0559926	0.0439815	0.0478464	0.0377641	0.0365673	0.0329841	0.034029	0.0301478	0.0262126	0.0176939	0.0197564	0.0125956	0.016015	0.016934	0.0165173	0.0127178	0.0154379	0.0154957	0.0131063	0.0160627	0.0211237	0.0278366
de	0.00404181	0.00246615	0.00247601	0.00551348	0.0073964	0.0105718	0.0142751	0.0158073	0.0149136	0.0143617	0.0111267	0.0158283	0.0152457	0.0172229	0.0206265	0.0272466	0.0221849	0.0338663	0.0289099	0.0345447	0.032431	0.0369948	0.0307152	0.0342031	0.0362462	0.0306481	0.0331217	0.0353256	0.0275377	0.0272893	0.0197499	0.0261184	0.0232113	0.0215586	0.0180064	0.0173506	0.0203057	0.0176245	0.0172061	0.015123	0.0150051	0.0190511	0.0171116	0.0183632	0.0199439	0.0201577	0.0227706	0.0282036
l'	0.00897624	0.00439315	0.00279453	0.00496113	0.00849222	0.0088009	0.0160497	0.0170308	0.0271618	0.0209347	0.0128426	0.0186049	0.0209152	0.0230807	0.0302072	0.0363251	0.036918	0.0394719	0.0560158	0.0455935	0.0508598	0.0550418	0.0375571	0.030942	0.0362015	0.0258404	0.0259911	0.0241262	0.0232136	0.0176859	0.0116749	0.013448	0.0105232	0.00982419	0.00881085	0.00953596	0.00785924	0.00762901	0.00802722	0.00790447	0.00895961	0.0102335	0.0108203	0.0123921	0.0139278	0.0171866	0.0236633	0.0405504
arbre	0.0115954	0.0089895	0.0111435	0.0103532	0.010208	0.0120307	0.0130176	0.0159862	0.0209607	0.0216649	0.0143521	0.0150171	0.0178221	0.0187103	0.00869587	0.00870496	0.00732935	0.00787675	0.00851103	0.0123338	0.0105009	0.0161118	0.0191058	0.0166159	0.0236245	0.023055	0.0267177	0.0350674	0.0396201	0.0450207	0.0517701	0.0332755	0.0180489	0.0297713	0.0167367	0.0171334	0.0210464	0.0144977	0.0292521	0.0406053	0.0244249	0.0157467	0.0235809	0.0297182	0.0144958	0.0303548	0.0312491	0.0475493
otsotsolo	0.0142903	0.0125058	0.0106679	0.0133913	0.00667906	0.00727716	0.00689117	0.00638815	0.00577579	0.00838594	0.00663908	0.00935057	0.0107821	0.0134022	0.0163802	0.0179311	0.0162686	0.0198349	0.0194828	0.0214484	0.0208111	0.0223859	0.0206527	0.0200633	0.0146484	0.0158134	0.0170737	0.0161737	0.0143384	0.0201534	0.0233508	0.0239452	0.0117654	0.0226222	0.021551	0.0162592	0.0214082	0.0266042	0.0288049	0.0311461	0.0347862	0.0291597	0.0282475	0.0365252	0.0437568	0.0561404	0.0555231	0.0625173
pour	0.0426705	0.0348594	0.0304706	0.0401746	0.0205752	0.0225145	0.0484932	0.0637437	0.022531	0.0204174	0.0143147	0.0141885	0.0269048	0.0457917	0.0351904	0.046306	0.0268188	0.0225338	0.0170517	0.019301	0.0177211	0.0156597	0.0125811	0.0107693	0.00950503	0.0100992	0.00957833	0.0107898	0.0113402	0.0125567	0.0133816	0.0118714	0.00681192	0.00884038	0.00936216	0.0115726	0.012421	0.0110378	0.0141672	0.0109205	0.0130511	0.0130992	0.0154949	0.0159345	0.0147642	0.0163091	0.0245281	0.0409805
