 	a	b	a	a	b	o	n	g	o	n	d	z	a	b	ó	b	á	a	b	v	á	á	s	á	w	ó	m	á	</S>
les	0.132309	0.0413858	0.0358177	0.0196388	0.0101021	0.0300651	0.0280794	0.0288771	0.0594858	0.0464689	0.043809	0.0434211	0.0429507	0.0399874	0.0362779	0.0364873	0.0368125	0.0342389	0.0315423	0.0293631	0.0199153	0.0266569	0.0275503	0.0294272	0.0192346	0.0150655	0.0166534	0.0233538	0.0150233
hommes	0.0342545	0.0810471	0.0808819	0.105185	0.153519	0.113838	0.080758	0.0529742	0.0414987	0.0420746	0.0359725	0.0248652	0.014804	0.00765505	0.0131236	0.00878167	0.00232132	0.00240467	0.00189817	0.0185514	0.0119453	0.017004	0.00969595	0.0112973	0.0114402	0.00737034	0.00792805	0.0031129	0.00379738
d'	0.035622	0.0441401	0.0431584	0.0323242	0.0195923	0.0225115	0.0315361	0.0507155	0.0446551	0.0437931	0.043013	0.065972	0.0946481	0.0547417	0.0454455	0.0620165	0.0263209	0.0223339	0.0163191	0.0216508	0.0205324	0.0277562	0.0254989	0.0262777	0.0252457	0.0170373	0.00934555	0.0144126	0.0133839
ongondza	0.0140926	0.0326763	0.0336692	0.0280584	0.0293262	0.0269485	0.0340209	0.0356398	0.0332516	0.0421712	0.045672	0.0388157	0.0386271	0.0510838	0.0537536	0.0523487	0.0475781	0.0323875	0.0386983	0.0440098	0.0509692	0.0294029	0.0281906	0.0204991	0.0224958	0.0304073	0.0179077	0.0245724	0.022726
sont	0.0381833	0.0353527	0.030893	0.0342051	0.0327834	0.0352508	0.0345326	0.0368629	0.0375323	0.0337211	0.0383775	0.0372034	0.0393299	0.0380422	0.0276088	0.0289723	0.0265008	0.0400057	0.0318959	0.0262372	0.0328001	0.0268004	0.020961	0.0249956	0.027056	0.0392635	0.0330465	0.0433521	0.0682341
en	0.024118	0.0190533	0.0158735	0.0174687	0.0161022	0.0226057	0.0219333	0.0266583	0.0303628	0.0276083	0.0311904	0.0315653	0.0340048	0.0302461	0.0343122	0.0380995	0.0282606	0.0332125	0.0330241	0.0497301	0.0631437	0.0491033	0.0467086	0.0444108	0.0392038	0.0395371	0.0477285	0.0403187	0.0644158
train	0.0413613	0.027992	0.0198473	0.0220286	0.026256	0.0279575	0.0396152	0.0335701	0.0364666	0.0437604	0.0368012	0.0540241	0.0624213	0.0367052	0.034832	0.0378096	0.0304902	0.0176534	0.0108575	0.0190295	0.0136919	0.0156713	0.0125685	0.0182232	0.0158848	0.020727	0.0669418	0.0263769	0.150436
de	0.0431359	0.0275304	0.0242763	0.0374838	0.0415494	0.0326347	0.0389071	0.0276409	0.0369793	0.0548775	0.0360767	0.0597635	0.0523416	0.0569621	0.0456412	0.0306766	0.0147377	0.0111596	0.00628904	0.0143181	0.0110086	0.0156457	0.0120517	0.015829	0.0207804	0.0251639	0.0340731	0.0395887	0.132878
pêcher	0.068497	0.0350988	0.0262085	0.0374663	0.0405425	0.0371269	0.0295476	0.0162493	0.0142969	0.0168713	0.0139396	0.00920878	0.0073016	0.00948297	0.0106405	0.0104611	0.00898879	0.00664837	0.0092812	0.0506659	0.0742561	0.061199	0.0408988	0.0436843	0.0331794	0.0485719	0.0853604	0.0634551	0.0908712
au	0.0424327	0.0395657	0.0326451	0.0399683	0.0387874	0.0252715	0.0195882	0.0145921	0.0151264	0.0142792	0.0146247	0.0123663	0.0138399	0.0184606	0.0212105	0.0177828	0.00609186	0.00593113	0.00401703	0.0391083	0.033644	0.0456814	0.0318059	0.0356729	0.0339718	0.051249	0.107603	0.0606959	0.163986
harpon	0.0200407	0.0186757	0.0161292	0.0146794	0.0138737	0.0115864	0.0142138	0.0114657	0.0123746	0.0120329	0.0101525	0.00646501	0.00628559	0.00847989	0.0111517	0.0130664	0.00742716	0.00865101	0.00736839	0.0261168	0.0341333	0.0485899	0.0648889	0.0787286	0.0714253	0.0754594	0.113521	0.110452	0.152565
au	0.0262089	0.0385707	0.0359284	0.042698	0.0343409	0.0312029	0.0291543	0.031825	0.0297933	0.0196748	0.0192801	0.0227176	0.0259626	0.0165744	0.0110446	0.0155881	0.0124881	0.017089	0.0165067	0.0330226	0.0358419	0.0448258	0.0303402	0.0374913	0.0416168	0.0558337	0.0590513	0.0578177	0.12751
vouma	0.0425952	0.0560758	0.0444613	0.0344797	0.021221	0.013016	0.0127045	0.0103585	0.00973432	0.00950232	0.008704	0.00562077	0.00513134	0.00484648	0.00555114	0.00252662	0.00105768	0.00121001	0.00111466	0.0100969	0.00893823	0.0294905	0.0296337	0.0619054	0.056034	0.0748986	0.086696	0.10682	0.245575
</S>	0.0362853	0.0286022	0.0253592	0.0328547	0.032555	0.0271106	0.0209899	0.010943	0.00826966	0.00757904	0.00594696	0.004211	0.00388455	0.00373959	0.00344031	0.00444835	0.00234619	0.00367757	0.00539719	0.0205574	0.0273409	0.045979	0.0514842	0.0652962	0.0577118	0.0857284	0.0998504	0.114356	0.164055
