 	o	n	y	ε	b	h	í	á	b	h	í	i	w	a	m	í	t	ó	n	a	l	á	m	w	á	s	í	</S>
son	0.01397	0.0152132	0.015311	0.0301537	0.0208234	0.0142209	0.020488	0.0284903	0.04751	0.0584844	0.0666667	0.0935844	0.089081	0.0662206	0.0498233	0.0198373	0.0249361	0.0294594	0.0320001	0.0255473	0.034378	0.0257604	0.0383186	0.0159311	0.019536	0.0338759	0.0418595	0.0285191
grand	0.135847	0.166661	0.254707	0.122493	0.0641897	0.0461882	0.0285056	0.0190766	0.0126491	0.00720811	0.00891101	0.0117803	0.00660564	0.00669783	0.0148874	0.0107784	0.0113551	0.0113667	0.0123111	0.00734624	0.0105335	0.00713384	0.0125257	0.00346445	0.00288795	0.00151141	0.00158158	0.000797872
frère	0.064863	0.0751338	0.102201	0.085926	0.0773497	0.100701	0.0915015	0.0960108	0.0753875	0.0133301	0.0151109	0.0176676	0.0134154	0.0113181	0.00843845	0.00824078	0.02349	0.0313511	0.0248691	0.0122766	0.0135449	0.0150632	0.00569265	0.00200871	0.00162908	0.002571	0.00511198	0.00579607
l'	0.0184169	0.0297359	0.0322916	0.0318676	0.0339024	0.0528863	0.0409688	0.0396641	0.0468639	0.0362706	0.0428696	0.0219623	0.0279627	0.0178858	0.0288866	0.0387653	0.0394212	0.0492545	0.0350749	0.0320439	0.0371398	0.0352391	0.0268394	0.0413751	0.0332432	0.0440895	0.0313546	0.0537241
a	0.0274178	0.0349462	0.0566014	0.0975284	0.0672807	0.0577763	0.04765	0.0387245	0.0359761	0.0226577	0.0349458	0.0383638	0.0288309	0.0102536	0.0227318	0.0324949	0.026498	0.0470434	0.0372775	0.0201205	0.0365958	0.0219344	0.0276133	0.0224112	0.0316396	0.0168176	0.0216122	0.0362566
obligé	0.0294924	0.0214386	0.0240699	0.0354839	0.0361311	0.0501198	0.0452179	0.0571468	0.0382113	0.0342214	0.0208374	0.0181082	0.0177069	0.017323	0.018997	0.03034	0.0249777	0.0437137	0.0324122	0.0209191	0.0439895	0.0308012	0.0328857	0.042332	0.0505883	0.0427031	0.0458742	0.0939576
de	0.10065	0.0517772	0.0441624	0.0516171	0.0535632	0.0755668	0.0844942	0.117287	0.0750214	0.0696216	0.0320535	0.020014	0.0185591	0.010039	0.00381524	0.00620089	0.00582134	0.0129591	0.00691845	0.00858059	0.0100097	0.00760392	0.0103613	0.0157083	0.0175165	0.02144	0.0234588	0.0451799
répudier	0.0295554	0.0230975	0.0215534	0.0211713	0.0209317	0.0209565	0.0212886	0.0280719	0.0223198	0.0271803	0.0141049	0.0145394	0.0140419	0.0117351	0.0195521	0.0379494	0.0378319	0.061347	0.0433814	0.0327412	0.0566721	0.0299009	0.0600518	0.0462723	0.067688	0.067763	0.0705253	0.0777757
sa	0.082777	0.0719369	0.0730899	0.0574763	0.0476966	0.0319665	0.0274404	0.0222538	0.0130235	0.0231602	0.01018	0.0106823	0.00861048	0.00981097	0.0157099	0.0145904	0.0141507	0.0297763	0.0181524	0.0105082	0.0251603	0.015961	0.0359418	0.021242	0.0629239	0.0582753	0.0513261	0.136177
femme	0.0708132	0.0519337	0.0448939	0.0283996	0.024103	0.0141732	0.0131001	0.0126242	0.0105432	0.01601	0.0105261	0.0132196	0.0104742	0.0148932	0.0377698	0.048468	0.0279898	0.059219	0.0165093	0.00739848	0.0283886	0.00839093	0.0446922	0.0144129	0.0507783	0.0847244	0.0872821	0.148269
</S>	0.0528569	0.0452329	0.041137	0.0285531	0.023915	0.0143764	0.00920643	0.0078464	0.00708178	0.00831677	0.00432957	0.00392411	0.00332828	0.00408718	0.0122269	0.0286596	0.0209207	0.0332217	0.0279958	0.0165026	0.0448324	0.0243023	0.0657087	0.0341398	0.0536843	0.114833	0.127638	0.141142
