 	b	í	s	í	l	a	b	v	u	ε	l	é	t	s	a	m	i	n	i	i	t	s	w	é	i	t	s	w	é	l	a	p	ó	a	</S>
mes	0.141897	0.160001	0.136775	0.0694939	0.0473256	0.0280194	0.0203763	0.0242672	0.0222646	0.0198999	0.0199101	0.0194682	0.0140889	0.00991523	0.00906274	0.00564468	0.00417428	0.00686089	0.00576893	0.00910195	0.00931676	0.0163016	0.0164253	0.0203591	0.0127901	0.0133233	0.0147444	0.0172566	0.0122055	0.0150023	0.0180931	0.0156402	0.0138455	0.0142649	0.016116
beaux-parents	0.0394676	0.0647015	0.052208	0.0391631	0.0286029	0.0374982	0.0480511	0.0698621	0.0924332	0.0555018	0.0365375	0.0448275	0.018893	0.0181648	0.0217861	0.0412051	0.0206279	0.0291992	0.0322372	0.00628747	0.0128012	0.0081755	0.00880443	0.0109624	0.0221961	0.0116238	0.0235473	0.0224442	0.0135185	0.0160179	0.017862	0.0105765	0.0137076	0.00707095	0.00343617
et	0.031292	0.0496294	0.0456828	0.0363392	0.018917	0.0197365	0.0214487	0.0319756	0.0445278	0.0347913	0.0436235	0.0649112	0.0459635	0.0354647	0.020986	0.0237797	0.029687	0.0315576	0.0353032	0.0207878	0.0368274	0.018851	0.0148209	0.011233	0.0200253	0.0178682	0.0197466	0.0164826	0.0217335	0.0183206	0.0270861	0.0182986	0.0199755	0.0226559	0.0296702
moi	0.0421642	0.0485946	0.0410925	0.0262672	0.0187731	0.0180552	0.0159325	0.0181028	0.0213533	0.0180233	0.0162969	0.0160174	0.025379	0.0236128	0.0180779	0.0313298	0.0477048	0.0438971	0.0503011	0.0278627	0.0463795	0.0291448	0.0297038	0.0326362	0.0397806	0.038157	0.0228975	0.0195563	0.0193558	0.0233673	0.0128836	0.0176569	0.0301853	0.0385111	0.0309466
nous	0.0191474	0.0148589	0.0132749	0.0125434	0.0135401	0.0282938	0.0323785	0.0335552	0.0424298	0.0442676	0.0480227	0.0517053	0.036361	0.0362974	0.0368242	0.0350598	0.0444773	0.0389926	0.0507754	0.0328799	0.0473971	0.0254948	0.0356571	0.0241346	0.0253357	0.0205277	0.0119614	0.0101385	0.0154722	0.0101931	0.00767422	0.00790668	0.01732	0.0275029	0.0475988
sommes	0.0348332	0.0292672	0.0158125	0.0151269	0.0169603	0.0367671	0.063685	0.062723	0.051954	0.0452079	0.0277284	0.029945	0.0189791	0.02008	0.0232296	0.0255925	0.0357774	0.0292431	0.0424005	0.0342691	0.0311745	0.0365177	0.0174425	0.0198893	0.0175996	0.0167166	0.0150641	0.0146065	0.0149513	0.0157853	0.0154078	0.0182325	0.0191074	0.0311952	0.0567278
séparés	0.0187769	0.0159107	0.0145598	0.0157633	0.0164487	0.0253496	0.0424875	0.0380534	0.0337541	0.0357137	0.0262854	0.0255482	0.0148225	0.0152132	0.0178051	0.0264238	0.0322256	0.034226	0.0509699	0.0396607	0.0465	0.050893	0.0224186	0.0268997	0.0220367	0.0224391	0.0200469	0.018824	0.0177583	0.0205398	0.0174985	0.021854	0.0255694	0.0362558	0.0904681
hier	0.0141544	0.0138824	0.0180562	0.0218268	0.0211963	0.0292815	0.038074	0.0364097	0.029103	0.02758	0.0151626	0.0127794	0.0151377	0.0147501	0.0114962	0.0153933	0.0239952	0.0289788	0.0295104	0.0309143	0.0278853	0.0532542	0.035753	0.0418039	0.0309385	0.0355071	0.0222701	0.0262375	0.0210932	0.0275057	0.0158198	0.0201158	0.0387013	0.0634754	0.091957
sans	0.0172446	0.012104	0.0136863	0.0152461	0.0132907	0.01271	0.0130016	0.0173296	0.0153674	0.0124548	0.0105155	0.00849375	0.00969478	0.0101836	0.0177451	0.0147557	0.0289535	0.02161	0.0248235	0.0290619	0.0216151	0.0507902	0.0241328	0.045297	0.0471617	0.0481779	0.0432584	0.0574531	0.0469452	0.0524628	0.0389562	0.0539459	0.0556082	0.0561616	0.0397616
se	0.0248842	0.0195734	0.0212086	0.0229614	0.0228886	0.0203675	0.0174602	0.0207784	0.0205331	0.0173586	0.0161234	0.0138241	0.0146416	0.0140082	0.0173477	0.0106213	0.0130319	0.00887164	0.0091945	0.0179531	0.0124561	0.0379074	0.0388755	0.0440013	0.049361	0.0470223	0.0434967	0.0483985	0.0524724	0.0459888	0.0417771	0.0432574	0.0468543	0.0544922	0.0500078
dire	0.0213986	0.021521	0.016421	0.014801	0.0145301	0.015522	0.016105	0.0166588	0.01665	0.0187273	0.0166068	0.0146686	0.015958	0.0158959	0.0172726	0.0197651	0.0272563	0.0259785	0.0294911	0.0203714	0.0233985	0.0355908	0.0413263	0.0310089	0.0322602	0.0350107	0.0189847	0.0378816	0.0171574	0.0296964	0.0168155	0.0343403	0.0705894	0.0748449	0.125495
au	0.0118368	0.00971727	0.0106313	0.0105769	0.00727247	0.00959402	0.0104272	0.0103463	0.013047	0.0134859	0.0102682	0.00719303	0.00773061	0.00675087	0.00872314	0.0132053	0.0182846	0.0218157	0.0221567	0.0188628	0.01893	0.0399147	0.0276678	0.0472456	0.0363846	0.0545487	0.0440229	0.0584702	0.0343342	0.058219	0.0381377	0.0511049	0.0787214	0.0820218	0.0883507
revoir	0.0127049	0.0103494	0.0127897	0.0111503	0.00807589	0.0105924	0.0112425	0.0118534	0.0120257	0.0134023	0.011041	0.00861423	0.0100597	0.00942345	0.0110892	0.0144644	0.0210708	0.0243683	0.0252269	0.0220692	0.0209258	0.0331333	0.0298435	0.0381482	0.0322014	0.0441567	0.0451188	0.0640697	0.0420116	0.0593781	0.0430122	0.0529621	0.0728644	0.07253	0.0780306
</S>	0.0237524	0.0177817	0.0163365	0.0140131	0.0155656	0.0169045	0.0186886	0.0181549	0.0203762	0.0192787	0.018671	0.0205316	0.0214224	0.0278755	0.0185096	0.0195256	0.0260684	0.0263169	0.0188473	0.0200425	0.0259837	0.0232004	0.0222665	0.019793	0.027092	0.0353367	0.0349785	0.0361801	0.0340374	0.0395829	0.0476413	0.0474185	0.0571456	0.0481997	0.102481
