 	a	l	e	m	b	έ	o	n	g	o	l	í	o	l	ε	m	b	ε	l	o	a	n	g	e	a	b	e	l	a	t	s	a	a	n	g	í	o	k	ó	ó	o	k	o	n	d	a	d	z	a	a	m	ó	m	b	ω	ω	</S>
alembe	0.115364	0.0181645	0.0298981	0.0117725	0.026567	0.0298888	0.041459	0.0367038	0.0558251	0.0970316	0.038317	0.0444397	0.0406634	0.0389214	0.0159317	0.0140932	0.0127692	0.00663553	0.00332589	0.00394704	0.00215594	0.00145789	0.00352782	0.00313439	0.00288729	0.00322814	0.00378027	0.00448918	0.00393268	0.00391839	0.00366781	0.00807222	0.00883486	0.0079186	0.0137583	0.011349	0.00753196	0.0100771	0.00885198	0.0100495	0.00564376	0.00963739	0.00784176	0.00651162	0.00627657	0.00994783	0.0109854	0.0167881	0.0130053	0.0180068	0.011201	0.0113941	0.0146314	0.0127535	0.0131476	0.0146923	0.0131931
ongoli	0.0642387	0.0859528	0.0679847	0.0426672	0.060654	0.0507624	0.0383377	0.028851	0.0338222	0.0485296	0.0225676	0.03623	0.0332423	0.0297899	0.0121632	0.0108183	0.00746642	0.00508239	0.00449853	0.00483782	0.00326619	0.00164875	0.00709528	0.00437347	0.00406651	0.0085805	0.00499586	0.00358463	0.00296612	0.00244994	0.00177416	0.00228174	0.00204765	0.00114817	0.00241924	0.00656933	0.00381257	0.0162887	0.0119354	0.014984	0.0126545	0.010667	0.0164942	0.0161041	0.0209206	0.0180713	0.0192544	0.00924099	0.0156811	0.006921	0.0117666	0.0128505	0.00967296	0.00669425	0.00587921	0.00527981	0.00706261
olembe	0.0236711	0.0254742	0.0191794	0.0474369	0.064135	0.0649997	0.0753921	0.0345079	0.0370171	0.0312099	0.019968	0.0269006	0.019627	0.0298371	0.0328346	0.0257607	0.0226163	0.0185228	0.0143529	0.0180382	0.0121925	0.0121106	0.0129871	0.00742877	0.0100242	0.0101077	0.00774708	0.00417128	0.00514104	0.00366989	0.00313819	0.00786416	0.00723703	0.00536649	0.00912542	0.00440275	0.00557286	0.01089	0.0159953	0.00823008	0.00962032	0.0077834	0.00774961	0.00769492	0.00700276	0.0100888	0.00900307	0.0113085	0.0122109	0.0138275	0.0130472	0.0129139	0.0130177	0.0162369	0.0142941	0.0134349	0.00588163
loange	0.00805135	0.0216999	0.0166736	0.0207081	0.0215441	0.018408	0.0180463	0.0389673	0.0388914	0.045322	0.0277542	0.0315149	0.0226369	0.0119428	0.0110257	0.0187584	0.0181249	0.019823	0.0135684	0.022102	0.013884	0.0113261	0.0208276	0.0125587	0.0104934	0.0141701	0.0118475	0.00819643	0.0107135	0.00990565	0.0111299	0.0138818	0.0120871	0.00851789	0.0153528	0.0117365	0.0174775	0.0116168	0.0224744	0.013437	0.0134409	0.0148752	0.0150444	0.0155873	0.0135945	0.0217091	0.0152168	0.0166337	0.0165019	0.0194341	0.0169595	0.0213957	0.0155956	0.0198339	0.0145353	0.0123817	0.0300624
abela	0.0169812	0.0159709	0.0169218	0.0175474	0.0176717	0.0190742	0.0190735	0.0195196	0.0196817	0.0188886	0.0188218	0.0190287	0.01782	0.0223039	0.0220829	0.0206604	0.0178581	0.0212463	0.0230583	0.0244543	0.0218478	0.0169283	0.0135581	0.0159787	0.0103212	0.0118564	0.0103883	0.01437	0.0119185	0.0175641	0.021464	0.0178546	0.0139406	0.009451	0.0173297	0.0266754	0.0157334	0.0168878	0.0147231	0.015398	0.0131326	0.0159947	0.0127107	0.0151851	0.0136521	0.0150691	0.0154704	0.0115346	0.0166896	0.0128253	0.0112027	0.0154787	0.0146033	0.0162037	0.0184908	0.0296437	0.0492586
tsaangi	0.00837219	0.00538859	0.00514539	0.00602327	0.00605851	0.00705189	0.00949232	0.0103756	0.00622987	0.0110925	0.0121952	0.00748294	0.00676015	0.0136595	0.0227144	0.0277981	0.0210975	0.0271043	0.0258203	0.0291624	0.0260599	0.0264505	0.0243561	0.0248968	0.020728	0.0217195	0.0217696	0.0256715	0.0256847	0.0280264	0.0295903	0.0282744	0.0287637	0.0197053	0.0241992	0.0221049	0.0115212	0.0167896	0.0180374	0.0144901	0.021341	0.0193812	0.0153768	0.0216339	0.0188536	0.0137875	0.0141931	0.00862923	0.0135091	0.00870156	0.00752815	0.0130656	0.0102092	0.0160007	0.0181178	0.0219557	0.029852
okoo	0.00482227	0.00395301	0.00419404	0.00485618	0.00554422	0.00643386	0.00738837	0.00815942	0.00605532	0.00869364	0.0105708	0.0109908	0.0107558	0.0175804	0.0224434	0.0214175	0.0206875	0.0255077	0.0285915	0.0275281	0.0225842	0.0274024	0.0239563	0.0342721	0.0287161	0.0298888	0.0317714	0.0293639	0.0350573	0.0353282	0.0356526	0.0393841	0.0366247	0.0289429	0.0242708	0.0220361	0.0185133	0.0206284	0.0228617	0.012554	0.0255163	0.0130262	0.012949	0.0169932	0.0186273	0.00902527	0.00931547	0.00601385	0.0086297	0.00492943	0.00474532	0.00826358	0.00642331	0.00707585	0.00741128	0.00941046	0.0156613
okonda	0.00579434	0.00726605	0.00862684	0.0100423	0.0106525	0.0109202	0.0114269	0.0122762	0.00940105	0.0113472	0.0128302	0.0101672	0.00981155	0.0155706	0.0228743	0.018831	0.0169064	0.0243717	0.0357811	0.0309125	0.0277756	0.0376142	0.0234603	0.0393658	0.030929	0.0303683	0.0358905	0.0342006	0.0400193	0.0416715	0.0413466	0.0473789	0.0387762	0.0293436	0.0235165	0.0160164	0.0152036	0.0133658	0.0142939	0.00840495	0.0143511	0.00659842	0.00701755	0.00861581	0.00932478	0.00447979	0.00509011	0.00364529	0.00450117	0.0034758	0.00438012	0.00551711	0.00427777	0.00569181	0.0066679	0.00732459	0.0142892
et	0.00829759	0.00554885	0.00500745	0.00520799	0.00506852	0.00563659	0.00551167	0.00347241	0.0028449	0.0040969	0.00279542	0.00271484	0.00247682	0.00286284	0.00405848	0.00525981	0.00606232	0.00975856	0.0166763	0.014059	0.0195216	0.0246502	0.0210597	0.0317872	0.0253574	0.0246904	0.0317536	0.0278195	0.0355408	0.0387317	0.0478606	0.0365267	0.0293375	0.0326628	0.0281576	0.0249982	0.0297032	0.0163106	0.0254418	0.0254254	0.024859	0.0200846	0.0215824	0.0259799	0.0263018	0.0197647	0.016312	0.0120057	0.0142663	0.0122507	0.0100237	0.0160646	0.0141141	0.0171103	0.0178594	0.0181055	0.0185615
mboo	0.0132311	0.00958946	0.00419022	0.00432508	0.00377819	0.00335297	0.00348298	0.00361952	0.00257799	0.00312221	0.00184922	0.00153232	0.00147948	0.00238369	0.0043388	0.0101012	0.0102909	0.0127467	0.0153027	0.0173778	0.0118341	0.0102816	0.0170345	0.0174229	0.0131464	0.0208165	0.0212709	0.0146205	0.0147621	0.0130313	0.0137817	0.0199806	0.0233134	0.0178981	0.0265071	0.0252193	0.0269814	0.0274479	0.0320008	0.0390099	0.0327254	0.0346761	0.0363297	0.0376236	0.0316801	0.0322838	0.028355	0.0306628	0.0268828	0.0306666	0.0256873	0.0224155	0.0197808	0.0182944	0.0179349	0.0186393	0.0203285
