 	p	o	o	é	t	s	ω	y	é	e	y	é	b	h	á	m	w	á	n	a	o	y	ú	r	u	w	ó	m	é	s	a	l	á	</S>
tout	0.0157214	0.0143777	0.0149581	0.0168533	0.0231905	0.0281859	0.0444477	0.047796	0.0457236	0.0492655	0.0503466	0.0545265	0.053773	0.0440401	0.0388335	0.0232041	0.0119618	0.0164436	0.0168398	0.0177771	0.0158565	0.0124646	0.014761	0.0173897	0.019407	0.0200031	0.0213909	0.0327667	0.0333672	0.0448008	0.0462336	0.0381251	0.0341572	0.021011
le	0.0992923	0.0903461	0.122077	0.070385	0.0599841	0.0353159	0.0351313	0.0189038	0.0144366	0.0123119	0.00925744	0.0304627	0.0205828	0.00944281	0.0178758	0.0168469	0.0107402	0.0362272	0.0171263	0.0246314	0.0117867	0.0140608	0.010431	0.0240878	0.0287978	0.0289117	0.0170651	0.027446	0.0187848	0.0186755	0.01776	0.00966899	0.0138246	0.00732201
village	0.0323207	0.0373392	0.0476226	0.0406034	0.0434736	0.0350748	0.0589367	0.0505807	0.029091	0.0240331	0.0203419	0.0142201	0.04124	0.0172516	0.0220997	0.0263417	0.0113631	0.00838269	0.0110499	0.0138236	0.0201904	0.00714948	0.00994755	0.0270011	0.0293702	0.0380249	0.0528037	0.0551558	0.0469975	0.0432708	0.028283	0.0153982	0.0232993	0.0179179
connaît	0.0223365	0.0392785	0.0473228	0.0558478	0.0524077	0.066259	0.0596728	0.0624764	0.0471115	0.0923777	0.0659504	0.0637377	0.0206171	0.0100145	0.00547331	0.00678917	0.00424146	0.0076473	0.0283944	0.0239641	0.0322328	0.0377017	0.0175732	0.0129706	0.00700572	0.00637733	0.00997423	0.0114776	0.012591	0.0162447	0.0172683	0.0101896	0.00863078	0.0178424
cette	0.0455888	0.0472894	0.0454384	0.0536133	0.0567121	0.0660471	0.0816088	0.103888	0.0714016	0.0626625	0.0421338	0.024531	0.0166276	0.024368	0.0186994	0.0234157	0.0183479	0.0234563	0.0112919	0.00772219	0.0123618	0.0112112	0.00688522	0.00381701	0.00600677	0.00394468	0.0055326	0.00499447	0.00475902	0.0111549	0.0163734	0.0129057	0.0142479	0.0409611
jeune	0.0488324	0.0440548	0.0356833	0.0389662	0.0350458	0.036029	0.0457288	0.0543673	0.0375339	0.0336673	0.0215484	0.00955537	0.00655272	0.0138905	0.0142961	0.0269833	0.0240058	0.0325002	0.0276251	0.0226776	0.0276141	0.0280516	0.0139378	0.0109208	0.0143067	0.00821746	0.0100423	0.0157373	0.00820883	0.0300652	0.0358506	0.041183	0.0575007	0.08882
fille	0.0277967	0.0264449	0.0237495	0.0349337	0.0314525	0.0395748	0.0387319	0.0645241	0.056179	0.0536808	0.0386414	0.0136596	0.0127821	0.0228781	0.0221584	0.0369094	0.0146179	0.0147402	0.0241345	0.0279806	0.0295761	0.0266417	0.0134126	0.0183046	0.0186039	0.0168449	0.0202282	0.0171116	0.013612	0.0334063	0.0412687	0.019329	0.03268	0.0734104
à	0.0318459	0.0349318	0.0365489	0.0376223	0.0375686	0.0419304	0.0435836	0.0415014	0.0337911	0.0271357	0.0184869	0.0127733	0.00571484	0.00979027	0.00991255	0.0125742	0.00447046	0.0061176	0.00919656	0.0244402	0.0305523	0.0263148	0.0146423	0.0290126	0.0180345	0.0283499	0.0209339	0.0262247	0.0147471	0.039651	0.0593274	0.0306298	0.0630448	0.118598
cause	0.0686754	0.0358788	0.0277178	0.0278562	0.0286995	0.0311871	0.0305096	0.0211331	0.0135254	0.0134629	0.020281	0.0222338	0.0137171	0.013258	0.0112503	0.0113172	0.00927868	0.0171882	0.0189199	0.0203908	0.0192381	0.0234287	0.0209967	0.0339799	0.0274288	0.0357972	0.0353232	0.0269545	0.0283456	0.0350179	0.0461541	0.0528484	0.0647485	0.0932572
de	0.0514572	0.0396436	0.0297651	0.0216898	0.0226761	0.0216191	0.0172457	0.0115605	0.00885686	0.0120231	0.0164548	0.0175679	0.0111073	0.0109759	0.00965506	0.00611631	0.00883137	0.0138939	0.0109593	0.0144672	0.0196446	0.0173792	0.0149265	0.0363854	0.0265431	0.0574263	0.0338003	0.0241585	0.0425717	0.0361241	0.0498064	0.0646867	0.0940503	0.125931
son	0.125338	0.0648282	0.0354765	0.0217724	0.0208074	0.0168707	0.00953866	0.00718911	0.00512712	0.00541957	0.00678839	0.00663018	0.00454864	0.0080037	0.00921138	0.00654345	0.0130597	0.0238999	0.0137465	0.0234848	0.0197178	0.0140695	0.0143701	0.0234097	0.0127226	0.0570551	0.0173738	0.0314853	0.0320182	0.0303753	0.0425291	0.0391711	0.0947218	0.142697
attitude	0.131976	0.0484781	0.0256078	0.014739	0.0101207	0.00671025	0.00431996	0.00301947	0.00268255	0.00312553	0.00378616	0.0027934	0.00245864	0.00461108	0.00545616	0.0059183	0.00890984	0.0275028	0.0244825	0.028353	0.012164	0.0157388	0.0130288	0.0184622	0.0139879	0.0272089	0.0166194	0.0235437	0.0285561	0.0406102	0.0585902	0.0491707	0.122439	0.194829
dégagée	0.150853	0.0740327	0.0471519	0.0483996	0.041353	0.0450854	0.0267344	0.0170355	0.0133346	0.00992859	0.0154936	0.0127004	0.00790907	0.0119775	0.00999355	0.00922984	0.0130669	0.0115517	0.0071551	0.0133395	0.00991723	0.00797858	0.0090741	0.023179	0.0133774	0.0418915	0.023283	0.0360289	0.0285492	0.0284246	0.0278751	0.0250892	0.0477252	0.091281
</S>	0.0453449	0.0421087	0.0377914	0.0258959	0.0232779	0.024992	0.0172332	0.0127481	0.0108943	0.0105038	0.00895879	0.0116211	0.00657364	0.00888946	0.00728211	0.00606671	0.00744534	0.0200202	0.0181004	0.0327279	0.0194305	0.0187392	0.0176509	0.0431236	0.0227042	0.0680668	0.029138	0.035652	0.033064	0.030553	0.0445401	0.0484707	0.090335	0.120056
