 	p	f	ú	ú	y	ó	k	á	n	d	á	m	á	p	έ	l	ε	l	a	k	ó	l	i	y	έ	ε	p	έ	n	g	á	b	ώ	m	ώ	</S>
la	0.0197033	0.012389	0.00838292	0.00915213	0.00571782	0.00558622	0.0106478	0.0219084	0.0311342	0.0392406	0.0555786	0.0691315	0.0802558	0.0725522	0.0748853	0.0422559	0.0205337	0.0141648	0.0131412	0.0159634	0.0179809	0.0185631	0.0219547	0.0243902	0.021653	0.0247965	0.0209436	0.0254393	0.0176154	0.0231105	0.0271688	0.0272179	0.0278063	0.0255119	0.0303458	0.0231771
nuit	0.0686597	0.121599	0.183833	0.124054	0.0638107	0.0213544	0.0128327	0.00672673	0.019314	0.0138612	0.0366399	0.0486571	0.0468539	0.0537066	0.0627604	0.0272716	0.0102827	0.0058796	0.00547972	0.00347443	0.0029735	0.00468858	0.00553191	0.00577118	0.00723392	0.00924321	0.00488874	0.00466677	0.00338278	0.00478805	0.00444398	0.00162703	0.00130857	0.00122298	0.000647635	0.000529785
la	0.0365242	0.0459806	0.0311845	0.0172581	0.0140247	0.0169292	0.0230871	0.0199342	0.0141357	0.0147219	0.0165621	0.0207426	0.0253694	0.0334521	0.0311404	0.0265695	0.0260917	0.0273395	0.0204488	0.0361689	0.0466823	0.035382	0.0332675	0.0282487	0.0345411	0.0811949	0.0352337	0.0596246	0.0443252	0.0368772	0.0294853	0.009261	0.00805551	0.00583209	0.0107636	0.00356034
blancheur	0.0481379	0.074352	0.0732494	0.0668866	0.0548481	0.0555866	0.0364472	0.0285929	0.0356311	0.038021	0.0273114	0.030425	0.0238013	0.0187197	0.0251667	0.0208883	0.0396568	0.0362003	0.0213789	0.0245038	0.021075	0.018398	0.010199	0.0154643	0.0147675	0.0170492	0.0131778	0.0092854	0.010865	0.00969004	0.00676318	0.00705877	0.00940577	0.0117916	0.0115088	0.0336956
de	0.0497786	0.0532785	0.0574787	0.0460243	0.0407768	0.0351103	0.0477233	0.0496683	0.0437903	0.0368196	0.0175539	0.0166254	0.0146081	0.00918569	0.016604	0.0152436	0.0240203	0.0436623	0.0401358	0.0475297	0.0500279	0.0328992	0.0213713	0.0109539	0.0115761	0.0116176	0.0149285	0.0120624	0.0153519	0.0110696	0.00961171	0.0118625	0.0113058	0.0107993	0.00982249	0.0491223
l'	0.0921549	0.0708368	0.0596452	0.0499998	0.0488283	0.03487	0.028345	0.0257478	0.0318126	0.0320475	0.0301698	0.0264327	0.019516	0.025637	0.0203075	0.0242052	0.0390449	0.0332176	0.0234303	0.0253333	0.0231678	0.01799	0.0136736	0.0095961	0.0110501	0.0161253	0.0129255	0.0175732	0.0204347	0.0145051	0.014485	0.0160861	0.0130444	0.00752246	0.0126816	0.0375567
habit	0.0377472	0.0233769	0.0227707	0.0199956	0.0224893	0.018557	0.0133365	0.00812746	0.00754056	0.00701854	0.00692096	0.0074411	0.00733171	0.00688312	0.0129085	0.0130924	0.0368734	0.0543816	0.0550731	0.051247	0.0670062	0.059555	0.0460141	0.0297905	0.033417	0.0306685	0.024814	0.0279814	0.0258634	0.0233737	0.0227159	0.0318867	0.031882	0.0284335	0.0285172	0.0549682
du	0.0349698	0.0195066	0.017233	0.0167403	0.021401	0.0222131	0.0243895	0.0137331	0.00768789	0.00761766	0.00646455	0.00778454	0.00756363	0.0063978	0.0157741	0.0200345	0.0489091	0.0697874	0.0533967	0.0667906	0.0667145	0.0599702	0.0302678	0.0235121	0.0256611	0.0172257	0.0192763	0.0151896	0.0176049	0.0184129	0.0134653	0.0317537	0.0401256	0.0307454	0.0258938	0.0757864
prêtre	0.0492013	0.0485293	0.0474546	0.0512447	0.0556337	0.0368103	0.0160374	0.0165713	0.0164399	0.0165176	0.0160081	0.0156133	0.0127634	0.0117002	0.0142245	0.0123796	0.0294541	0.0239925	0.0230735	0.0219141	0.0135766	0.0170405	0.00529493	0.010736	0.0153166	0.0157977	0.0158021	0.00912562	0.0187935	0.0179386	0.0110731	0.0344159	0.0259031	0.0767806	0.0472833	0.129558
me	0.0791996	0.0504177	0.0403056	0.0339435	0.0338465	0.0315816	0.0133415	0.00994642	0.00903676	0.00728419	0.00480202	0.00422219	0.00363688	0.00527974	0.00891132	0.0166508	0.0226152	0.0198853	0.0142319	0.020879	0.0176664	0.0223702	0.0163473	0.0206399	0.0290607	0.0399023	0.0296914	0.0346133	0.0326996	0.0439308	0.0388476	0.0563423	0.0539745	0.032111	0.0353243	0.0664607
