 	w	a	l	á	a	p	έ	a	n	y	a	m	a	p	ó	s	á	ω	y	a	a	m	ó	b	ó	y	a	m	ó	ω	n	g	a	n	g	a	</S>
il	0.0492454	0.10565	0.26841	0.21066	0.209516	0.0948869	0.0146386	0.0081993	0.00248435	0.00157884	0.00109284	0.000525625	0.00115189	0.00126393	0.00117504	0.000828246	0.00118065	0.00157735	0.00139472	0.00130565	0.00135601	0.00102736	0.00156196	0.00153074	0.00151226	0.00187017	0.00144928	0.00186643	0.00124408	0.00117998	0.00117208	0.00138196	0.00138139	0.00125437	0.00130622	0.00124975	0.000891313
attire	0.00862253	0.00530194	0.00610864	0.00294715	0.00401935	0.00485329	0.00848714	0.0185106	0.0251367	0.0774467	0.0563915	0.0712317	0.0528632	0.0607953	0.047709	0.0502683	0.0483491	0.0543219	0.0557813	0.059731	0.0780393	0.0441434	0.0324878	0.0216975	0.0138051	0.0142525	0.0109935	0.0116015	0.00610692	0.00810339	0.004862	0.00470589	0.00392897	0.00279855	0.00761551	0.00732372	0.00865815
les	0.00332896	0.00839902	0.0123051	0.00939904	0.00909784	0.00868622	0.00973703	0.0123682	0.0112482	0.0141705	0.0180929	0.0140943	0.0206639	0.0149465	0.0244014	0.0402254	0.0524738	0.0947251	0.0843409	0.0696349	0.046676	0.0317794	0.0434335	0.0453939	0.0409525	0.0426899	0.0384761	0.0212412	0.0259954	0.0174507	0.0179227	0.015224	0.0156895	0.018801	0.0154532	0.0193833	0.0110984
animaux	0.00664823	0.00776534	0.00718471	0.0095021	0.00724507	0.00786117	0.00895914	0.00653283	0.0130953	0.014663	0.0167863	0.0175032	0.0167645	0.0238356	0.0218924	0.0280884	0.0288291	0.0285349	0.0378831	0.0506799	0.0515184	0.0352409	0.0260728	0.0277649	0.0294786	0.0314788	0.0468098	0.0551787	0.0416091	0.0550312	0.0409797	0.0321012	0.0291538	0.0258652	0.0270857	0.032031	0.0523458
au	0.00325748	0.00297766	0.00358583	0.00239663	0.00286875	0.00284293	0.00492635	0.0100308	0.0143578	0.016838	0.0209598	0.0182173	0.0226651	0.0188343	0.0154909	0.0169444	0.0139329	0.0134919	0.0168537	0.0287776	0.0473887	0.0595867	0.0545556	0.0538647	0.051916	0.0558578	0.0495424	0.0470033	0.0398069	0.0372703	0.0328298	0.0292392	0.0306924	0.0402399	0.0320791	0.0305014	0.0573756
piège	0.00580719	0.0051058	0.00661245	0.00469055	0.00453422	0.00658833	0.00993005	0.0108432	0.0140198	0.0317742	0.0254293	0.0407671	0.0427271	0.0677598	0.0637954	0.07369	0.0610605	0.0558734	0.0496688	0.0418839	0.0374305	0.0245207	0.0262903	0.0242523	0.0200162	0.0241356	0.0170016	0.0207316	0.0163596	0.0172313	0.0144789	0.0157137	0.0171351	0.0149018	0.0175827	0.0223766	0.0472803
avec	0.00772312	0.0071082	0.0122418	0.00517815	0.00626253	0.00649861	0.00990477	0.0110371	0.0130165	0.0141913	0.0188803	0.016077	0.0228433	0.0151336	0.0162041	0.0157857	0.0140771	0.0148389	0.0162697	0.0180529	0.0276966	0.0367245	0.0397514	0.0407098	0.0551904	0.0575316	0.0402393	0.0568613	0.0463393	0.048247	0.0413573	0.0425658	0.037877	0.0445869	0.0378216	0.0374322	0.0477434
un	0.0121925	0.0129372	0.0188042	0.0119135	0.0102377	0.0121932	0.0197918	0.0185649	0.0232667	0.0264181	0.0239586	0.0232336	0.0269688	0.0275403	0.0272447	0.0253986	0.0263429	0.0251923	0.0270045	0.0248378	0.0290868	0.0370488	0.034839	0.0304988	0.0293288	0.0274501	0.00853165	0.0184119	0.0180834	0.0192013	0.0176063	0.0248364	0.0415098	0.0371018	0.0353243	0.07105	0.0960491
remède	0.00824405	0.0110294	0.0107997	0.00973473	0.0083699	0.00533833	0.00725646	0.00513752	0.00616772	0.00769345	0.00668984	0.00753816	0.00945721	0.0120924	0.0144605	0.0132119	0.0147593	0.0179776	0.0251269	0.0358272	0.0345213	0.0382362	0.0312699	0.0277147	0.0313521	0.0344063	0.0258056	0.0399895	0.0413222	0.0404672	0.0407922	0.0435708	0.0541874	0.0538734	0.0460337	0.0753509	0.104195
</S>	0.0113221	0.0121651	0.0120117	0.0114157	0.0102272	0.00762583	0.0147601	0.0115692	0.0124904	0.0125205	0.0116594	0.0105622	0.011794	0.0134692	0.0139723	0.0164847	0.0162875	0.0199742	0.0232897	0.0196952	0.0137554	0.014645	0.0155587	0.015291	0.0192113	0.0217462	0.00928531	0.0156011	0.0216424	0.0156479	0.0240636	0.0336891	0.045127	0.0646278	0.0442459	0.106198	0.246368
