 	a	w	ú	r	a	m	á	m	b	í	a	m	á	á	y	í	í	n	ω	ó	m	w	é	s	é	á	m	i	l	a	a	n	g	a	</S>
l'	0.0425569	0.0097598	0.0168218	0.00670565	0.0123262	0.0171444	0.020795	0.0439221	0.0377489	0.0478509	0.0518249	0.0531747	0.0433969	0.0285014	0.0227071	0.0233302	0.0230468	0.0160564	0.0185366	0.0240514	0.0259187	0.0190519	0.0149436	0.0166339	0.0180932	0.0255177	0.0376468	0.0402027	0.0428377	0.0482289	0.0454867	0.0307731	0.0260262	0.0304423	0.0179383
huile	0.0490749	0.0676724	0.144732	0.114579	0.119415	0.0407301	0.0121853	0.0306657	0.0158338	0.00441669	0.00511524	0.00365918	0.0133114	0.007965	0.0113001	0.0330486	0.0263457	0.0144301	0.0191381	0.0271968	0.0128418	0.0133989	0.0164373	0.012565	0.0317682	0.00709103	0.0389957	0.0269929	0.0416909	0.0266777	0.00434464	0.00197955	0.0014445	0.00234463	0.00061253
de	0.0428857	0.0217086	0.0238387	0.0225383	0.031576	0.0270303	0.0369798	0.0379955	0.0405053	0.0223811	0.0195932	0.0185182	0.0164937	0.0107731	0.0163629	0.0158603	0.0227213	0.0321935	0.0246379	0.0227778	0.0172105	0.0343583	0.0234595	0.0341846	0.0394145	0.0414109	0.0304718	0.0447346	0.0401543	0.0423897	0.0362921	0.0328545	0.0240232	0.0345052	0.0171651
palme	0.0258375	0.0356976	0.0355001	0.0376432	0.0279166	0.0315692	0.0737584	0.105855	0.0748606	0.0919613	0.0424337	0.0473658	0.0208798	0.0141615	0.0143771	0.0202144	0.0121193	0.0143164	0.0124381	0.0149095	0.0129953	0.00672447	0.00966406	0.0191538	0.0186422	0.0179338	0.0202945	0.0206433	0.0166585	0.0125916	0.0165044	0.00985808	0.00815054	0.0227144	0.0336559
que	0.0195274	0.0382438	0.0238959	0.0183667	0.0355875	0.0247336	0.023214	0.0206117	0.0198568	0.0104919	0.0104299	0.0110747	0.0111009	0.00973829	0.0131677	0.025748	0.0353222	0.0377791	0.0526963	0.0489184	0.0580169	0.0230806	0.0468019	0.0663538	0.0563201	0.0652345	0.0293055	0.0191326	0.0122275	0.0101979	0.00880995	0.00795661	0.0122179	0.0319394	0.0619001
tu	0.0271583	0.0333085	0.0194145	0.0155871	0.0202101	0.012659	0.012686	0.0113192	0.0135569	0.0109809	0.0176	0.0213135	0.023415	0.0158939	0.0167264	0.0249501	0.0279431	0.0371887	0.0324672	0.0355515	0.0353705	0.0242867	0.0376197	0.0450063	0.0354045	0.046969	0.0435489	0.0303311	0.0231887	0.0213407	0.0251475	0.0246259	0.0441274	0.0523008	0.0808023
as	0.0186949	0.0221083	0.0207431	0.0200424	0.0405078	0.0327893	0.0126376	0.0152048	0.0174316	0.0200216	0.0326815	0.0401629	0.0465113	0.037801	0.0118319	0.00780482	0.0156941	0.0180103	0.0185754	0.0146862	0.0177296	0.0292899	0.0292631	0.0335814	0.0422383	0.0392517	0.0476348	0.0279582	0.0227343	0.0221577	0.0211491	0.0198659	0.0321508	0.0460101	0.105044
laissée	0.0313943	0.0351573	0.040063	0.0360095	0.0294469	0.0249705	0.0194823	0.0155188	0.0157123	0.0181407	0.0257949	0.0272461	0.0390682	0.0322449	0.0181061	0.00824408	0.0153378	0.0299863	0.0265942	0.0192099	0.0135429	0.023697	0.00756298	0.00519728	0.0115585	0.00608014	0.00930217	0.0146037	0.00770019	0.0314662	0.0218036	0.0157538	0.0706672	0.0941201	0.159216
au	0.0198543	0.010359	0.00980574	0.00506273	0.0147828	0.0132312	0.0239929	0.0261496	0.029518	0.0358548	0.045638	0.0516876	0.055878	0.049863	0.0297451	0.0291376	0.0485155	0.0669564	0.0407095	0.0318907	0.0475701	0.0432804	0.0138249	0.0155991	0.0233852	0.00688125	0.00811955	0.00544714	0.00442816	0.00709018	0.00841131	0.0084878	0.0179994	0.035265	0.115578
soleil	0.0946274	0.0716014	0.0584052	0.0410509	0.0468362	0.0311306	0.0121419	0.024322	0.0125701	0.0262994	0.034284	0.0424899	0.0806824	0.0512723	0.0468517	0.0474683	0.0463729	0.0356726	0.0169857	0.0170551	0.0110046	0.0104216	0.00295743	0.00152549	0.00350175	0.000871485	0.00392304	0.0028935	0.00193237	0.00993948	0.00448047	0.00229888	0.00801621	0.0226832	0.0754305
s'	0.127065	0.0692798	0.0568129	0.0431304	0.0522771	0.0348668	0.0240092	0.0174595	0.0192387	0.0137043	0.0173129	0.0194303	0.0243972	0.0209245	0.0140724	0.0155521	0.0382429	0.0599064	0.0536369	0.0454791	0.0131959	0.0245724	0.0119083	0.00688903	0.013212	0.00383175	0.0102671	0.00554261	0.00456631	0.00716239	0.00576237	0.00583913	0.00880185	0.0383134	0.0733368
est	0.102802	0.058481	0.0413008	0.0350773	0.0234401	0.0132172	0.0130652	0.00687719	0.0083724	0.0104338	0.0132038	0.0195622	0.0199878	0.014436	0.0131836	0.0118872	0.0243761	0.0467485	0.0384021	0.03263	0.03078	0.034074	0.0231156	0.00834686	0.0113407	0.00357513	0.01112	0.00694812	0.00385994	0.013404	0.012857	0.0140222	0.0378404	0.0851986	0.156033
fondue	0.0562851	0.0322322	0.023569	0.0257581	0.0157107	0.010642	0.0116613	0.00918288	0.00804313	0.0102098	0.0106657	0.0169471	0.0181767	0.0148152	0.0119234	0.0107712	0.0277316	0.0423265	0.0317912	0.0242214	0.017397	0.0654658	0.0328038	0.0219213	0.0350251	0.00825951	0.0210527	0.0273707	0.0126328	0.0468764	0.0380619	0.024256	0.0628478	0.0884604	0.0849045
</S>	0.0195334	0.0243697	0.0238904	0.0308269	0.0251461	0.0277461	0.0267755	0.017294	0.0284299	0.0266816	0.0196554	0.032296	0.0262614	0.0417266	0.0556461	0.0506564	0.0261002	0.0253389	0.0306839	0.0369695	0.0394203	0.0421953	0.0422153	0.0380238	0.0243491	0.0256695	0.0239004	0.0260442	0.0199385	0.0160708	0.0115821	0.0134545	0.014692	0.0199349	0.0464815
