 	m	v	u	l	u	á	d	u	m	u	t	s	í	n	a	á	b	ó	n	d	i	i	k	w	a	s	i	b	ó	b	e	n	g	i	</S>
l'	0.00830644	0.00950252	0.00781849	0.00900386	0.00973299	0.0273253	0.0417805	0.0735269	0.0629446	0.0866573	0.0761448	0.0614825	0.0416722	0.0425021	0.024299	0.0191739	0.016659	0.0254223	0.0130952	0.00858562	0.0161022	0.00978304	0.00763298	0.0130199	0.0118858	0.0156976	0.0303845	0.0227558	0.0273302	0.0286943	0.0366164	0.0312322	0.0345256	0.0253023	0.0234016
antilope	0.0232904	0.0406791	0.0406326	0.0323928	0.060806	0.0370491	0.0611166	0.100944	0.0795974	0.0717602	0.0791741	0.0636475	0.0308977	0.028958	0.0255197	0.0164849	0.0246634	0.020415	0.0134404	0.0139115	0.00992109	0.0160899	0.0178007	0.00950731	0.0165379	0.00651437	0.0140877	0.00690654	0.00813254	0.00653287	0.0129725	0.00567746	0.00217878	0.00136697	0.000393
a	0.0372885	0.0222852	0.0276141	0.031668	0.0505339	0.0575524	0.0689059	0.0627077	0.0455375	0.0442242	0.0373327	0.0291871	0.0348337	0.0332008	0.0597771	0.0162572	0.0261268	0.00866496	0.0135081	0.0154023	0.00927522	0.0129715	0.0153641	0.0140793	0.0204508	0.0533769	0.0368958	0.0221867	0.0189334	0.00852327	0.0224142	0.0103242	0.0135141	0.0126013	0.00648099
pris	0.0317307	0.0410428	0.0568545	0.0581995	0.0631019	0.0448963	0.0279996	0.0490014	0.0398794	0.0359638	0.0287378	0.0310877	0.0271664	0.0294968	0.0257155	0.0272999	0.0152943	0.0133858	0.0243208	0.0199216	0.0245075	0.0313218	0.0584391	0.0208261	0.0230183	0.02046	0.012099	0.00960406	0.0103699	0.00622598	0.0140011	0.010594	0.0139525	0.0162707	0.0372131
la	0.0319258	0.0300104	0.0300766	0.0222581	0.0191041	0.0189688	0.0221155	0.0272116	0.023196	0.0281052	0.0342509	0.0274925	0.0316075	0.0370341	0.0364551	0.0540885	0.0362664	0.0238935	0.0312714	0.0239163	0.0389067	0.0537616	0.0599563	0.0218752	0.0270102	0.0200919	0.0241614	0.0152208	0.0177004	0.00951484	0.0224246	0.0210724	0.0110484	0.0222584	0.0457486
fuite	0.027091	0.0247433	0.0262566	0.0126865	0.00773326	0.0093587	0.0128919	0.0214743	0.0188824	0.0203132	0.0291344	0.0191003	0.0136326	0.0194439	0.0247294	0.0187166	0.0234881	0.0354049	0.0376589	0.0346856	0.0564875	0.0401892	0.0567541	0.0414505	0.0503597	0.0480752	0.0411028	0.0432742	0.0380487	0.0241492	0.0301868	0.0241964	0.0205759	0.0199304	0.0277934
dès	0.0332851	0.025147	0.0198564	0.0116498	0.00999221	0.0114513	0.0137209	0.0127655	0.0182031	0.0167927	0.0254262	0.0259252	0.0282846	0.039198	0.0337912	0.0384686	0.0495641	0.0848502	0.0814489	0.0732034	0.0671625	0.052391	0.0443493	0.0200535	0.0196825	0.00808483	0.0076881	0.00503539	0.00563009	0.00286842	0.0116282	0.0124373	0.00553235	0.0272417	0.0571907
qu'	0.033895	0.0269566	0.026688	0.0204908	0.0211087	0.0257521	0.024487	0.0173987	0.0300235	0.0271393	0.0354796	0.0336535	0.0343654	0.0344548	0.033664	0.0281831	0.0239237	0.041169	0.0468192	0.0587567	0.0422199	0.0378377	0.0332667	0.0359164	0.0260495	0.0189017	0.0132325	0.0122622	0.0167504	0.0092623	0.013177	0.0169046	0.0159135	0.0200421	0.063855
elle	0.0489345	0.0342151	0.0272305	0.0267483	0.0275271	0.0233346	0.0195901	0.0179991	0.0178519	0.0275752	0.0234449	0.0205259	0.0213228	0.0211495	0.0428895	0.0236366	0.024743	0.0429054	0.0488705	0.0447282	0.0433766	0.0453722	0.0336946	0.041667	0.0224606	0.0274038	0.0181532	0.0154818	0.0281546	0.00895426	0.0269444	0.0261597	0.0118465	0.0204607	0.0446474
a	0.135084	0.0735459	0.0458323	0.0366288	0.0196561	0.0136592	0.00605497	0.00469932	0.00539043	0.00936478	0.00847573	0.00761589	0.00819836	0.0118921	0.0117613	0.0109976	0.00921729	0.0405697	0.0279286	0.0287358	0.0355977	0.0196732	0.0256821	0.0334625	0.0267899	0.0253276	0.0183765	0.014928	0.021176	0.00928599	0.0188046	0.030526	0.0240577	0.0345987	0.146405
