 	e	k	ú	m	b	ú	s	ú	l	ú	y	é	é	k	ú	m	b	ú	s	ú	w	a	s	á	a	n	í	y	é	e	s	ε	r	έ	w	á	r	e	b	e	a	í	d	í	k	a	á	</S>
la	0.0122426	0.0145656	0.0119239	0.0120175	0.00982831	0.0134152	0.0189075	0.0165392	0.0205279	0.0208934	0.0108079	0.0236775	0.0446033	0.0345905	0.0590243	0.0598548	0.0211433	0.0513802	0.0187988	0.0646558	0.0115483	0.0153326	0.0159406	0.0127034	0.00851906	0.00840784	0.00975477	0.00999328	0.00788193	0.0098911	0.011216	0.0125446	0.0232344	0.0119691	0.0103059	0.010249	0.00805546	0.00918869	0.00764113	0.00467097	0.0129395	0.0244047	0.0237503	0.047436	0.0368056	0.0355606	0.0378187	0.022839
manière	0.0157178	0.0481184	0.0549132	0.0312451	0.0252851	0.0393484	0.0182548	0.017306	0.010866	0.015924	0.0264408	0.0562742	0.0660629	0.0915009	0.086538	0.0347353	0.0242124	0.0572155	0.0252105	0.0282154	0.00202651	0.0234938	0.0114827	0.00427245	0.00574634	0.00421715	0.00784231	0.00236644	0.00179188	0.00390097	0.00216789	0.00675825	0.0124902	0.00727044	0.0182814	0.00283044	0.00271763	0.00584848	0.00426747	0.00218286	0.00581316	0.0324336	0.0168135	0.0111294	0.0121826	0.00495437	0.00529582	0.0060373
dont	0.134557	0.0358624	0.016988	0.00444491	0.00482819	0.0114258	0.0206066	0.0153118	0.0147869	0.0146253	0.0117407	0.0226074	0.0275083	0.0174172	0.0170039	0.0290987	0.0299417	0.0294894	0.027728	0.0379202	0.0272077	0.042279	0.0213267	0.0244164	0.0157206	0.0203942	0.0162574	0.0193751	0.0261004	0.0120376	0.0137442	0.0136226	0.014389	0.0167529	0.0241588	0.017127	0.0126017	0.0182683	0.0117879	0.0154091	0.0137291	0.0263622	0.00751183	0.0132388	0.00733016	0.00815807	0.0065318	0.0102687
il	0.0238439	0.0300623	0.0344286	0.0199383	0.0176462	0.0184247	0.0286848	0.0170461	0.0234076	0.0167466	0.0117882	0.0311204	0.0215883	0.0158001	0.0192151	0.0254932	0.0336114	0.113902	0.0393641	0.141322	0.0161408	0.0246538	0.0192735	0.00937359	0.0108487	0.0110079	0.0169321	0.0183899	0.0162204	0.0138115	0.0127306	0.00640712	0.00938908	0.00634584	0.0111079	0.0185102	0.00580065	0.0060746	0.00426351	0.00497631	0.00523819	0.00399328	0.00467692	0.00810587	0.00590683	0.00539245	0.00601203	0.0349827
a	0.0830544	0.0446833	0.0376534	0.0268777	0.0406493	0.0309166	0.0241793	0.0250151	0.0132365	0.0112469	0.00944282	0.0108645	0.0116855	0.00985437	0.0107701	0.0149791	0.0197601	0.0262236	0.0235603	0.0145564	0.012962	0.0298309	0.0213748	0.0177517	0.0173172	0.0260634	0.0254247	0.026996	0.0368662	0.0204228	0.0230533	0.0154568	0.00816715	0.0147477	0.0170975	0.038967	0.0121616	0.00990644	0.0118345	0.0220702	0.00939956	0.00876304	0.0078019	0.00897571	0.00777226	0.00851732	0.0093983	0.0416902
renversé	0.0415039	0.025348	0.0265022	0.0245914	0.0361067	0.0279747	0.0185989	0.0159831	0.0141311	0.00940675	0.00821516	0.00993498	0.0100382	0.00911185	0.00920739	0.00961371	0.0182251	0.0230941	0.0188312	0.0139846	0.00983927	0.0171105	0.0163525	0.0128394	0.011435	0.0150082	0.0225736	0.0181243	0.0382428	0.0229668	0.01688	0.0259827	0.0129132	0.0292253	0.0184793	0.0284008	0.0185394	0.0204583	0.021525	0.0353206	0.0291604	0.0137369	0.0128134	0.0108675	0.0106361	0.0117021	0.0205795	0.107884
l'	0.0123235	0.00622462	0.00439558	0.0018995	0.00276102	0.00293955	0.00498464	0.00647857	0.00885944	0.0052659	0.00510074	0.00428925	0.00390991	0.00347746	0.00447981	0.0115815	0.0244631	0.0453912	0.0540032	0.0463817	0.0706712	0.0738291	0.0385041	0.0416281	0.0226197	0.0240409	0.0268771	0.0358908	0.0416849	0.0371625	0.0302836	0.0287713	0.0149699	0.021811	0.0205479	0.0394843	0.030378	0.0186591	0.0192703	0.0138665	0.0146039	0.00456778	0.00354636	0.00285733	0.0033737	0.0063316	0.0111874	0.0433716
assiette	0.0382617	0.0309047	0.0285946	0.0234835	0.0330727	0.0214096	0.0176005	0.0118957	0.017354	0.0109991	0.0123368	0.0179909	0.0158911	0.0123244	0.00934427	0.00721454	0.0131386	0.0210777	0.020394	0.019562	0.0224842	0.0169269	0.0193973	0.0102012	0.00864955	0.0101419	0.0165005	0.0132811	0.019012	0.0182567	0.0106097	0.0152514	0.00802904	0.0158173	0.0078411	0.019065	0.0210815	0.0240569	0.0295938	0.0316661	0.0278533	0.0139856	0.0129934	0.0088346	0.0121706	0.0167246	0.0278291	0.158895
montre	0.0250725	0.0212487	0.0166252	0.013264	0.0165461	0.0211845	0.0258977	0.0238413	0.0189399	0.016385	0.0146312	0.0138542	0.0138662	0.00924339	0.00788155	0.0143331	0.0162552	0.0270096	0.0292572	0.0172649	0.0253568	0.021516	0.0196077	0.0110561	0.0136296	0.0153223	0.0158286	0.0262232	0.036358	0.0300873	0.0177781	0.0181621	0.0168523	0.0225773	0.0140835	0.0236707	0.0320086	0.038905	0.0444872	0.041808	0.0132226	0.0119363	0.00882367	0.00827495	0.00934524	0.0122545	0.0227519	0.065471
qu'	0.0216204	0.017633	0.0162086	0.0138962	0.0214872	0.0282458	0.0383902	0.0386614	0.0284839	0.0195022	0.0165128	0.0191339	0.0121099	0.0109594	0.0120128	0.0368112	0.0411717	0.0525766	0.0589122	0.0478497	0.0342054	0.0341486	0.0281875	0.0257358	0.0146887	0.0122079	0.0112569	0.016555	0.0201653	0.0166559	0.0125715	0.00974271	0.0139411	0.011188	0.00976277	0.0164095	0.0191805	0.0208579	0.0261022	0.0200413	0.0128215	0.00443073	0.00434059	0.00334194	0.00408946	0.00502478	0.0117628	0.0284046
il	0.0322994	0.0299761	0.0304977	0.0180006	0.015619	0.015783	0.0246388	0.0184315	0.015049	0.0119874	0.00979573	0.00921743	0.00646749	0.00485355	0.00497607	0.0164226	0.0216126	0.0381087	0.045123	0.0324484	0.0284071	0.0285085	0.0199081	0.0142732	0.0157398	0.0124444	0.0152032	0.0250471	0.0270603	0.0260588	0.0143618	0.0158566	0.0207846	0.015999	0.0152384	0.0192234	0.0319184	0.0369925	0.048379	0.0472616	0.0144403	0.00596819	0.00546298	0.00383284	0.00456309	0.0056408	0.0146226	0.0654951
n'	0.108878	0.0641999	0.0434386	0.0179221	0.0143918	0.0099846	0.00793334	0.00409361	0.00605258	0.00376734	0.0040706	0.0057736	0.00582167	0.00641007	0.00656112	0.0111728	0.0195852	0.0238196	0.0223279	0.0252734	0.0301134	0.021783	0.0225257	0.0181778	0.0288379	0.0238411	0.0306843	0.0205	0.0194831	0.0466057	0.00985494	0.0262186	0.0198581	0.0179053	0.0274949	0.0194846	0.0277427	0.0178571	0.0184045	0.0070186	0.00477259	0.00440835	0.00558648	0.00653038	0.0101284	0.00599631	0.020943	0.075765
y	0.0759402	0.0340004	0.0229912	0.0140759	0.0136385	0.0118226	0.0063203	0.00532414	0.00654673	0.00557547	0.00489302	0.00855485	0.0122844	0.011847	0.0101828	0.0103115	0.0170263	0.0149403	0.016455	0.0161002	0.0164244	0.0214653	0.0240587	0.0197491	0.0322977	0.0292288	0.0375158	0.0327378	0.0349697	0.0419834	0.0141671	0.0234268	0.0168065	0.0166797	0.0262803	0.0222261	0.0238914	0.0251411	0.0168806	0.0220316	0.0150167	0.0171129	0.0187693	0.0174847	0.0244326	0.0177605	0.0290016	0.0436291
a	0.0566512	0.0368847	0.021081	0.0161783	0.018904	0.00795321	0.00513728	0.00477984	0.00394391	0.00387128	0.00338337	0.00443745	0.00425175	0.00521988	0.00733464	0.0167688	0.0225201	0.0415574	0.0499381	0.0551335	0.017347	0.0267081	0.0390037	0.0150791	0.0136029	0.0130107	0.0316627	0.0181352	0.0153764	0.0208323	0.0140605	0.019263	0.015201	0.0273115	0.0187527	0.0244663	0.0319154	0.0286034	0.0342322	0.034176	0.0269996	0.0195608	0.0147009	0.00864383	0.00996797	0.011933	0.0199073	0.0436167
pas	0.0277824	0.0199128	0.00862649	0.00674336	0.00879346	0.00489104	0.00213819	0.00216556	0.00165547	0.00206244	0.00233427	0.00472789	0.00537015	0.00587682	0.00570509	0.00916099	0.00486604	0.0227875	0.0209819	0.0315056	0.0216832	0.0253435	0.0217803	0.02732	0.0256162	0.019728	0.0350344	0.0175806	0.018528	0.0331219	0.0202677	0.0546003	0.0180968	0.0272312	0.0193191	0.026969	0.0235369	0.0155704	0.0125318	0.00794472	0.0172134	0.0398426	0.0430483	0.0272438	0.0511027	0.0377261	0.0432139	0.0707177
