 	l	a	p	ó	a	l	e	k	ω	k	ω	ω	b	í	s	í	l	é	l	é	m	b	i	s	ó	k	o	n	d	a	</S>
hier	0.0227497	0.060462	0.0370318	0.0334472	0.0438697	0.0410969	0.0490098	0.0498609	0.0434475	0.0613048	0.068116	0.0643165	0.0668418	0.0583252	0.0463188	0.028847	0.0213351	0.0160496	0.0135508	0.0126808	0.0123088	0.0110523	0.00852874	0.0075298	0.0129544	0.0171054	0.0264932	0.0210314	0.0125352	0.0202781	0.0115209
soir	0.06491	0.0535647	0.0617959	0.0617316	0.0661699	0.059728	0.0727373	0.0908554	0.0763832	0.0643512	0.0272845	0.0182264	0.0195493	0.0204698	0.0293104	0.0131837	0.0193291	0.0186027	0.019319	0.0133029	0.0179354	0.0186959	0.0133471	0.0139524	0.014997	0.00726302	0.00896486	0.0118308	0.00483576	0.00750037	0.00987242
nous	0.0354455	0.0244499	0.0161942	0.0151963	0.0101875	0.0147164	0.0146334	0.0169598	0.0220745	0.027499	0.0285666	0.0301421	0.0431848	0.0428015	0.0477324	0.0355679	0.0444364	0.0345323	0.0415295	0.0707405	0.101776	0.0847245	0.0489868	0.0344451	0.0266965	0.0204067	0.0147801	0.0158505	0.0101232	0.0149622	0.0106577
nous	0.0369713	0.0321346	0.0369699	0.0395921	0.0346974	0.0355836	0.0401194	0.0302645	0.0285828	0.0198652	0.0162451	0.0290502	0.0242736	0.0173888	0.0217778	0.0279267	0.0342654	0.044543	0.0424518	0.0564932	0.0647703	0.0644822	0.0439444	0.0359849	0.0258083	0.0261127	0.0134901	0.0147313	0.0127752	0.0162962	0.0324081
sommes	0.0263696	0.0206869	0.0351541	0.0449114	0.039536	0.0404533	0.040196	0.0363403	0.0366049	0.0265347	0.0186513	0.0148377	0.0172853	0.0234026	0.0241073	0.0285754	0.0197326	0.0161746	0.0166877	0.0134186	0.0339939	0.0447775	0.0412326	0.0408706	0.0402147	0.0530879	0.0277292	0.0370026	0.0347445	0.0364613	0.0702248
égarés	0.0730068	0.042643	0.0469957	0.0540716	0.0599015	0.0571535	0.0537737	0.0483653	0.0330611	0.0266695	0.0215527	0.0154851	0.0185336	0.0172122	0.0177876	0.0170232	0.0158769	0.0153705	0.0159599	0.0160983	0.020166	0.0222298	0.0190069	0.0285876	0.0305514	0.0269197	0.025143	0.0256961	0.032145	0.032495	0.0705177
dans	0.016978	0.0107805	0.00783093	0.00982982	0.0141644	0.019556	0.0180648	0.0240664	0.0241838	0.0254838	0.0220617	0.0168679	0.0252031	0.0308043	0.0319407	0.0398901	0.0458637	0.0477808	0.0551635	0.0540006	0.0603947	0.0513414	0.0413769	0.0431401	0.0402046	0.036423	0.0342081	0.0301178	0.034311	0.0343289	0.0536385
la	0.0268351	0.0157271	0.0187631	0.023893	0.0328325	0.0408512	0.0455323	0.0443456	0.034384	0.0273879	0.0223187	0.0209864	0.0244071	0.0253462	0.0322913	0.028512	0.0288587	0.0224943	0.023118	0.0230544	0.0293144	0.0299022	0.0332824	0.0393929	0.0373094	0.0334265	0.0360991	0.0368778	0.0408236	0.0441825	0.0774502
forêt	0.0389706	0.0265906	0.0275635	0.0271842	0.0236213	0.0195342	0.0148048	0.0139666	0.0129125	0.0133215	0.0135686	0.0143563	0.0179072	0.0194795	0.0237531	0.0294452	0.0314705	0.0340545	0.0384828	0.025344	0.0243803	0.0130401	0.0165002	0.0320997	0.0357724	0.0411611	0.0401074	0.0645864	0.0561891	0.0923158	0.117516
</S>	0.0659411	0.0310839	0.0274485	0.0248267	0.0228781	0.0180604	0.0151149	0.0116564	0.00939258	0.00943744	0.00917111	0.00995788	0.0130327	0.0148396	0.0211149	0.0186618	0.0267107	0.0348815	0.0471172	0.0260253	0.0435901	0.0311963	0.0337333	0.0438611	0.0299961	0.0311772	0.0304507	0.0551981	0.0703444	0.076578	0.096522
