 	ω	s	á	i	l	á	a	k	a	n	á	n	d	ú	n	d	a	m	á	a	b	á	a	y	é	e	t	ω	ώ	l	a	o	k	ó	l	ó	</S>
le	0.0109974	0.0170994	0.0455695	0.0381172	0.0350307	0.0300284	0.0377775	0.0413003	0.0405069	0.041726	0.0420499	0.0373404	0.0385161	0.0423328	0.0337917	0.0333192	0.045467	0.0405911	0.0368509	0.0417058	0.0183768	0.015963	0.016055	0.0154346	0.0168739	0.0207699	0.0222938	0.0218195	0.0193009	0.0117261	0.0117781	0.00890205	0.00975009	0.0108894	0.0134023	0.0184272	0.0181191
jardinier	0.0463319	0.0787435	0.0782847	0.038794	0.0307391	0.026465	0.0283317	0.0257185	0.0326588	0.0322766	0.0371974	0.0314876	0.0216318	0.0186461	0.0194693	0.0388791	0.0481948	0.0409241	0.0866448	0.0680714	0.0287898	0.0248127	0.0246376	0.0145667	0.0103199	0.00690149	0.00868165	0.00695947	0.00637613	0.00767019	0.00755339	0.00759313	0.00597212	0.00510218	0.00195089	0.00143096	0.00119179
arrose	0.0482643	0.0393241	0.0409091	0.0500334	0.050483	0.0423786	0.0435309	0.0385911	0.0429017	0.0346146	0.0222336	0.0102366	0.0109632	0.00985432	0.00726417	0.00781034	0.0102186	0.00779497	0.0275313	0.0260999	0.0203066	0.034771	0.0351731	0.0341081	0.0310943	0.0442205	0.0358481	0.0338461	0.0383435	0.0233005	0.0168442	0.0219883	0.0173097	0.0148975	0.0104927	0.0124516	0.00396648
les	0.0506725	0.0518501	0.0647527	0.0752969	0.0554649	0.0562629	0.0561389	0.0375794	0.0205038	0.0197781	0.0408444	0.0311945	0.0405953	0.0527748	0.0296027	0.0231294	0.0479717	0.0435884	0.0312614	0.0265704	0.0183212	0.0150279	0.0181993	0.0115928	0.0151411	0.00788494	0.00389908	0.00336865	0.00329206	0.00305924	0.00343427	0.00446007	0.00496326	0.00530793	0.00625593	0.00781187	0.0121471
légumes	0.0409092	0.0463931	0.0901938	0.0784369	0.0679247	0.0626064	0.0651158	0.0575428	0.0581365	0.046909	0.0381693	0.0245585	0.0212223	0.0190627	0.0162866	0.0146379	0.013462	0.00655258	0.00509236	0.00436775	0.00615347	0.00760427	0.01172	0.0112408	0.0139864	0.0105679	0.0103236	0.0108425	0.010644	0.0103874	0.00808263	0.00863957	0.0101284	0.0153198	0.0138318	0.0190682	0.0438791
pour	0.0468751	0.0483628	0.045754	0.0416673	0.0428564	0.0454034	0.0502691	0.0481245	0.0614486	0.0480693	0.0443635	0.038194	0.0316411	0.0282898	0.024664	0.0186884	0.0171122	0.0131067	0.0119745	0.00947377	0.00633552	0.00817364	0.00967979	0.00979503	0.0126349	0.0110401	0.0100228	0.00924362	0.00851291	0.00901225	0.0116996	0.0156717	0.0153786	0.0137474	0.012374	0.0243292	0.0960107
les	0.0526506	0.049084	0.0616682	0.053486	0.0473673	0.0402841	0.0474692	0.0570448	0.0554437	0.0602884	0.0478918	0.0346452	0.0222032	0.0148636	0.0131552	0.0128632	0.0107907	0.00715568	0.00831447	0.00466356	0.00558559	0.00632583	0.00852889	0.0087799	0.0132005	0.0088565	0.00842102	0.00817771	0.0101572	0.0119808	0.013205	0.0112975	0.014688	0.0195931	0.0204048	0.0377125	0.0917521
faire	0.0683074	0.0393369	0.0489281	0.0335952	0.0214843	0.020659	0.0225165	0.0212499	0.0253196	0.0264621	0.0252868	0.0256112	0.0216865	0.0210293	0.0187385	0.0174915	0.0148207	0.0161319	0.0184602	0.0181746	0.0238317	0.0169091	0.0189402	0.0148254	0.0150309	0.0128455	0.0146433	0.0126726	0.0153467	0.0154626	0.0219742	0.0254335	0.0338746	0.0350755	0.0509536	0.0644717	0.0824188
pousser	0.0756429	0.0369276	0.0275473	0.0255218	0.0281552	0.0317069	0.036397	0.0300453	0.0353183	0.0280561	0.0193253	0.0175124	0.0202503	0.0167947	0.0147463	0.0119422	0.01005	0.00823713	0.00813746	0.00497518	0.00616413	0.00730829	0.00857255	0.0113152	0.0238916	0.031012	0.0338288	0.0316784	0.0288607	0.0328449	0.035326	0.0411981	0.0455451	0.0340328	0.0298466	0.040175	0.0711103
plus	0.0826972	0.0690849	0.0580361	0.0420527	0.0373187	0.0432259	0.0376971	0.0321472	0.0318803	0.0332133	0.027954	0.0236323	0.0170639	0.0202126	0.0165791	0.0105555	0.00931486	0.00827992	0.00978172	0.00766589	0.00858642	0.00972053	0.0100348	0.0103717	0.0119436	0.0103484	0.00995984	0.0141599	0.024538	0.014931	0.0210089	0.0263256	0.0319561	0.0305489	0.0291827	0.0314756	0.0865144
vite	0.100352	0.0583758	0.0638178	0.0521897	0.0411797	0.0440944	0.0292033	0.0190138	0.0157193	0.0138812	0.00736584	0.00606574	0.00527387	0.00566759	0.00403608	0.00349322	0.00415355	0.00319455	0.00357215	0.00296592	0.00453915	0.00601799	0.00847411	0.00858033	0.00951591	0.00832151	0.00922368	0.00989892	0.0190517	0.0210189	0.0278123	0.0300613	0.0533948	0.0655939	0.0611069	0.0788743	0.094899
</S>	0.100461	0.0660817	0.0536887	0.0395016	0.0331886	0.0301064	0.0303248	0.0185441	0.0178238	0.0140317	0.00627804	0.00385535	0.0035936	0.00433066	0.00412101	0.00426459	0.00348089	0.00347418	0.00468638	0.00465738	0.00555838	0.00747012	0.00890059	0.0120824	0.0187603	0.0204147	0.0219595	0.0188216	0.0248023	0.0253021	0.0311521	0.0331703	0.0467776	0.0513623	0.0551916	0.0697324	0.102048
